Country Name,HRAssociation,agg_score,count_source,agg_score_wt
Guam,Access,6.0,1,0.4
Bermuda,Access,6.0,1,0.4
Cayman Islands,Access,6.0,1,0.4
Central Europe and the Baltics,Access,6.0,1,0.4
Channel Islands,Access,6.0,1,0.4
Turks and Caicos Islands,Access,6.0,1,0.4
Curaçao,Access,6.0,1,0.4
Euro area,Access,6.0,1,0.4
European Union,Access,6.0,1,0.4
Faroe Islands,Access,6.0,1,0.4
French Polynesia,Access,6.0,1,0.4
Saint Vincent and the Grenadines,Access,6.0,1,0.4
Saint Martin (French Part),Access,6.0,1,0.4
Gibraltar,Access,6.0,1,0.4
Greenland,Access,6.0,1,0.4
Saint Kitts and Nevis,Access,6.0,1,0.4
Isle of Man,Access,6.0,1,0.4
Kosovo (UNSCR 1244),Access,6.0,1,0.4
Saint Martin (Dutch Part),Access,6.0,1,0.4
"China, Macao Special Administrative Region",Access,6.0,1,0.4
New Caledonia,Access,6.0,1,0.4
North America,Access,6.0,1,0.4
Northern Mariana Islands,Access,6.0,1,0.4
United States Virgin Islands,Access,6.0,1,0.4
Palau,Access,6.0,1,0.4
Aruba,Access,6.0,1,0.4
State of Palestine (the),Access,6.0,1,0.4
United States Virgin Islands,Access,6.0,1,0.4
Bahamas (the),Access,6.0,1,0.4
High income,Access,5.9999854205,1,0.3999990280333333
Post-demographic dividend,Access,5.999898145,1,0.3999932096666667
Europe & Central Asia,Access,5.999666314500001,1,0.3999777543
OECD members,Access,5.9995153485,1,0.3999676899
Europe & Central Asia (IDA & IBRD countries),Access,5.9993331895,1,0.3999555459666666
Europe & Central Asia (excluding high income),Access,5.999266262,1,0.3999510841333333
Saint Lucia,Access,5.9773887635,1,0.3984925842333333
Upper middle income,Access,5.9688701305,1,0.3979246753666666
Late-demographic dividend,Access,5.9685068135,1,0.3979004542333333
East Asia & Pacific (IDA & IBRD countries),Access,5.926556844,1,0.3951037896
IBRD only,Access,5.925103221,1,0.3950068813999999
Latin America & Caribbean,Access,5.921214735,1,0.394747649
Latin America & the Caribbean (IDA & IBRD countries),Access,5.919422330500001,1,0.3946281553666667
Caribbean small states,Access,5.9140252455,1,0.3942683497
Latin America & Caribbean (excluding high income),Access,5.9136359815,1,0.3942423987666666
East Asia & Pacific,Access,5.906410476,1,0.3937606983999999
East Asia & Pacific (excluding high income),Access,5.8964236505,1,0.3930949100333333
Middle East & North Africa,Access,5.86162699,1,0.3907751326666667
Middle East & North Africa (excluding high income),Access,5.8377323925,1,0.3891821595
Middle East & North Africa (IDA & IBRD countries),Access,5.835756485000001,1,0.3890504323333334
Republic of Korea (the),Access,5.8248715989375,8,3.1065981861
Iceland,"Expression, Association",5.8,1,0.3866666666666666
South Asia (IDA & IBRD),Access,5.7199364595,1,0.3813290973
South Asia,Access,5.7199364595,1,0.3813290973
United States of America (the),Access,5.711040518100001,5,1.9036801727
"China, Hong Kong Special Administrative Region",Access,5.710299984700001,5,1.9034333282333336
Estonia,"Expression, Association",5.7,1,0.38
Middle income,Access,5.675258436,1,0.3783505624
Early-demographic dividend,Access,5.6271276295,1,0.3751418419666666
"China, Hong Kong Special Administrative Region",Access,5.5936380713750005,8,2.9832736380666667
Bahamas (the),Access,5.5774999847,5,1.8591666615666669
World,Access,5.504201526,1,0.3669467684
Denmark,Access,5.488842568363335,15,5.488842568363335
World,Access,5.475614116,1,0.3650409410666667
Norway,Access,5.466827271700001,15,5.466827271700001
Lower middle income,Access,5.451776276,1,0.3634517517333333
Luxembourg,Access,5.445812137743332,15,5.445812137743332
United Kingdom of Great Britain and Northern Ireland (the),Access,5.440100656659999,15,5.440100656659999
IDA & IBRD total,Access,5.4253632735,1,0.3616908849
Low & middle income,Access,5.410521527,1,0.3607014351333333
Sweden,Access,5.368329050871429,14,5.010440447480001
Czechia,Access,5.3679068604,5,1.7893022868
Switzerland,Access,5.354949212825001,14,4.997952598636667
Canada,"Expression, Association",5.35,1,0.3566666666666666
Costa Rica,"Expression, Association",5.35,1,0.3566666666666666
Spain,Access,5.343738374680001,15,5.343738374680001
Pacific island small states,Access,5.337289029,1,0.3558192686
Singapore,Access,5.33309262245,15,5.33309262245
Netherlands (the),Access,5.321663043026666,15,5.321663043026666
"China, Macao Special Administrative Region",Access,5.319070112357144,7,2.4822327191000007
Republic of Korea (the),Access,5.303864856000001,5,1.7679549520000002
Japan,Access,5.302608331117857,14,4.949101109043333
Finland,Access,5.284323801086667,15,5.284323801086667
Ireland,Access,5.26717191402,15,5.26717191402
Belgium,Access,5.26088372907,15,5.26088372907
Kuwait,Access,5.259540928046666,15,5.259540928046666
Bahrain,Access,5.2535365336233335,15,5.2535365336233335
Austria,Access,5.25032582952,15,5.25032582952
United Arab Emirates (the),Access,5.237089868560001,15,5.237089868560001
Slovakia,Access,5.211282146423078,13,4.516444526900001
Australia,Access,5.2031952841785705,7,2.428157799283333
New Zealand,Access,5.184272359957142,7,2.4193271013133333
Estonia,Access,5.1756746727800005,15,5.1756746727800005
Germany,Access,5.17018693571,15,5.17018693571
Brunei Darussalam,Access,5.149282130946429,14,4.80599665555
Qatar,Access,5.1452107296500005,15,5.1452107296500005
Saudi Arabia,Access,5.136458569763333,15,5.136458569763333
Israel,Access,5.134711623896429,14,4.792397515636667
Small states,Access,5.1175864330000005,1,0.3411724288666667
Micronesia (Federated States of),Access,5.105847168,1,0.3403898112
Belarus,Access,5.105294760249999,14,4.764941776233332
France,Access,5.083378973514286,14,4.744487041946667
Maldives,Access,5.080970766666666,6,2.0323883066666664
Malta,Access,5.071322817513333,15,5.071322817513333
Uruguay,Access,5.069650950464285,14,4.731674220433333
Latvia,Access,5.054408649143332,15,5.054408649143332
Cyprus,Access,5.033418484653335,15,5.033418484653335
Iceland,Access,5.011455332785715,7,2.3386791553000004
Poland,Access,5.007187728413332,15,5.007187728413332
Taiwan,"Expression, Association",5.0,1,0.3333333333333333
Russian Federation (the),Access,4.987059450423334,15,4.987059450423334
Costa Rica,Access,4.985956357923333,15,4.985956357923333
Chile,Access,4.983496546592858,7,2.325631721743333
Canada,Access,4.978737068371429,7,2.323410631906667
Argentina,Access,4.970208432283333,12,3.9761667458266663
Slovenia,Access,4.969877295496668,15,4.969877295496668
Hungary,Access,4.968233484693333,15,4.968233484693333
Germany,"Expression, Association",4.95,1,0.33
Lithuania,Access,4.947322959136668,15,4.947322959136668
Iran (Islamic Republic of),Access,4.946279503374999,8,2.6380157351333327
Malaysia,Access,4.932166802223334,15,4.932166802223334
Italy,Access,4.920975994342858,7,2.2964554640266672
Other small states,Access,4.91216657,1,0.3274777713333333
France,"Expression, Association",4.9,1,0.3266666666666666
United Kingdom of Great Britain and Northern Ireland (the),"Expression, Association",4.9,1,0.3266666666666666
United States of America (the),Access,4.8663491607500005,6,1.9465396643000004
Georgia,"Expression, Association",4.85,1,0.3233333333333333
Croatia,Access,4.810977864906667,15,4.810977864906667
Portugal,Access,4.810887980833333,15,4.810887980833333
Kazakhstan,Access,4.807544410246666,15,4.807544410246666
North Macedonia,Access,4.803396546428572,14,4.4831701100000005
Italy,"Expression, Association",4.8,1,0.32
Japan,"Expression, Association",4.8,1,0.32
Romania,Access,4.761235051816668,15,4.761235051816668
Brazil,Access,4.760032776239286,14,4.442697257823333
Czechia,Access,4.759468270745,10,3.172978847163333
Sao Tome and Principe,Access,4.7590953825,1,0.3172730254999999
United States of America (the),"Expression, Association",4.75,1,0.3166666666666666
Australia,"Expression, Association",4.75,1,0.3166666666666666
Greece,Access,4.735325695446667,15,4.735325695446667
Dominican Republic (the),Access,4.721734890142857,7,2.2034762820666667
Jordan,Access,4.695397645721429,7,2.1911855680033336
Serbia,Access,4.695148513166667,15,4.695148513166667
Ecuador,Access,4.6689388783437495,8,2.490100735116666
South Africa,"Expression, Association",4.65,1,0.31
Viet Nam,Access,4.642245892042857,7,2.166381416286667
Mexico,Access,4.633613459129999,15,4.633613459129999
Montenegro,Access,4.62079334455,15,4.62079334455
Bulgaria,Access,4.59609444604,15,4.59609444604
Ukraine,Access,4.592648076367858,14,4.286471537943335
Thailand,Access,4.590350766193335,15,4.590350766193335
Oman,Access,4.588668334772728,11,3.3650234455000003
China,Access,4.584444003310714,14,4.278814403089999
Azerbaijan,Access,4.570015364914286,14,4.26534767392
Serbia,"Expression, Association",4.55,1,0.3033333333333333
Argentina,"Expression, Association",4.55,1,0.3033333333333333
Armenia,"Expression, Association",4.55,1,0.3033333333333333
State of Palestine (the),Access,4.5187277055,7,2.1087395959
Panama,Access,4.518563756335714,14,4.21732617258
Turkey,Access,4.516975955863333,15,4.516975955863333
Colombia,Access,4.512336123546428,14,4.211513715309999
Hungary,"Expression, Association",4.5,1,0.3
Paraguay,Access,4.490514982926667,15,4.490514982926667
Morocco,Access,4.469229841623333,15,4.469229841623333
Viet Nam,Access,4.451920957062501,8,2.374357843766667
Lebanon,Access,4.4307565426928575,7,2.06768638659
Cuba,Access,4.4219470865,9,2.6531682519
Georgia,Access,4.4043035775,15,4.4043035775
Belize,Access,4.400587746785715,6,1.760235098714286
Kyrgyzstan,Access,4.3520242912,5,1.4506747637333333
Bosnia and Herzegovina,Access,4.351377865883333,15,4.351377865883333
South Africa,Access,4.350110993357143,7,2.0300517969
Republic of Korea (the),"Expression, Association",4.35,1,0.29
IDA blend,Access,4.3419534285,1,0.2894635619
Albania,Access,4.3222727215833325,15,4.3222727215833325
Tunisia,Access,4.307256098067857,14,4.02010569153
Kenya,"Expression, Association",4.3,1,0.2866666666666666
Uzbekistan,Access,4.294244311785714,14,4.007961357666666
Iran (Islamic Republic of),Access,4.2942350021,5,1.4314116673666666
Armenia,Access,4.271288422857142,14,3.986535861333333
Bhutan,Access,4.260542280585715,7,1.9882530642733336
Colombia,"Expression, Association",4.25,1,0.2833333333333333
Philippines (the),"Expression, Association",4.25,1,0.2833333333333333
Bolivia (Plurinational State of),Access,4.240752580928572,6,1.6963010323714287
Cambodia,Access,4.24065216434,15,4.24065216434
Ghana,"Expression, Association",4.2,1,0.28
Brazil,"Expression, Association",4.2,1,0.28
Nicaragua,Access,4.187925795207143,7,1.9543653710966664
Mauritius,Access,4.174414391286666,15,4.174414391286666
Tunisia,"Expression, Association",4.15,1,0.2766666666666666
Egypt,Access,4.148704175730769,13,3.5955436189666665
Philippines (the),Access,4.119320600913636,11,3.0208351073366666
Cabo Verde,Access,4.107408616953571,14,3.8335813758233335
Ecuador,"Expression, Association",4.1,1,0.2733333333333333
Angola,"Expression, Association",4.1,1,0.2733333333333333
Ukraine,"Expression, Association",4.1,1,0.2733333333333333
Peru,Access,4.0770744135133326,15,4.0770744135133326
Djibouti,Access,4.0637968065,1,0.2709197871
Algeria,Access,4.043814815735715,7,1.887113580676667
Botswana,Access,4.036867177842857,7,1.88387134966
Lao People's Democratic Republic (the),Access,4.0279268783,5,1.3426422927666666
Mexico,"Expression, Association",4.0,1,0.2666666666666666
IDA total,Access,3.984724898,1,0.2656483265333333
Nigeria,"Expression, Association",3.95,1,0.2633333333333333
Malawi,"Expression, Association",3.95,1,0.2633333333333333
Zambia,"Expression, Association",3.95,1,0.2633333333333333
Honduras,Access,3.937806463322727,11,2.8877247397699994
Ghana,Access,3.936922173942857,7,1.83723034784
El Salvador,Access,3.914950973860715,14,3.6539542422700007
Malaysia,"Expression, Association",3.9,1,0.26
Indonesia,Access,3.8950277151966666,15,3.8950277151966666
Suriname,Access,3.889151030428572,6,1.5556604121714288
Congo (the),Access,3.8626769333,5,1.2875589777666665
