CMS slug,Region Name,Sub-region Name,Country or Area,World Bank Income Level,Access,Association,Expression,Total Country Score
zimbabwe,Africa,Sub-Saharan Africa,Zimbabwe,Lower Middle Income,4.333151753666667,4.142857142857142,,4.238004448261904
libya,Africa,Northern Africa,Libya,Upper Middle Income,2.3627682368333334,4.571428571428571,6.0,4.3113989360873015
russia,Europe,Eastern Europe,Russian Federation (the),Upper Middle Income,5.315497841611112,2.428571428571429,1.0,2.9146897567275136
ecuador,Americas,Latin America and the Caribbean,Ecuador,Upper Middle Income,5.564125824,4.571428571428571,5.9991839037006365,5.378246099709735
kyrgyzstan,Asia,Central Asia,Kyrgyzstan,Lower Middle Income,5.721043777375,4.285714285714286,,5.003379031544643
belize,Americas,Latin America and the Caribbean,Belize,Lower Middle Income,5.482538075833332,,,5.482538075833332
cote-divoire,Africa,Sub-Saharan Africa,Côte d'Ivoire,Lower Middle Income,3.5669783422916668,,,3.5669783422916668
united-kingdom,Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland (the),High Income,5.731889900833333,5.285714285714286,5.979825619423092,5.66580993532357
latvia,Europe,Northern Europe,Latvia,High Income,5.458490805388888,,5.99991599008683,5.729203397737859
bahamas,Americas,Latin America and the Caribbean,Bahamas (the),High Income,5.863749980875,,,5.863749980875
india,Asia,Southern Asia,India,Lower Middle Income,3.843506590500001,4.0,5.777967800200424,4.540491463566808
hungary,Europe,Eastern Europe,Hungary,High income,5.261809475,4.428571428571429,5.9991238966198015,5.229834933397076
honduras,Americas,Latin America and the Caribbean,Honduras,Lower Middle Income,4.029114166249999,,,4.029114166249999
senegal,Africa,Sub-Saharan Africa,Senegal,,4.932826461833334,,5.999549946893733,5.466188204363533
netherlands,Europe,Western Europe,Netherlands (the),High Income,5.653576072833334,,5.996771619051048,5.825173845942191
micronesia,Oceania,Micronesia,Micronesia (Federated States of),Lower Middle Income,5.105847168,,,5.105847168
guinea-bissau,Africa,Sub-Saharan Africa,Guinea-Bissau,Low Income,3.481973266666666,,,3.481973266666666
iraq,Asia,Western Asia,Iraq,Upper Middle Income,2.182505893666667,3.2857142857142856,5.999819978757493,3.822680052712816
luxembourg,Europe,Western Europe,Luxembourg,High Income,5.840727281388889,,5.999843981589828,5.920285631489358
