Country Name,Access,Association,Expression,Total Country Score
Afghanistan,3.269666659,,,3.269666659
Africa Eastern and Southern,3.1820330555000003,,,3.1820330555000003
Africa Western and Central,3.5670710735,,,3.5670710735
Albania,4.687009048388888,,5.999015883874297,5.343012466131593
Algeria,5.201219177333333,,5.999945993627248,5.600582585480291
Andorra,1.5,,,1.5
Angola,3.6797104518333335,5.285714285714286,,4.482712368773809
Antigua and Barbuda,1.5,,,1.5
Argentina,5.35882106775,4.857142857142858,5.9656519469297375,5.3938719572741975
Armenia,4.819292186999999,4.714285714285714,,4.766788950642857
Aruba,6.0,,,6.0
Australia,5.870859019,4.857142857142858,5.960107292660534,5.5627030562677975
Austria,5.573146764833334,,5.997113659411811,5.7851302121225725
Azerbaijan,5.148631248722222,3.0,5.999483939104815,4.716038395942346
Bahamas (the),5.863749980875,,,5.863749980875
Bahrain,5.986931101222222,2.142857142857143,,4.064894122039682
Bangladesh,3.9080555748166654,3.4285714285714284,5.996957641001638,4.444528214796577
Barbados,2.8504685719166667,,,2.8504685719166667
Belarus,5.288342380833334,3.0,5.999771973092825,4.762704784642053
Belgium,5.576997152611111,,5.994329330861042,5.785663241736076
Belize,5.482538075833332,,,5.482538075833332
Benin,3.2842011768333337,,,3.2842011768333337
Bermuda,6.0,,,6.0
Bhutan,5.496666717500001,,5.999993999291917,5.748330358395959
Bolivia (Plurinational State of),4.197938858291667,,5.999993999291917,5.098966428791792
Bosnia and Herzegovina,4.648132015055555,,5.999879985838329,5.324006000446943
Botswana,5.099186325000001,,,5.099186325000001
Brazil,5.044759693055556,4.428571428571429,5.882230103152172,5.118520408259719
Brunei Darussalam,5.731122681111112,,,5.731122681111112
Bulgaria,4.869267327666666,,5.999945993627248,5.434606660646957
Burkina Faso,2.5982792855,,,2.5982792855
Burundi,1.883314975,,,1.883314975
Cabo Verde,4.262149940333333,,,4.262149940333333
Cambodia,4.869411687333333,3.571428571428572,6.0,4.813613419587302
Cameroon,4.394366010166666,,,4.394366010166666
Canada,5.4528662365,5.571428571428571,5.985706313344974,5.670000373757849
Caribbean small states,5.9140252455,,,5.9140252455
Cayman Islands,6.0,,,6.0
Central African Republic (the),2.3466738510000003,,,2.3466738510000003
Central Europe and the Baltics,6.0,,,6.0
Chad,1.643333346,,,1.643333346
Channel Islands,6.0,,,6.0
Chile,5.810466639166666,,5.999843981589828,5.905155310378247
China,4.748915039055556,1.2857142857142856,5.97062053322292,4.001749952664254
"China, Hong Kong Special Administrative Region",5.755903751000001,,5.998685844929701,5.877294797964851
"China, Macao Special Administrative Region",5.65917454175,,5.999981997875749,5.829578269812874
Colombia,4.685861794111111,4.571428571428571,5.999105894495551,5.085465420011744
Comoros (the),2.292214647916667,,,2.292214647916667
Congo (the),4.097017765125,,,4.097017765125
Costa Rica,5.283184262722221,5.714285714285714,5.9999279915029975,5.665799322836977
Croatia,5.168422815777778,,5.9993279206946415,5.58387536823621
Cuba,4.676218407714286,2.2857142857142856,,3.4809663467142857
Curaçao,6.0,,5.999993999291917,5.999996999645958
Cyprus,5.381885438444445,,5.999963995751498,5.690924717097971
Czechia,5.3647268629107145,,5.999633956806903,5.682180409858809
Côte d'Ivoire,3.5669783422916668,,,3.5669783422916668
Democratic People's Republic of Korea (the),3.468637848,,,3.468637848
Democratic Republic of the Congo (the),2.00425004,,,2.00425004
Denmark,5.877168745111112,,5.998907871128793,5.938038308119952
Djibouti,4.0637968065,,,4.0637968065
Dominica,1.5,,,1.5
Dominican Republic (the),5.559432347666667,,5.999993999291917,5.779713173479292
Early-demographic dividend,5.6271276295,,,5.6271276295
East Asia & Pacific,5.906410476,,,5.906410476
East Asia & Pacific (IDA & IBRD countries),5.926556844,,,5.926556844
East Asia & Pacific (excluding high income),5.8964236505,,,5.8964236505
Ecuador,5.564125824,4.571428571428571,5.9991839037006365,5.378246099709735
Egypt,5.11526225678125,2.428571428571429,5.999891987254496,4.5145752242023915
El Salvador,4.014458506944444,,,4.014458506944444
Equatorial Guinea,1.08240222925,,,1.08240222925
Eritrea,0.87982163425,,,0.87982163425
Estonia,5.6046840065,5.571428571428571,5.9917550270931965,5.722622535007257
Eswatini,2.487848027583333,,,2.487848027583333
Ethiopia,2.99912707,2.7142857142857144,5.999993999291917,3.904468927859211
Euro area,6.0,,,6.0
Europe & Central Asia,5.999666314500001,,,5.999666314500001
Europe & Central Asia (IDA & IBRD countries),5.9993331895,,,5.9993331895
Europe & Central Asia (excluding high income),5.999266262,,,5.999266262
European Union,6.0,,,6.0
Faroe Islands,6.0,,,6.0
Fiji,2.7943092981666666,,,2.7943092981666666
Finland,5.647459425888889,,5.998061771289012,5.822760598588951
Fragile and conflict affected situations,3.703344842,,,3.703344842
France,5.379493254500001,5.285714285714286,5.921486735434781,5.528898091883022
French Polynesia,6.0,,,6.0
Gabon,4.936307017,,,4.936307017
Gambia (the),3.8839368345,4.142857142857142,,4.013396988678571
Georgia,4.845425625777779,5.428571428571429,,5.136998527174604
Germany,5.4816090615,5.142857142857143,5.963509694143909,5.529325299500351
Ghana,5.266316604666667,4.857142857142858,,5.061729730904762
Gibraltar,6.0,,,6.0
Greece,5.039854911777779,,5.997323684194735,5.5185892979862565
Greenland,6.0,,,6.0
Grenada,1.44285926825,,,1.44285926825
Guam,6.0,,,6.0
Guatemala,3.8170528876666654,,,3.8170528876666654
Guinea,2.757148901666667,,,2.757148901666667
Guinea-Bissau,3.481973266666666,,,3.481973266666666
Guyana,2.4897943815000003,,,2.4897943815000003
Haiti,3.901559448166666,,,3.901559448166666
Heavily indebted poor countries (HIPC),3.231248257,,,3.231248257
High income,5.9999854205,,,5.9999854205
Honduras,4.029114166249999,,,4.029114166249999
Hungary,5.261809475,4.428571428571429,5.9991238966198015,5.229834933397076
IBRD only,5.925103221,,,5.925103221
IDA & IBRD total,5.4253632735,,,5.4253632735
IDA blend,4.3419534285,,,4.3419534285
IDA only,3.8038523145,,,3.8038523145
IDA total,3.984724898,,,3.984724898
Iceland,5.821000035666667,5.857142857142857,,5.839071446404762
India,3.843506590500001,4.0,5.777967800200424,4.540491463566808
Indonesia,3.9642635412777785,3.4285714285714284,4.470293494632367,3.954376154827191
Iran (Islamic Republic of),5.0142902835,1.7142857142857144,,3.3642879988928573
Iraq,2.182505893666667,3.2857142857142856,5.999819978757493,3.8226800527128155
Ireland,5.496807493277778,,5.996363570901366,5.746585532089572
Isle of Man,6.0,,5.999057888830882,5.999528944415442
Israel,5.495259227666667,,5.984464166771679,5.7398616972191725
Italy,5.8732879638333335,5.285714285714286,5.967236133863796,5.708746127803805
Jamaica,2.7079390207500005,,5.999993999291917,4.353966510020959
Japan,5.628997229666667,5.142857142857143,5.987698548428715,5.586517640317509
Jordan,5.575766372666667,3.4285714285714284,5.999573949726067,5.001303916988054
Kazakhstan,5.1907060927222215,2.571428571428571,5.397336885752519,4.386490516634438
Kenya,2.989423970722223,4.857142857142858,5.9993519235269765,4.615306250464019
Kiribati,1.5,,,1.5
Kosovo (UNSCR 1244),6.0,,,6.0
Kuwait,5.978015511666666,,5.999771973092825,5.988893742379745
Kyrgyzstan,5.721043777375,4.285714285714286,,5.003379031544643
Lao People's Democratic Republic (the),5.321897697375,,,5.321897697375
Late-demographic dividend,5.9685068135,,,5.9685068135
Latin America & Caribbean,5.921214735,,,5.921214735
Latin America & Caribbean (excluding high income),5.9136359815,,,5.9136359815
Latin America & the Caribbean (IDA & IBRD countries),5.919422330500001,,,5.919422330500001
Latvia,5.458490805388888,,5.99991599008683,5.729203397737859
Least developed countries: UN classification,3.638914032,,,3.638914032
Lebanon,5.556093343000001,4.142857142857142,5.999699964595822,5.232883483484322
Lesotho,3.664402210222223,,,3.664402210222223
Liberia,2.8901906015,,,2.8901906015
Libya,2.3627682368333334,4.571428571428571,6.0,4.3113989360873015
Liechtenstein,1.5,,,1.5
Lithuania,5.325428849166666,,5.99964595822307,5.662537403694868
Low & middle income,5.410521527,,,5.410521527
Low income,3.0461670905,,,3.0461670905
Lower middle income,5.451776276,,,5.451776276
Luxembourg,5.840727281388889,,5.999843981589828,5.920285631489358
Madagascar,1.4221932410833336,,,1.4221932410833336
Malawi,3.3573164494999994,4.571428571428571,6.0,4.64291500697619
Malaysia,5.274803588333333,4.0,5.998085774121346,5.090963120818226
Maldives,5.858648173,,,5.858648173
Mali,3.0498111405,,,3.0498111405
Malta,5.466172614055555,,5.999987998583833,5.733080306319694
Marshall Islands,1.468045044,,,1.468045044
Mauritania,3.7119376183333337,,,3.7119376183333337
Mauritius,4.3935711013333325,,5.999963995751498,5.196767548542415
Mexico,4.873930338555556,4.571428571428571,5.998925873253044,5.148094927745723
Micronesia (Federated States of),5.105847168,,,5.105847168
Middle East & North Africa,5.86162699,,,5.86162699
Middle East & North Africa (IDA & IBRD countries),5.835756485000001,,,5.835756485000001
Middle East & North Africa (excluding high income),5.8377323925,,,5.8377323925
Middle income,5.675258436,,,5.675258436
Monaco,1.5,,5.999987998583833,3.7499939992919167
Mongolia,4.279027318444445,,,4.279027318444445
Montenegro,5.014772532722223,,,5.014772532722223
Morocco,4.934710062888889,4.142857142857142,5.999963995751498,5.02584373383251
Mozambique,2.8119246165000003,,,2.8119246165000003
Myanmar,4.272660954833333,2.0,,3.1363304774166667
Namibia,4.513251940333333,,,4.513251940333333
Nauru,1.5,,,1.5
Nepal,4.681262436,,5.9995559476018165,5.340409191800909
Netherlands (the),5.653576072833334,,5.996771619051048,5.8251738459421905
New Caledonia,6.0,,,6.0
New Zealand,5.860814793833334,,5.998133779786015,5.929474286809674
Nicaragua,4.510561052833333,3.571428571428572,6.0,4.693996541420635
Niger (the),0.8371227105833334,,,0.8371227105833334
Nigeria,4.183517176333333,4.571428571428571,5.999393928483562,4.918113225415156
North America,6.0,,,6.0
North Macedonia,5.220509812277777,,6.0,5.610254906138889
Northern Mariana Islands,6.0,,,6.0
Norway,5.862166826,,5.998955876793461,5.930561351396731
OECD members,5.9995153485,,,5.9995153485
Oman,5.424903970083332,,6.0,5.712451985041666
Other small states,4.91216657,,,4.91216657
Pacific island small states,5.337289029,,,5.337289029
Pakistan,2.329600710722222,2.857142857142857,5.759425612222242,3.648723060029107
Palau,6.0,,,6.0
Panama,4.674314566166667,,,4.674314566166667
