Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,HRAssociation
Aruba,2019,% of population covered by electricity,100.0,6.0,True,Access
Africa Eastern and Southern,2019,% of population covered by electricity,43.64066111,3.1820330555000003,True,Access
Afghanistan,2019,% of population covered by electricity,97.7,5.885,True,Access
Africa Western and Central,2019,% of population covered by electricity,51.34142147,3.5670710735,True,Access
Angola,2019,% of population covered by electricity,45.67031479,3.2835157395,True,Access
Albania,2019,% of population covered by electricity,100.0,6.0,True,Access
Andorra,2019,% of population covered by electricity,100.0,6.0,True,Access
Arab World,2019,% of population covered by electricity,89.51228232,5.475614116,True,Access
United Arab Emirates,2019,% of population covered by electricity,100.0,6.0,True,Access
Argentina,2019,% of population covered by electricity,100.0,6.0,True,Access
Armenia,2019,% of population covered by electricity,100.0,6.0,True,Access
American Samoa,2019,% of population covered by electricity,,,True,Access
Antigua and Barbuda,2019,% of population covered by electricity,100.0,6.0,True,Access
Australia,2019,% of population covered by electricity,100.0,6.0,True,Access
Austria,2019,% of population covered by electricity,100.0,6.0,True,Access
Azerbaijan,2019,% of population covered by electricity,100.0,6.0,True,Access
Burundi,2019,% of population covered by electricity,11.0647974,1.55323987,True,Access
Belgium,2019,% of population covered by electricity,100.0,6.0,True,Access
Benin,2019,% of population covered by electricity,40.31874084,3.015937042,True,Access
Burkina Faso,2019,% of population covered by electricity,18.3791523,1.918957615,True,Access
Bangladesh,2019,% of population covered by electricity,92.2,5.61,True,Access
Bulgaria,2019,% of population covered by electricity,100.0,6.0,True,Access
Bahrain,2019,% of population covered by electricity,100.0,6.0,True,Access
"Bahamas, The",2019,% of population covered by electricity,100.0,6.0,True,Access
Bosnia and Herzegovina,2019,% of population covered by electricity,100.0,6.0,True,Access
Belarus,2019,% of population covered by electricity,100.0,6.0,True,Access
Belize,2019,% of population covered by electricity,92.72,5.636,True,Access
Bermuda,2019,% of population covered by electricity,100.0,6.0,True,Access
Bolivia,2019,% of population covered by electricity,96.30310059,5.8151550295,True,Access
Brazil,2019,% of population covered by electricity,99.8,5.99,True,Access
Barbados,2019,% of population covered by electricity,100.0,6.0,True,Access
Brunei Darussalam,2019,% of population covered by electricity,100.0,6.0,True,Access
Bhutan,2019,% of population covered by electricity,100.0,6.0,True,Access
Botswana,2019,% of population covered by electricity,70.18318176,4.5091590880000005,True,Access
Central African Republic,2019,% of population covered by electricity,14.3,1.7149999999999999,True,Access
Canada,2019,% of population covered by electricity,100.0,6.0,True,Access
Central Europe and the Baltics,2019,% of population covered by electricity,100.0,6.0,True,Access
Switzerland,2019,% of population covered by electricity,100.0,6.0,True,Access
Channel Islands,2019,% of population covered by electricity,100.0,6.0,True,Access
Chile,2019,% of population covered by electricity,100.0,6.0,True,Access
China,2019,% of population covered by electricity,100.0,6.0,True,Access
Cote d'Ivoire,2019,% of population covered by electricity,68.55010986,4.427505493,True,Access
Cameroon,2019,% of population covered by electricity,63.45231247,4.1726156235000005,True,Access
"Congo, Dem. Rep.",2019,% of population covered by electricity,19.1,1.955,True,Access
"Congo, Rep.",2019,% of population covered by electricity,48.32972336,3.416486168,True,Access
Colombia,2019,% of population covered by electricity,99.7662735,5.988313675,True,Access
Comoros,2019,% of population covered by electricity,84.04824066,5.202412033000001,True,Access
Cabo Verde,2019,% of population covered by electricity,95.53353882,5.776676941,True,Access
Costa Rica,2019,% of population covered by electricity,99.71,5.985499999999999,True,Access
Caribbean small states,2019,% of population covered by electricity,98.28050491,5.9140252455,True,Access
Cuba,2019,% of population covered by electricity,99.8,5.99,True,Access
Curacao,2019,% of population covered by electricity,100.0,6.0,True,Access
Cayman Islands,2019,% of population covered by electricity,100.0,6.0,True,Access
Cyprus,2019,% of population covered by electricity,100.0,6.0,True,Access
Czech Republic,2019,% of population covered by electricity,100.0,6.0,True,Access
Germany,2019,% of population covered by electricity,100.0,6.0,True,Access
Djibouti,2019,% of population covered by electricity,61.27593613,4.0637968065,True,Access
Dominica,2019,% of population covered by electricity,100.0,6.0,True,Access
Denmark,2019,% of population covered by electricity,100.0,6.0,True,Access
Dominican Republic,2019,% of population covered by electricity,100.0,6.0,True,Access
Algeria,2019,% of population covered by electricity,99.5,5.975,True,Access
East Asia & Pacific (excluding high income),2019,% of population covered by electricity,97.92847301,5.8964236505,True,Access
Early-demographic dividend,2019,% of population covered by electricity,92.54255259,5.6271276295,True,Access
East Asia & Pacific,2019,% of population covered by electricity,98.12820952,5.906410476,True,Access
Europe & Central Asia (excluding high income),2019,% of population covered by electricity,99.98532524,5.999266262,True,Access
Europe & Central Asia,2019,% of population covered by electricity,99.99332629,5.999666314500001,True,Access
Ecuador,2019,% of population covered by electricity,100.0,6.0,True,Access
"Egypt, Arab Rep.",2019,% of population covered by electricity,100.0,6.0,True,Access
Euro area,2019,% of population covered by electricity,100.0,6.0,True,Access
Eritrea,2019,% of population covered by electricity,50.38573074,3.5192865369999997,True,Access
Spain,2019,% of population covered by electricity,100.0,6.0,True,Access
Estonia,2019,% of population covered by electricity,100.0,6.0,True,Access
Ethiopia,2019,% of population covered by electricity,48.2716217,3.4135810849999997,True,Access
European Union,2019,% of population covered by electricity,100.0,6.0,True,Access
Fragile and conflict affected situations,2019,% of population covered by electricity,54.06689684,3.7033448420000004,True,Access
Finland,2019,% of population covered by electricity,100.0,6.0,True,Access
Fiji,2019,% of population covered by electricity,100.0,6.0,True,Access
France,2019,% of population covered by electricity,100.0,6.0,True,Access
Faroe Islands,2019,% of population covered by electricity,100.0,6.0,True,Access
"Micronesia, Fed. Sts.",2019,% of population covered by electricity,82.11694336,5.1058471679999995,True,Access
Gabon,2019,% of population covered by electricity,90.68525696,5.534262848,True,Access
United Kingdom,2019,% of population covered by electricity,100.0,6.0,True,Access
Georgia,2019,% of population covered by electricity,100.0,6.0,True,Access
Ghana,2019,% of population covered by electricity,83.5,5.175,True,Access
Gibraltar,2019,% of population covered by electricity,100.0,6.0,True,Access
Guinea,2019,% of population covered by electricity,42.41838837,3.1209194185,True,Access
"Gambia, The",2019,% of population covered by electricity,59.92128754,3.996064377,True,Access
Guinea-Bissau,2019,% of population covered by electricity,31.0404129,2.552020645,True,Access
Equatorial Guinea,2019,% of population covered by electricity,66.59217834,4.329608917,True,Access
Greece,2019,% of population covered by electricity,100.0,6.0,True,Access
Grenada,2019,% of population covered by electricity,95.42874146,5.7714370729999995,True,Access
Greenland,2019,% of population covered by electricity,100.0,6.0,True,Access
Guatemala,2019,% of population covered by electricity,95.72457123,5.7862285615,True,Access
Guam,2019,% of population covered by electricity,100.0,6.0,True,Access
Guyana,2019,% of population covered by electricity,92.02169037,5.6010845184999996,True,Access
High income,2019,% of population covered by electricity,99.99970841,5.9999854205,True,Access
"Hong Kong SAR, China",2019,% of population covered by electricity,100.0,6.0,True,Access
