Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,HR Association
Afghanistan,2019,% of population covered by mobile 3G+ data connectivity,58.7,3.935,True,Access
Angola,2019,% of population covered by mobile 3G+ data connectivity,71.0,4.55,True,Access
Albania,2019,% of population covered by mobile 3G+ data connectivity,97.0,5.85,True,Access
United Arab Emirates,2019,% of population covered by mobile 3G+ data connectivity,100.0,6.0,True,Access
Argentina,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Armenia,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Australia,2019,% of population covered by mobile 3G+ data connectivity,99.5,5.975,True,Access
Austria,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Azerbaijan,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Burundi,2019,% of population covered by mobile 3G+ data connectivity,40.0,3.0,True,Access
Belgium,2019,% of population covered by mobile 3G+ data connectivity,100.0,6.0,True,Access
Benin,2019,% of population covered by mobile 3G+ data connectivity,89.0,5.45,True,Access
Burkina Faso,2019,% of population covered by mobile 3G+ data connectivity,65.0,4.25,True,Access
Bangladesh,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Bulgaria,2019,% of population covered by mobile 3G+ data connectivity,100.0,6.0,True,Access
Bahrain,2019,% of population covered by mobile 3G+ data connectivity,100.0,6.0,True,Access
Bahamas,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Bosnia and Herzegovina,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Belarus,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Belize,2019,% of population covered by mobile 3G+ data connectivity,98.0,5.9,True,Access
Bolivia,2019,% of population covered by mobile 3G+ data connectivity,82.87,5.1435,True,Access
Brazil,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Barbados,2019,% of population covered by mobile 3G+ data connectivity,94.49,5.7245,True,Access
Brunei Darussalam,2019,% of population covered by mobile 3G+ data connectivity,95.94,5.797,True,Access
Bhutan,2019,% of population covered by mobile 3G+ data connectivity,90.0,5.5,True,Access
Botswana,2019,% of population covered by mobile 3G+ data connectivity,85.0,5.25,True,Access
Central African Republic,2019,% of population covered by mobile 3G+ data connectivity,29.0,2.45,True,Access
Canada,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Switzerland,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Chile,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
China,2019,% of population covered by mobile 3G+ data connectivity,98.0,5.9,True,Access
Cote d'Ivoire,2019,% of population covered by mobile 3G+ data connectivity,74.93,4.7465,True,Access
Cameroon,2019,% of population covered by mobile 3G+ data connectivity,84.9,5.245,True,Access
"Congo, Democratic Republic",2019,% of population covered by mobile 3G+ data connectivity,53.1,3.655,True,Access
Congo,2019,% of population covered by mobile 3G+ data connectivity,84.1,5.205,True,Access
Colombia,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Comoros,2019,% of population covered by mobile 3G+ data connectivity,86.0,5.3,True,Access
Cabo Verde,2019,% of population covered by mobile 3G+ data connectivity,76.57,4.8285,True,Access
Costa Rica,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Cyprus,2019,% of population covered by mobile 3G+ data connectivity,99.5,5.975,True,Access
Czechia,2019,% of population covered by mobile 3G+ data connectivity,99.8,5.99,True,Access
Germany,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Denmark,2019,% of population covered by mobile 3G+ data connectivity,99.5,5.975,True,Access
Dominican Republic,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Algeria,2019,% of population covered by mobile 3G+ data connectivity,90.0,5.5,True,Access
Ecuador,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Egypt,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Spain,2019,% of population covered by mobile 3G+ data connectivity,99.6,5.98,True,Access
Estonia,2019,% of population covered by mobile 3G+ data connectivity,100.0,6.0,True,Access
Ethiopia,2019,% of population covered by mobile 3G+ data connectivity,85.0,5.25,True,Access
Finland,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Fiji,2019,% of population covered by mobile 3G+ data connectivity,96.0,5.8,True,Access
France,2019,% of population covered by mobile 3G+ data connectivity,99.6,5.98,True,Access
Gabon,2019,% of population covered by mobile 3G+ data connectivity,73.14,4.657,True,Access
United Kingdom,2019,% of population covered by mobile 3G+ data connectivity,99.48,5.974,True,Access
Georgia,2019,% of population covered by mobile 3G+ data connectivity,90.0,5.5,True,Access
Ghana,2019,% of population covered by mobile 3G+ data connectivity,89.0,5.45,True,Access
Guinea,2019,% of population covered by mobile 3G+ data connectivity,75.0,4.75,True,Access
Gambia,2019,% of population covered by mobile 3G+ data connectivity,88.0,5.4,True,Access
Guinea-Bissau,2019,% of population covered by mobile 3G+ data connectivity,90.0,5.5,True,Access
Greece,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Guatemala,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Guyana,2019,% of population covered by mobile 3G+ data connectivity,51.98,3.5989999999999998,True,Access
Hong Kong,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Honduras,2019,% of population covered by mobile 3G+ data connectivity,87.68,5.384,True,Access
Croatia,2019,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True,Access
Haiti,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
Hungary,2019,% of population covered by mobile 3G+ data connectivity,97.31,5.8655,True,Access
Indonesia,2019,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True,Access
