Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,HRAssociation
Angola,2018,Electricity supply quality,,,True,Access
Albania,2018,Electricity supply quality,4.607355595,1.23036777975,True,Access
United Arab Emirates,2018,Electricity supply quality,6.519955158,1.3259977579,True,Access
Argentina,2018,Electricity supply quality,3.007206678,1.1503603339,True,Access
Armenia,2018,Electricity supply quality,4.78017807,1.2390089035,True,Access
Australia,2018,Electricity supply quality,5.685798645,1.28428993225,True,Access
Austria,2018,Electricity supply quality,6.576155186,1.3288077593,True,Access
Azerbaijan,2018,Electricity supply quality,5.491449356,1.2745724678,True,Access
Burundi,2018,Electricity supply quality,2.402282715,1.12011413575,True,Access
Belgium,2018,Electricity supply quality,6.479475021,1.32397375105,True,Access
Benin,2018,Electricity supply quality,2.061007738,1.1030503869,True,Access
Burkina Faso,2018,Electricity supply quality,,,True,Access
Bangladesh,2018,Electricity supply quality,3.651048183,1.18255240915,True,Access
Bulgaria,2018,Electricity supply quality,4.769080162,1.2384540081,True,Access
Bahrain,2018,Electricity supply quality,6.155039787,1.30775198935,True,Access
Bosnia and Herzegovina,2018,Electricity supply quality,4.820159435,1.24100797175,True,Access
Belize,2018,Electricity supply quality,,,True,Access
Bolivia,2018,Electricity supply quality,,,True,Access
Brazil,2018,Electricity supply quality,4.493568897,1.2246784448499999,True,Access
Barbados,2018,Electricity supply quality,,,True,Access
Brunei Darussalam,2018,Electricity supply quality,5.414878845,1.27074394225,True,Access
Bhutan,2018,Electricity supply quality,5.847624302,1.2923812151,True,Access
Botswana,2018,Electricity supply quality,3.737078428,1.1868539214,True,Access
Canada,2018,Electricity supply quality,6.581215382,1.3290607691,True,Access
Switzerland,2018,Electricity supply quality,6.864514351,1.34322571755,True,Access
Chile,2018,Electricity supply quality,6.107229233,1.30536146165,True,Access
China,2018,Electricity supply quality,4.978913307,1.24894566535,True,Access
Cote d'Ivoire,2018,Electricity supply quality,,,True,Access
Cameroon,2018,Electricity supply quality,2.216767073,1.11083835365,True,Access
"Congo, Dem. Rep.",2018,Electricity supply quality,2.061291218,1.1030645609,True,Access
Colombia,2018,Electricity supply quality,4.768822193,1.23844110965,True,Access
Cabo Verde,2018,Electricity supply quality,3.463176727,1.17315883635,True,Access
