Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,HRAssociation
Angola,2021,Limits on content,30,5.285714285714286,True,Association
Argentina,2021,Limits on content,27,4.857142857142858,True,Association
Armenia,2021,Limits on content,26,4.714285714285714,True,Association
Australia,2021,Limits on content,27,4.857142857142858,True,Association
Azerbaijan,2021,Limits on content,14,3.0,True,Association
Bahrain,2021,Limits on content,8,2.142857142857143,True,Association
Bangladesh,2021,Limits on content,17,3.4285714285714284,True,Association
Belarus,2021,Limits on content,14,3.0,True,Association
Brazil,2021,Limits on content,24,4.428571428571429,True,Association
Cambodia,2021,Limits on content,18,3.5714285714285716,True,Association
Canada,2021,Limits on content,32,5.571428571428571,True,Association
China,2021,Limits on content,2,1.2857142857142856,True,Association
Colombia,2021,Limits on content,25,4.571428571428571,True,Association
Costa Rica,2021,Limits on content,33,5.714285714285714,True,Association
Cuba,2021,Limits on content,9,2.2857142857142856,True,Association
Ecuador,2021,Limits on content,25,4.571428571428571,True,Association
Egypt,2021,Limits on content,10,2.428571428571429,True,Association
Estonia,2021,Limits on content,32,5.571428571428571,True,Association
Ethiopia,2021,Limits on content,12,2.7142857142857144,True,Association
France,2021,Limits on content,30,5.285714285714286,True,Association
Georgia,2021,Limits on content,31,5.428571428571429,True,Association
Germany,2021,Limits on content,29,5.142857142857143,True,Association
Ghana,2021,Limits on content,27,4.857142857142858,True,Association
Hungary,2021,Limits on content,24,4.428571428571429,True,Association
Iceland,2021,Limits on content,34,5.857142857142857,True,Association
India,2021,Limits on content,21,4.0,True,Association
Indonesia,2021,Limits on content,17,3.4285714285714284,True,Association
Iran,2021,Limits on content,5,1.7142857142857144,True,Association
Iraq,2021,Limits on content,16,3.2857142857142856,True,Association
Italy,2021,Limits on content,30,5.285714285714286,True,Association
Japan,2021,Limits on content,29,5.142857142857143,True,Association
Jordan,2021,Limits on content,17,3.4285714285714284,True,Association
Kazakhstan,2021,Limits on content,11,2.571428571428571,True,Association
Kenya,2021,Limits on content,27,4.857142857142858,True,Association
Kyrgyzstan,2021,Limits on content,23,4.285714285714286,True,Association
Lebanon,2021,Limits on content,22,4.142857142857142,True,Association
Libya,2021,Limits on content,25,4.571428571428571,True,Association
Malawi,2021,Limits on content,25,4.571428571428571,True,Association
Malaysia,2021,Limits on content,21,4.0,True,Association
Mexico,2021,Limits on content,25,4.571428571428571,True,Association
Morocco,2021,Limits on content,22,4.142857142857142,True,Association
Myanmar,2021,Limits on content,7,2.0,True,Association
Nicaragua,2021,Limits on content,18,3.5714285714285716,True,Association
Nigeria,2021,Limits on content,25,4.571428571428571,True,Association
Pakistan,2021,Limits on content,13,2.857142857142857,True,Association
Philippines,2021,Limits on content,26,4.714285714285714,True,Association
Russia,2021,Limits on content,10,2.428571428571429,True,Association
Rwanda,2021,Limits on content,11,2.571428571428571,True,Association
Saudi Arabia,2021,Limits on content,8,2.142857142857143,True,Association
Serbia,2021,Limits on content,25,4.571428571428571,True,Association
Singapore,2021,Limits on content,17,3.4285714285714284,True,Association
South Africa,2021,Limits on content,29,5.142857142857143,True,Association
South Korea,2021,Limits on content,24,4.428571428571429,True,Association
Sri Lanka,2021,Limits on content,23,4.285714285714286,True,Association
Sudan,2021,Limits on content,15,3.142857142857143,True,Association
Taiwan,2021,Limits on content,31,5.428571428571429,True,Association
Thailand,2021,Limits on content,13,2.857142857142857,True,Association
The Gambia,2021,Limits on content,22,4.142857142857142,True,Association
Tunisia,2021,Limits on content,28,5.0,True,Association
Turkey,2021,Limits on content,10,2.428571428571429,True,Association
Uganda,2021,Limits on content,19,3.7142857142857144,True,Association
Ukraine,2021,Limits on content,21,4.0,True,Association
United Arab Emirates,2021,Limits on content,9,2.2857142857142856,True,Association
United Kingdom,2021,Limits on content,30,5.285714285714286,True,Association
United States,2021,Limits on content,29,5.142857142857143,True,Association
Uzbekistan,2021,Limits on content,12,2.7142857142857144,True,Association
Venezuela,2021,Limits on content,12,2.7142857142857144,True,Association
Vietnam,2021,Limits on content,6,1.8571428571428572,True,Association
Zambia,2021,Limits on content,24,4.428571428571429,True,Association
Zimbabwe,2021,Limits on content,22,4.142857142857142,True,Association
