Country Name,HRAssociation,agg_score,count_source,agg_score_wt
Ethiopia,Expression,6.0,1,0.6666666666666666
Palau,Access,6.0,1,0.6666666666666666
"Hong Kong SAR, China",Access,6.0,1,0.6666666666666666
Channel Islands,Access,6.0,1,0.6666666666666666
Puerto Rico,Access,6.0,1,0.6666666666666666
Puerto Rico,Expression,6.0,1,0.6666666666666666
Guam,Access,6.0,1,0.6666666666666666
Bermuda,Access,6.0,1,0.6666666666666666
Greenland,Access,6.0,1,0.6666666666666666
Gibraltar,Access,6.0,1,0.6666666666666666
French Polynesia,Access,6.0,1,0.6666666666666666
Bolivia (Plurinational State of),Expression,6.0,1,0.6666666666666666
Faroe Islands,Access,6.0,1,0.6666666666666666
European Union,Access,6.0,1,0.6666666666666666
Turks and Caicos Islands,Access,6.0,1,0.6666666666666666
British Virgin Islands,Access,6.0,1,0.6666666666666666
Euro area,Access,6.0,1,0.6666666666666666
Seychelles,Access,6.0,1,0.6666666666666666
Sint Maarten (Dutch part),Access,6.0,1,0.6666666666666666
Slovak Republic,Access,6.0,1,0.6666666666666666
"Egypt, Arab Rep.",Access,6.0,1,0.6666666666666666
Egypt,Expression,6.0,1,0.6666666666666666
Dominican Republic (the),Expression,6.0,1,0.6666666666666666
Cambodia,Expression,6.0,1,0.6666666666666666
Somalia,Expression,6.0,1,0.6666666666666666
South Africa,Expression,6.0,1,0.6666666666666666
Curacao,Access,6.0,1,0.6666666666666666
St. Kitts and Nevis,Access,6.0,1,0.6666666666666666
Cayman Islands,Access,6.0,1,0.6666666666666666
St. Martin (French part),Access,6.0,1,0.6666666666666666
Central Europe and the Baltics,Access,6.0,1,0.6666666666666666
Papua New Guinea,Expression,6.0,1,0.6666666666666666
St. Vincent and the Grenadines,Access,6.0,1,0.6666666666666666
Aruba,Access,6.0,1,0.6666666666666666
Northern Mariana Islands,Access,6.0,1,0.6666666666666666
New Caledonia,Access,6.0,1,0.6666666666666666
Uruguay,Expression,6.0,1,0.6666666666666666
Lao PDR,Access,6.0,1,0.6666666666666666
Virgin Islands (U.S.),Access,6.0,1,0.6666666666666666
West Bank and Gaza,Access,6.0,1,0.6666666666666666
Nicaragua,Expression,6.0,1,0.6666666666666666
North America,Access,6.0,1,0.6666666666666666
North Macedonia,Expression,6.0,1,0.6666666666666666
Algeria,Expression,6.0,1,0.6666666666666666
"Venezuela, RB",Access,6.0,1,0.6666666666666666
Kosovo,Access,6.0,1,0.6666666666666666
Isle of Man,Access,6.0,1,0.6666666666666666
Morocco,Expression,6.0,1,0.6666666666666666
Uzbekistan,Expression,6.0,1,0.6666666666666666
"Iran, Islamic Rep.",Access,6.0,1,0.6666666666666666
"Bahamas, The",Access,6.0,1,0.6666666666666666
Libya,Expression,6.0,1,0.6666666666666666
"Macao SAR, China",Access,6.0,1,0.6666666666666666
Oman,Expression,6.0,1,0.6666666666666666
Malawi,Expression,6.0,1,0.6666666666666666
"Korea, Rep.",Access,6.0,1,0.6666666666666666
High income,Access,5.9999854205,1,0.6666650467222222
Post-demographic dividend,Access,5.999898145,1,0.6666553494444445
Europe & Central Asia,Access,5.999666314500001,1,0.6666295905
OECD members,Access,5.9995153485,1,0.6666128164999999
Europe & Central Asia (IDA & IBRD countries),Access,5.9993331895,1,0.666592576611111
Europe & Central Asia (excluding high income),Access,5.999266262,1,0.6665851402222222
Kyrgyz Republic,Access,5.9940876005,1,0.6660097333888889
Bahrain,Access,5.986931101222222,9,5.986931101222222
Kuwait,Access,5.978015511666666,9,5.978015511666666
St. Lucia,Access,5.9773887635,1,0.6641543070555554
United Arab Emirates,Access,5.972683488333334,9,5.972683488333334
Upper middle income,Access,5.9688701305,1,0.6632077922777777
Late-demographic dividend,Access,5.9685068135,1,0.6631674237222223
East Asia & Pacific (IDA & IBRD countries),Access,5.926556844,1,0.658506316
IBRD only,Access,5.925103221,1,0.6583448023333333
Latin America & Caribbean,Access,5.921214735,1,0.6579127483333334
Latin America & the Caribbean (IDA & IBRD countries),Access,5.919422330500001,1,0.6577135922777778
Caribbean small states,Access,5.9140252455,1,0.6571139161666667
Latin America & Caribbean (excluding high income),Access,5.9136359815,1,0.6570706646111111
East Asia & Pacific,Access,5.906410476,1,0.6562678306666666
East Asia & Pacific (excluding high income),Access,5.8964236505,1,0.6551581833888889
Qatar,Access,5.895115066888889,9,5.895115066888889
Denmark,Access,5.877168745111112,9,5.877168745111112
Italy,Access,5.8732879638333335,3,1.957762654611111
Australia,Access,5.870859019,3,1.9569530063333334
Norway,Access,5.862166825999999,9,5.862166825999999
Middle East & North Africa,Access,5.86162699,1,0.6512918877777778
New Zealand,Access,5.860814793833334,3,1.953604931277778
Maldives,Access,5.858648173,3,1.952882724333333
Iceland,Association,5.857142857142857,1,0.6507936507936507
Luxembourg,Access,5.840727281388889,9,5.840727281388889
Middle East & North Africa (excluding high income),Access,5.8377323925,1,0.6486369325
Middle East & North Africa (IDA & IBRD countries),Access,5.835756485000001,1,0.6484173872222223
"Korea, South",Access,5.82139968875,2,1.2936443752777775
Iceland,Access,5.821000035666667,3,1.9403333452222222
Chile,Access,5.810466639166666,3,1.9368222130555552
Korea (Rep. of),Access,5.800611354083333,6,3.8670742360555552
Saudi Arabia,Access,5.796191824555556,9,5.796191824555556
Sweden,Access,5.7541060926666665,9,5.7541060926666665
United Kingdom,Access,5.731889900833334,9,5.731889900833334
Brunei Darussalam,Access,5.731122681111112,9,5.731122681111112
