Pillar,Sub-Pillar,Country Name,agg_score,count_source,agg_score_wt
Business,Financing Incentives,Armenia,3.274553597766255,1,0.363839288640695
Business,Startup Environment,Armenia,4.136283895025133,8,3.676696795577896
Business,Technology Adoption,Armenia,3.293226382225958,5,1.8295702123477549
Foundations,Digital Legal Identity,Armenia,4.5,3,1.5
Foundations,Digital Payments,Armenia,2.2884431069645177,8,2.034171650635127
Government,Capabilities,Armenia,3.383177570093458,1,0.6766355140186917
Government,Digital Public Services,Armenia,3.493622448979592,3,2.096173469387755
Government,Funding and procurement,Armenia,2.666666666666667,1,0.5333333333333334
Government,Leadership and coordination,Armenia,1.0,1,0.2
Infrastructure,Connectivity Technology,Armenia,3.618030037354818,23,3.618030037354818
Infrastructure,Innovation Ecosystem,Armenia,2.4373015277300687,12,1.2716355796852532
People,Culture,Armenia,1.4918286726804124,1,0.0932392920425257
People,Digital Literacy Skills,Armenia,4.220459717833085,4,1.0551149294582711
People,Digital Wellbeing,Armenia,2.7552080424727072,3,0.5166015079636326
People,Usage and ownership,Armenia,2.9028185269373523,11,1.9956877372694295
Regulation,Cybersecurity,Armenia,4.888888888888889,1,4.888888888888889
Strategy,Ambition,Armenia,4.518907563025209,1,4.518907563025209
