Country Name,Pillar,Sub-Pillar,Score
Solomon Islands,Business,Technology Adoption,
Solomon Islands,Business,Startup Environment,4.555458166666667
Solomon Islands,Business,Impact commitments,
Solomon Islands,Business,Financing Incentives,
Samoa,Business,Technology Adoption,
Samoa,Business,Startup Environment,4.462311499999999
Samoa,Business,Impact commitments,
Samoa,Business,Financing Incentives,
Guinea-Bissau,Business,Financing Incentives,
Guinea-Bissau,Business,Impact commitments,
Guinea-Bissau,Business,Startup Environment,3.3166075
Guinea-Bissau,Business,Technology Adoption,
Curaçao,Business,Financing Incentives,
Curaçao,Business,Impact commitments,
Curaçao,Business,Startup Environment,
Curaçao,Business,Technology Adoption,
Uzbekistan,Business,Technology Adoption,2.8463
Uzbekistan,Business,Startup Environment,3.494146667086
Uzbekistan,Business,Financing Incentives,
Uzbekistan,Business,Impact commitments,
Samoa,Foundations,Data Exchange,
Samoa,Foundations,Digital Legal Identity,1.6473666666666666
Samoa,Foundations,Digital Payments,
Guinea-Bissau,Foundations,Digital Payments,
Guinea-Bissau,Foundations,Digital Legal Identity,3.194933333333334
Guinea-Bissau,Foundations,Data Exchange,
Uzbekistan,Foundations,Data Exchange,
Uzbekistan,Foundations,Digital Legal Identity,3.9268
Uzbekistan,Foundations,Digital Payments,2.1833428571428573
Curaçao,Foundations,Digital Payments,
Curaçao,Foundations,Digital Legal Identity,
Curaçao,Foundations,Data Exchange,
Solomon Islands,Foundations,Data Exchange,
Solomon Islands,Foundations,Digital Legal Identity,1.8469666666666669
Solomon Islands,Foundations,Digital Payments,
Guinea-Bissau,Government,Monitoring,
Guinea-Bissau,Government,Leadership and coordination,
Guinea-Bissau,Government,Funding and procurement,
Guinea-Bissau,Government,Digital Public Services,1.3692600000000001
Guinea-Bissau,Government,Capabilities,
Solomon Islands,Government,Capabilities,
Solomon Islands,Government,Monitoring,
Solomon Islands,Government,Leadership and coordination,
Solomon Islands,Government,Funding and procurement,
Solomon Islands,Government,Digital Public Services,2.609025500000001
Samoa,Government,Capabilities,
Samoa,Government,Digital Public Services,2.2841765000000005
Samoa,Government,Funding and procurement,
Samoa,Government,Leadership and coordination,
Samoa,Government,Monitoring,
Curaçao,Government,Capabilities,
Curaçao,Government,Digital Public Services,
Curaçao,Government,Leadership and coordination,
Curaçao,Government,Monitoring,
Curaçao,Government,Funding and procurement,
Uzbekistan,Government,Monitoring,
Uzbekistan,Government,Funding and procurement,1.0064884969999999
Uzbekistan,Government,Leadership and coordination,
Uzbekistan,Government,Digital Public Services,4.971790499999999
Uzbekistan,Government,Capabilities,1.37425
Samoa,Infrastructure,Connectivity Technology,2.4538346857594964
Samoa,Infrastructure,Innovation Ecosystem,3.386218
Solomon Islands,Infrastructure,Connectivity Technology,1.7345879650841358
Solomon Islands,Infrastructure,Innovation Ecosystem,2.128738
Guinea-Bissau,Infrastructure,Innovation Ecosystem,1.822851
Guinea-Bissau,Infrastructure,Connectivity Technology,2.695189548597723
Uzbekistan,Infrastructure,Innovation Ecosystem,1.2337192605284006
Uzbekistan,Infrastructure,Connectivity Technology,3.6295855877590264
Curaçao,Infrastructure,Innovation Ecosystem,
Curaçao,Infrastructure,Connectivity Technology,5.99
Uzbekistan,People,Usage and ownership,3.617774047907167
Uzbekistan,People,Digital Wellbeing,4.083320999999999
Uzbekistan,People,Digital Literacy Skills,4.562333070595749
Uzbekistan,People,Culture,3.0627711163974998
Samoa,People,Culture,4.2559749049405005
Samoa,People,Digital Literacy Skills,2.349793
Samoa,People,Digital Wellbeing,
Samoa,People,Usage and ownership,2.5995071428571426
Solomon Islands,People,Culture,3.562365
Solomon Islands,People,Digital Literacy Skills,1.7437575000000005
Solomon Islands,People,Digital Wellbeing,
Solomon Islands,People,Usage and ownership,2.148974593612834
Guinea-Bissau,People,Culture,2.5128141792580005
Guinea-Bissau,People,Digital Literacy Skills,3.128235
Guinea-Bissau,People,Digital Wellbeing,
Guinea-Bissau,People,Usage and ownership,1.7827256141728332
Curaçao,People,Culture,
Curaçao,People,Digital Literacy Skills,
Curaçao,People,Digital Wellbeing,
Curaçao,People,Usage and ownership,4.629227
Solomon Islands,Regulation,Cybersecurity,
Solomon Islands,Regulation,Data standards and protection,
Solomon Islands,Regulation,Ethical Standards,
Uzbekistan,Regulation,Ethical Standards,3.3453000000000013
Uzbekistan,Regulation,Data standards and protection,
Uzbekistan,Regulation,Cybersecurity,2.3972
Guinea-Bissau,Regulation,Cybersecurity,
Guinea-Bissau,Regulation,Data standards and protection,
Guinea-Bissau,Regulation,Ethical Standards,
Curaçao,Regulation,Cybersecurity,
Curaçao,Regulation,Data standards and protection,
Curaçao,Regulation,Ethical Standards,
Samoa,Regulation,Ethical Standards,
Samoa,Regulation,Data standards and protection,
Samoa,Regulation,Cybersecurity,
Samoa,Strategy,Ambition,
Uzbekistan,Strategy,Ambition,4.483019999999998
Curaçao,Strategy,Ambition,
Solomon Islands,Strategy,Ambition,
Guinea-Bissau,Strategy,Ambition,
