CMS slug,Region Name,Sub-region Name,Country or Area,World Bank Income Level,Score,Pillar,Sub-Pillar
zimbabwe,Africa,Sub-Saharan Africa,Zimbabwe,Lower Middle Income,2.477519975263333,Business,
saint-vincent-and-the-grenadines,Americas,Latin America and the Caribbean,Saint Vincent and the Grenadines,Upper Middle Income,3.4504166666666665,Business,Startup Environment
saint-vincent-and-the-grenadines,Americas,Latin America and the Caribbean,Saint Vincent and the Grenadines,Upper Middle Income,,Business,Impact commitments
saint-vincent-and-the-grenadines,Americas,Latin America and the Caribbean,Saint Vincent and the Grenadines,Upper Middle Income,,Business,Financing Incentives
saint-vincent-and-the-grenadines,Americas,Latin America and the Caribbean,Saint Vincent and the Grenadines,Upper Middle Income,3.4504166666666665,Business,
saudi-arabia,Asia,Western Asia,Saudi Arabia,High Income,3.6756919118777778,Business,
saudi-arabia,Asia,Western Asia,Saudi Arabia,High Income,3.789485515633333,Business,Startup Environment
saudi-arabia,Asia,Western Asia,Saudi Arabia,High Income,3.3849000000000014,Business,Technology Adoption
saudi-arabia,Asia,Western Asia,Saudi Arabia,High Income,,Business,Impact commitments
saudi-arabia,Asia,Western Asia,Saudi Arabia,High Income,3.85269022,Business,Financing Incentives
ukraine,Europe,Eastern Europe,Ukraine,Lower Middle Income,3.5284174466444456,Business,
malawi,Africa,Sub-Saharan Africa,Malawi,Low Income,2.6811255562,Business,
romania,Europe,Eastern Europe,Romania,Upper Middle Income,3.4766907490777768,Business,
romania,Europe,Eastern Europe,Romania,Upper Middle Income,3.777999999999999,Business,Technology Adoption
romania,Europe,Eastern Europe,Romania,Upper Middle Income,4.278768118899999,Business,Startup Environment
romania,Europe,Eastern Europe,Romania,Upper Middle Income,,Business,Impact commitments
romania,Europe,Eastern Europe,Romania,Upper Middle Income,2.3733041283333334,Business,Financing Incentives
iceland,Europe,Northern Europe,Iceland,High Income,3.6818950554,Business,
saint-vincent-and-the-grenadines,Americas,Latin America and the Caribbean,Saint Vincent and the Grenadines,Upper Middle Income,,Business,Technology Adoption
malawi,Africa,Sub-Saharan Africa,Malawi,Low Income,4.2162417502666685,Business,Startup Environment
malawi,Africa,Sub-Saharan Africa,Malawi,Low Income,,Business,Impact commitments
lebanon,Asia,Western Asia,Lebanon,Upper Middle Income,3.1260146932111117,Business,
saint-kitts-and-nevis,Americas,Latin America and the Caribbean,Saint Kitts and Nevis,High Income,,Business,Technology Adoption
saint-kitts-and-nevis,Americas,Latin America and the Caribbean,Saint Kitts and Nevis,High Income,3.400666666666667,Business,
dominican-republic,Americas,Latin America and the Caribbean,Dominican Republic (the),Upper Middle Income,2.823318998333334,Business,Financing Incentives
dominican-republic,Americas,Latin America and the Caribbean,Dominican Republic (the),Upper Middle Income,,Business,Impact commitments
dominican-republic,Americas,Latin America and the Caribbean,Dominican Republic (the),Upper Middle Income,3.187502844233334,Business,Startup Environment
dominican-republic,Americas,Latin America and the Caribbean,Dominican Republic (the),Upper Middle Income,2.6452000000000004,Business,Technology Adoption
dominican-republic,Americas,Latin America and the Caribbean,Dominican Republic (the),Upper Middle Income,2.8853406141888898,Business,
malawi,Africa,Sub-Saharan Africa,Malawi,Low Income,2.0325,Business,Technology Adoption
iceland,Europe,Northern Europe,Iceland,High Income,3.232033014166667,Business,Financing Incentives
malawi,Africa,Sub-Saharan Africa,Malawi,Low Income,1.7946349183333332,Business,Financing Incentives
lebanon,Asia,Western Asia,Lebanon,Upper Middle Income,3.244789132966667,Business,Startup Environment
lebanon,Asia,Western Asia,Lebanon,Upper Middle Income,,Business,Impact commitments
azerbaijan,Asia,Western Asia,Azerbaijan,Upper Middle Income,3.958012241344445,Business,
azerbaijan,Asia,Western Asia,Azerbaijan,Upper Middle Income,3.5977051258333343,Business,Financing Incentives
azerbaijan,Asia,Western Asia,Azerbaijan,Upper Middle Income,,Business,Impact commitments
azerbaijan,Asia,Western Asia,Azerbaijan,Upper Middle Income,3.3562000000000003,Business,Technology Adoption
