Country Name,Year,Pillar,Sub-Pillar,Indicator,data_col,new_rank_score,higher_is_better
Japan,2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",20.3,2.015,True
Japan,2019.0,Business,Startup Environment,Doing Business Index,39.0,4.994708994708994,False
Japan,2019.0,Business,Startup Environment,Ease of doing business index (1=most business-friendly regulations),29.0,5.25925925925926,True
Japan,2019.0,Business,Startup Environment,Ease of finding skilled employees,4.4,4.4,True
Japan,2019.0,Business,Startup Environment,Ease of Getting Credit,55.0,3.75,True
Japan,2020.0,Business,Technology Adoption,"Networking Services (Spend, IT Forecast Data)",73.54,4.6770000000000005,True
Japan,2019.0,Business,Startup Environment,Regulatory Quality,78.18686572,4.909343286,True
Japan,2018.0,Business,Technology Adoption,Share of businesses with online presence,92.4,5.62,True
Japan,2019.0,Business,Technology Adoption,Size of digital economy (% of transactions),56.21,3.8105,True
Japan,2019.0,Business,Technology Adoption,Size of gig economy (% of GDP),52.99,3.6495,True
Japan,2019.0,Business,Startup Environment,"Amount invested into startups yearly from private, public, blended sources (respectively)",2502.530372,1.0921001744177172,True
Japan,2019.0,Business,Startup Environment,Strength of legal rights index (0=weak to 12=strong),5.0,3.083333333333333,True
Japan,2019.0,Business,Startup Environment,Time required to start a business (days),1.0,1.0,True
Japan,2020.0,Business,Technology Adoption,UNCTAD Business-to-Consumer (B2C) E-commerce Index,88.7,5.435,True
Japan,2019.0,Business,Financing Incentives,Venture Capital Availability,4.344073296,3.786727746666667,True
Japan,2017.0,Foundations,Digital Payments,% Making online transactions - Women,44.0,3.2,True
Japan,2017.0,Foundations,Digital Payments,% of population with digital finance account,98.0,5.9,True
Japan,2018.0,Foundations,Digital Legal Identity,% of population with ID (all),95.0,5.75,True
Japan,2018.0,Foundations,Digital Legal Identity,can ID be used for transactions,1.0,6.0,True
Japan,2017.0,Foundations,Digital Payments,% of population with digital finance account - registered,98.0,5.9,True
Japan,2020.0,Foundations,Digital Legal Identity,Is personal data siloed,0.02,6.0,True
Japan,2017.0,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,95.0,5.75,True
Japan,2017.0,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,96.0,5.8,True
Japan,2017.0,Foundations,Digital Payments,% Making online transactions - Men,54.0,3.7,True
Japan,2016.0,Foundations,Data Exchange,Open data index,61.0,4.05,True
Japan,2017.0,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,22.0,2.1,True
Japan,2020.0,Government,Capabilities,% of digital skills certifications / training courses completed,4.0,5.859813084112149,True
Japan,2020.0,Government,Digital Public Services,E-Participation index,0.9881,5.9405,True
Japan,2020.0,Government,Funding and procurement,Evidence of digital strategies in/across Minstries,3.0,6.0,True
