Country Name,Year,Pillar,Sub-Pillar,Indicator,data_col,new_rank_score,higher_is_better
Poland,2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",14.7,1.73353,True
Poland,2019.0,Business,Startup Environment,Doing Business Index,76.95,4.839805,False
Poland,2019.0,Business,Startup Environment,Ease of finding skilled employees,4.09,4.09,True
Poland,2019.0,Business,Startup Environment,Ease of Getting Credit,75.0,4.7425,True
Poland,2017.0,Business,Technology Adoption,ICT task-intensive jobs as a percentage of total employment,11.12569,1.555171931,True
Poland,2020.0,Business,Technology Adoption,"Networking Services (Spend, IT Forecast Data)",61.8,4.08382,True
Poland,2019.0,Business,Startup Environment,Regulatory Quality,70.00886004,4.493442115996,True
Poland,2020.0,Business,Technology Adoption,Share of business with internet,71.32,4.558868,True
Poland,2010.0,Business,Technology Adoption,Share of businesses with broadband,69.34,4.460066,True
Poland,2018.0,Business,Technology Adoption,Share of businesses with online presence,70.22,4.503978,True
Poland,2019.0,Business,Technology Adoption,Size of digital economy (% of transactions),35.43,2.767957,True
Poland,2019.0,Business,Technology Adoption,Size of gig economy (% of GDP),55.24,3.756476,True
Poland,2019.0,Business,Startup Environment,Strength of legal rights index (0=weak to 12=strong),7.0,3.910833333333333,True
Poland,2020.0,Business,Technology Adoption,UNCTAD Business-to-Consumer (B2C) E-commerce Index,82.2,5.101780000000001,True
Poland,2019.0,Business,Financing Incentives,Venture Capital Availability,2.904554844,2.583954778593333,True
Poland,2017.0,Foundations,Digital Payments,% Making online transactions - Women,65.0,4.2435,True
Poland,2017.0,Foundations,Digital Payments,% of population with digital finance account,87.0,5.3413,True
Poland,2018.0,Foundations,Digital Legal Identity,% of population with ID (all),98.0,5.8902,True
Poland,2018.0,Foundations,Digital Legal Identity,can ID be used for transactions,1.0,5.99,True
Poland,2017.0,Foundations,Digital Payments,Digital payments penetration,70.34,4.509966,True
Poland,2017.0,Foundations,Digital Payments,% of population with digital finance account - registered,87.0,5.3413,True
Poland,2017.0,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,82.0,5.0918,True
Poland,2017.0,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,82.0,5.0918,True
Poland,2017.0,Foundations,Digital Payments,% Making online transactions - Men,65.0,4.2435,True
Poland,2016.0,Foundations,Data Exchange,Open data index,49.0,3.45,True
Poland,2017.0,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,57.0,3.8443,True
Poland,2020.0,Government,Capabilities,% of digital skills certifications / training courses completed,0.7,4.493,True
Poland,2020.0,Government,Digital Public Services,E-Participation index,0.9643,5.811857000000001,True
Poland,2020.0,Government,Digital Public Services,Online-Service-Index (OSI),0.8588,5.285412,True
Poland,2018.0,Government,Funding and procurement,R&D spending (% of GDP),1.20953,1.060355547,True
Poland,2020.0,Government,Digital Public Services,"Use of public services online (% of services online, penetration, frequency of use)",75.2,4.75248,True
