Country Name,Score,Pillar
Afghanistan,2.5408969792595646,
Africa,1.0584095837809202,Infrastructure
Africa Eastern and Southern,3.0324562894703337,
Africa Western and Central,3.5001161930248337,
Albania,3.5740244168524224,
Algeria,3.068330736215506,
American Samoa,1.8130584815887485,
Andorra,2.452367810185185,
Angola,2.661373009848456,
Anguilla,3.994,People
Antigua and Barbuda,2.736984107540691,
Argentina,3.5183296085192364,
Armenia,3.419391177229137,
Aruba,4.586627506725498,
Australia,4.308515838560502,
Austria,4.24964129670416,
Azerbaijan,3.393166595864525,
Bahamas (the),3.6221114517596704,
Bahrain,3.9624780295668365,
Bangladesh,3.010624821171283,
Bangladesh Chittagong,3.1402110000000003,Business
Bangladesh Dhaka,3.081329,Business
Barbados,3.298869307543056,
Belarus,3.7796984014187194,
Belgium,4.178028349035098,
Belgium Estonia,4.11875,Infrastructure
Belize,3.3052216282092504,
Benin,2.705587546903413,
Bermuda,2.94463172151871,
Bhutan,3.3145148223912364,
Bolivia (Plurinational State of),3.0511445927236194,
Bosnia and Herzegovina,3.309305254460301,
Botswana,2.8515966627710063,
Brazil,3.588151027630536,
Brazil Rio de Janeiro,4.000487000000001,Business
Brazil São Paulo,3.991006,Business
Brunei Darussalam,3.793628214910761,
Bulgaria,3.7360756135537763,
Burkina Faso,2.5620414751434355,
Burundi,2.3100771211730557,
Cabo Verde,3.3249689852640034,
Cambodia,3.04158920305974,
Cameroon,2.9208223199663417,
Canada,4.124122870955688,
Caribbean small states,4.555656289876167,
Cayman Islands,2.8954907131195142,
Central African Republic (the),2.1638922804039504,
Central Europe and the Baltics,3.653610754598578,
Chad,2.1825510319836523,
Channel Islands,5.99,Infrastructure
Chile,3.86100661952879,
China,3.600316973395721,
China Beijing,4.672141,Business
China Shanghai,4.676632000000001,Business
"China, Hong Kong Special Administrative Region",4.182371982782103,
"China, Macao Special Administrative Region",3.953408016027431,
Colombia,3.495302360798512,
Comoros (the),2.4898637169611373,
Congo (the),3.0018689994567542,
Cook Islands,2.2987721146094913,
Costa Rica,3.7408310794546265,
Croatia,3.853105681661422,
Cuba,3.267645577071209,
Curaçao,5.3096135,
Cyprus,3.916842755668334,
Czechia,4.15686323844085,
Côte d'Ivoire,3.0242307664531105,
Democratic People's Republic of Korea (the),1.9933486496805912,
Democratic Republic of the Congo (the),2.2992977891194717,
Denmark,4.545065884906647,
Developing,2.9960000000000004,
Djibouti,2.7281867859696267,
Dominica,3.056898798679501,
Dominican Republic (the),3.354891808570298,
Early-demographic dividend,4.413280949449667,
East Asia & Pacific,3.7273702467105236,
East Asia & Pacific (IDA & IBRD countries),3.6488768145357446,
East Asia & Pacific (excluding high income),3.6360709051281517,
East and South Asia,4.27843,Infrastructure
East and South Asia,4.27843,Strategy
Eastern Europe and Central Asia,4.562860000000001,Infrastructure
Eastern Europe and Central Asia,4.562860000000001,Strategy
Ecuador,3.6723779782384596,
Egypt,3.1428440466513328,
El Salvador,3.202967356360367,
Equatorial Guinea,1.8446393380781627,
Eritrea,1.5953864734409056,
Estonia,4.397342817837655,
Eswatini,2.646454929063674,
Ethiopia,2.5397552097840204,
Euro area,4.049573964815693,
Europe,1.4692986481900567,Infrastructure
Europe & Central Asia,3.891283330160691,
Europe & Central Asia (IDA & IBRD countries),3.7988810316267005,
Europe & Central Asia (excluding high income),3.656811683423142,
European Union,3.8482877321278504,
Falkland Islands,4.86725,People
Faroe Islands,5.175382500000001,
Fiji,3.302986847422331,
Finland,4.61500672630118,
Fragile and conflict affected situations,3.3611949534275833,
France,4.2529666438814,
French Guiana,2.0722088233701204,
French Polynesia,2.370250397146577,
Gabon,3.042869994678749,
Gambia (the),2.6954391775390736,
Georgia,3.477171302058097,
Germany,4.367865070997152,
Germany France,4.213560000000001,Infrastructure
Ghana,3.1777247429602626,
Gibraltar,4.064033507189956,
Greece,3.681310097719464,
Greenland,4.209040362959179,
Grenada,3.0321838918825192,
Guadeloupe,2.5558892294909445,
Guam,4.090081309894473,
Guatemala,3.0389655839242966,
Guinea,2.5326206260644524,
Guinea-Bissau,2.4778270219202363,
Guyana,2.720044610329358,
Haiti,2.580350137165958,
Heavily indebted poor countries (HIPC),3.1689698033359166,
High income,4.100905174578427,
High income: OECD,5.0971464285714285,
High-income Countries,4.89719,Infrastructure
High-income Countries,4.89719,Strategy
Honduras,3.1798896258459237,
Hungary,3.9077363593039744,
IBRD only,3.443374417553278,
IDA & IBRD total,3.2850081645604114,
IDA blend,3.8181069829744163,
IDA only,3.603605063498833,
IDA total,3.68276242721575,
Iceland,4.190204409455385,
India,3.357465974776026,
India Delhi,4.392701000000001,Business
India Mumbai,4.312362,Business
Indonesia,3.32859302334021,
Indonesia Jakarta,4.400186,Business
Indonesia Surabaya,4.35827,Business
Iran (Islamic Republic of),3.4053964583610608,
Iraq,2.5772275293473133,
Ireland,4.134495685731551,
Isle of Man,4.358372666666667,
Israel,4.165296437695395,
Italy,3.939454618216738,
Jamaica,3.249684905487208,
Japan,4.244953073323003,
Japan Osaka,4.769446,Business
Japan Tokyo,4.777929,Business
Jersey,5.99,Infrastructure
Jordan,3.4594559854347047,
Kazakhstan,3.5204259525064034,
Kenya,3.3140963273779596,
Kiribati,2.3508482344197033,
Kosovo (UNSCR 1244),3.431165955357143,
Kuwait,3.790245174819839,
Kyrgyzstan,3.2529606181234727,
Lao People's Democratic Republic (the),2.9673429745212117,
Late-demographic dividend,3.574027827904944,
Latin America & Caribbean,3.1256993145002583,
Latin America & Caribbean (excluding high income),3.0865076631480157,
Latin America & the Caribbean (IDA & IBRD countries),3.336164452820889,
Latin America and the Caribbean,4.42314,Infrastructure
