Country Name,Score,Pillar,Sub-Pillar
Saint Lucia,,Business,Impact commitments
Antigua and Barbuda,,Business,Impact commitments
Antigua and Barbuda,3.523609333333334,Business,Startup Environment
Antigua and Barbuda,,Business,Technology Adoption
Argentina,2.1046251049350007,Business,Financing Incentives
Argentina,,Business,Impact commitments
Argentina,3.1957105936503343,Business,Startup Environment
Argentina,3.032260666666667,Business,Technology Adoption
IBRD only,,Business,Financing Incentives
Sierra Leone,1.71856,Business,Technology Adoption
Sierra Leone,2.1704308888888884,Business,Startup Environment
Sierra Leone,,Business,Impact commitments
Sierra Leone,,Business,Financing Incentives
Armenia,2.9220584935383327,Business,Financing Incentives
Armenia,,Business,Impact commitments
Armenia,4.0549991961796,Business,Startup Environment
Antigua and Barbuda,,Business,Financing Incentives
Armenia,3.283124599999998,Business,Technology Adoption
Singapore,4.167606974398333,Business,Financing Incentives
Singapore,5.088528533333332,Business,Startup Environment
Angola,1.5869389255216668,Business,Financing Incentives
Angola,,Business,Impact commitments
Angola,2.123693192689267,Business,Startup Environment
Angola,1.8452062000000005,Business,Technology Adoption
Kosovo (UNSCR 1244),,Business,Impact commitments
Kosovo (UNSCR 1244),,Business,Financing Incentives
Myanmar,,Business,Financing Incentives
Myanmar,,Business,Impact commitments
Anguilla,,Business,Financing Incentives
Anguilla,,Business,Impact commitments
Anguilla,,Business,Startup Environment
Anguilla,,Business,Technology Adoption
Myanmar,2.1852080269466674,Business,Startup Environment
Myanmar,2.1976000000000004,Business,Technology Adoption
Singapore,3.828497666666668,Business,Technology Adoption
Singapore,,Business,Impact commitments
Kosovo (UNSCR 1244),5.137125833333333,Business,Startup Environment
Kiribati,,Business,Technology Adoption
Kiribati,,Business,Impact commitments
Azerbaijan,4.913807335003602,Business,Startup Environment
Azerbaijan,3.351487600000001,Business,Technology Adoption
Serbia,3.701585999999999,Business,Technology Adoption
Serbia,4.032946972270403,Business,Startup Environment
Serbia,,Business,Impact commitments
Serbia,2.792968951681666,Business,Financing Incentives
Kenya,3.1322269999999994,Business,Technology Adoption
Kenya,4.700459198474333,Business,Startup Environment
Kenya,,Business,Impact commitments
Kenya,2.6804221106200004,Business,Financing Incentives
Bahamas (the),,Business,Financing Incentives
Bahamas (the),,Business,Impact commitments
Bahamas (the),3.7170550000000016,Business,Startup Environment
Bahamas (the),,Business,Technology Adoption
Namibia,2.6686763151216657,Business,Financing Incentives
Azerbaijan,,Business,Impact commitments
Kiribati,3.055963166666667,Business,Startup Environment
Azerbaijan,3.5925097155816683,Business,Financing Incentives
Austria,4.170479443045868,Business,Startup Environment
Kiribati,,Business,Financing Incentives
Aruba,,Business,Financing Incentives
Aruba,,Business,Impact commitments
Aruba,,Business,Startup Environment
Aruba,,Business,Technology Adoption
Seychelles,,Business,Technology Adoption
Seychelles,3.3553085555555566,Business,Startup Environment
Australia,3.1116014970066668,Business,Financing Incentives
Australia,,Business,Impact commitments
Australia,5.299535681519134,Business,Startup Environment
Australia,3.4829521428571426,Business,Technology Adoption
Seychelles,,Business,Impact commitments
Seychelles,3.014794899038333,Business,Financing Incentives
Austria,3.2541244365599997,Business,Financing Incentives
Austria,,Business,Impact commitments
Austria,4.226996573,Business,Technology Adoption
Namibia,,Business,Impact commitments
Kosovo (UNSCR 1244),,Business,Technology Adoption
Slovakia,,Business,Impact commitments
Mozambique,,Business,Impact commitments
