Country Name,Year,Pillar,Sub-Pillar,Indicator,data_col,new_rank_score,higher_is_better
United States of America (the),2018.0,,Technology adoption,"Cloud Services (Spend, IT Forecast Data)",18.0,1.9,True
United States of America (the),2019.0,Business,Startup Environment,Doing Business Index,82.75,5.1375,False
United States of America (the),2019.0,Business,Startup Environment,Ease of finding skilled employees,5.32,5.32,True
United States of America (the),2019.0,Business,Startup Environment,Ease of Getting Credit,95.0,5.75,True
United States of America (the),2017.0,,Technology adoption,ICT task-intensive jobs as a percentage of total employment,17.8225,1.891125,True
United States of America (the),2020.0,,Technology adoption,"Networking Services (Spend, IT Forecast Data)",78.91,4.945499999999999,True
United States of America (the),2019.0,Business,Startup Environment,Regulatory Quality,78.66789977,4.9333949885,True
United States of America (the),2018.0,,Technology adoption,Share of businesses with online presence,72.85,4.6425,True
United States of America (the),2019.0,,Technology adoption,Size of digital economy (% of transactions),47.77,3.3885,True
United States of America (the),2019.0,,Technology adoption,Size of gig economy (% of GDP),100.0,6.0,True
United States of America (the),2019.0,Business,Startup Environment,"Amount invested into startups yearly from private, public, blended sources (respectively)",135648.6907137,6.0,True
United States of America (the),2019.0,Business,Startup Environment,Strength of legal rights index (0=weak to 12=strong),11.0,5.583333333333333,True
United States of America (the),2020.0,,Technology adoption,UNCTAD Business-to-Consumer (B2C) E-commerce Index,91.0,5.55,True
United States of America (the),2019.0,,Financing incentives,Venture Capital Availability,5.234681606,4.528901338333332,True
United States of America (the),2017.0,Foundations,Digital Payments,% Making online transactions - Women,77.0,4.85,True
United States of America (the),2017.0,Foundations,Digital Payments,% of population with digital finance account,93.0,5.65,True
United States of America (the),2018.0,Foundations,Digital Legal Identity,% of population with ID (all),88.0,5.4,True
United States of America (the),2017.0,Foundations,Digital Payments,Digital payments penetration,84.4,5.22,True
United States of America (the),2017.0,Foundations,Digital Payments,% of population with digital finance account - registered,93.0,5.65,True
United States of America (the),2020.0,Foundations,Digital Legal Identity,Is personal data siloed,0.02,6.0,True
United States of America (the),2017.0,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,91.0,5.55,True
United States of America (the),2017.0,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,91.0,5.55,True
United States of America (the),2017.0,Foundations,Digital Payments,% Making online transactions - Men,77.0,4.85,True
United States of America (the),2016.0,Foundations,Data Exchange,Open data index,65.0,4.25,True
United States of America (the),2017.0,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,71.0,4.55,True
United States of America (the),2020.0,Government,Capabilities,% of digital skills certifications / training courses completed,29.0,4.691588785046729,True
United States of America (the),2020.0,,Digital public services,E-Participation index,1.0,6.0,True
United States of America (the),2010.0,Government,Funding and procurement,ICT investment as a percentage of GDP,32.137836,6.0,True
United States of America (the),2020.0,,Digital public services,Online-Service-Index (OSI),0.9471,5.7355,True
United States of America (the),2018.0,,Digital public services,R&D spending (% of GDP),2.83283,3.862100860449738,True
United States of America (the),2020.0,,Digital public services,Security incidents (# of relevant issues),20.0,1.0,True
United States of America (the),2020.0,,Digital public services,"Use of public services online (% of services online, penetration, frequency of use)",70.7,4.535,True
United States of America (the),2019.0,,Connectivity technology,% of population covered by electricity,100.0,6.0,True
United States of America (the),2019.0,,Connectivity technology,% of population covered by internet connectivity,89.43028486,5.4715142430000006,True
United States of America (the),2019.0,,Connectivity technology,% of population covered by mobile 2G+ data connectivity,99.9,5.995,True
United States of America (the),2019.0,,Connectivity technology,% of population covered by mobile 3G+ data connectivity,99.0,5.95,True
United States of America (the),2019.0,,Connectivity technology,% of population covered by mobile 4G+ data connectivity,99.0,5.95,True
