Country Name,Year,Pillar,Sub-Pillar,Indicator,data_col,new_rank_score,higher_is_better
Viet Nam,2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",8.6,1.43,True
Viet Nam,2019.0,Business,Startup Environment,Doing Business Index,69.0,4.201058201058201,False
Viet Nam,2019.0,Business,Startup Environment,Ease of doing business index (1=most business-friendly regulations),70.0,4.174603174603175,True
Viet Nam,2019.0,Business,Startup Environment,Ease of finding skilled employees,3.96,3.96,True
Viet Nam,2019.0,Business,Startup Environment,Ease of Getting Credit,80.0,5.0,True
Viet Nam,2020.0,Business,Technology Adoption,"Networking Services (Spend, IT Forecast Data)",49.68,3.484,True
Viet Nam,2019.0,Business,Startup Environment,Regulatory Quality,36.63971797,2.8319858985,True
Viet Nam,2018.0,Business,Technology Adoption,Share of businesses with online presence,48.6,3.43,True
Viet Nam,2019.0,Business,Technology Adoption,Size of digital economy (% of transactions),37.77,2.8885000000000005,True
Viet Nam,2019.0,Business,Technology Adoption,Size of gig economy (% of GDP),69.47,4.4735,True
Viet Nam,2019.0,Business,Startup Environment,Strength of legal rights index (0=weak to 12=strong),8.0,4.333333333333334,True
Viet Nam,2019.0,Business,Startup Environment,Time required to start a business (days),1.0,1.0,True
Viet Nam,2020.0,Business,Technology Adoption,UNCTAD Business-to-Consumer (B2C) E-commerce Index,61.6,4.08,True
Viet Nam,2019.0,Business,Financing Incentives,Venture Capital Availability,3.267499924,2.88958327,True
Viet Nam,2017.0,Foundations,Digital Payments,% Making online transactions - Women,21.0,2.05,True
Viet Nam,2017.0,Foundations,Digital Payments,% of population with digital finance account,31.0,2.55,True
Viet Nam,2018.0,Foundations,Digital Legal Identity,% of population with ID (all),96.0,5.8,True
Viet Nam,2018.0,Foundations,Digital Legal Identity,can ID be used for transactions,1.0,6.0,True
Viet Nam,2017.0,Foundations,Digital Payments,% of population with digital finance account - registered,30.0,2.5,True
Viet Nam,2020.0,Foundations,Digital Legal Identity,Is personal data siloed,0.02,6.0,True
Viet Nam,2017.0,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,23.0,2.15,True
Viet Nam,2017.0,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,23.0,2.15,True
Viet Nam,2017.0,Foundations,Digital Payments,% Making online transactions - Men,20.0,2.0,True
Viet Nam,2017.0,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,15.0,1.75,True
Viet Nam,2020.0,Government,Capabilities,% of digital skills certifications / training courses completed,20.0,5.11214953271028,True
Viet Nam,2020.0,Government,Digital Public Services,E-Participation index,0.7024,4.5120000000000005,True
Viet Nam,2020.0,Government,Funding and procurement,Evidence of digital strategies in/across Minstries,3.0,6.0,True
Viet Nam,2020.0,Government,Leadership and coordination,Evidence of focus on vulnerable groups,0.03,6.0,True
Viet Nam,2020.0,Government,Digital Public Services,Online-Service-Index (OSI),0.6529,4.2645,True
Viet Nam,2020.0,Government,Digital Public Services,What is the % change of government digitizing public services?,0.78,4.979591836734695,True
Viet Nam,2020.0,Government,Digital Public Services,Security incidents (# of relevant issues),3.0,5.473684210526316,True
Viet Nam,2019.0,Infrastructure,Connectivity Technology,% of population covered by electricity,99.4,5.97,True
Viet Nam,2019.0,Infrastructure,Connectivity Technology,% of population covered by internet connectivity,68.66158021,4.4330790105,True
Viet Nam,2019.0,Infrastructure,Connectivity Technology,% of population covered by mobile 2G+ data connectivity,99.7,5.985,True
Viet Nam,2019.0,Infrastructure,Connectivity Technology,% of population covered by mobile 3G+ data connectivity,95.0,5.75,True
Viet Nam,2019.0,Infrastructure,Connectivity Technology,% of population covered by mobile 4G+ data connectivity,95.0,5.75,True
Viet Nam,2019.0,Infrastructure,Connectivity Technology,% of population covered by mobile 5G+ data connectivity,0.0,1.0,True
Viet Nam,2018.0,Infrastructure,Innovation Ecosystem,Availability of scientists and engineers,3.799700737,3.3330839475,True
Viet Nam,2017.0,Infrastructure,Innovation Ecosystem,Banking Ecosystem size,137.43,3.6775903051085215,True
Viet Nam,2020.0,Infrastructure,Connectivity Technology,Broadband Density,17.15583808,1.857791904,True
Viet Nam,2019.0,Infrastructure,Connectivity Technology,Cellphone Signal Density,85.97000122,5.298500061,True
Viet Nam,2019.0,Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",-7.939999999999999,2.756554201193473,True
Viet Nam,2019.0,Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",-2645.19,3.979731563759541,True
Viet Nam,2019.0,Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",-1952.6499999999976,4.731536293368428,True
Viet Nam,2021.0,Infrastructure,Innovation Ecosystem,Digital Finance Ecosystem size,8.118,1.4059,True
Viet Nam,2020.0,Infrastructure,Innovation Ecosystem,Digital Work Ecosystem size,20.3,2.015,True
Viet Nam,2019.0,Infrastructure,Connectivity Technology,Electricity Density,2689.645,1.2366483461420392,True
Viet Nam,2021.0,Infrastructure,Connectivity Technology,Electricity Environmental Sustainability,72.8,4.640000000000001,True
Viet Nam,2018.0,Infrastructure,Connectivity Technology,Electricity supply quality,4.338947296,1.2169473648,True
Viet Nam,2020.0,Infrastructure,Connectivity Technology,Global Cybersecurity Index (GCI),94.59,5.729500000000001,True
Viet Nam,2019.0,Infrastructure,Connectivity Technology,GSMA Mobile Connectivity Index ,64.6,4.23,True
Viet Nam,2019.0,Infrastructure,Connectivity Technology,Individuals using the Internet (% of population),68.66158021,4.4330790105,True
Viet Nam,2019.0,Infrastructure,Innovation Ecosystem,International industrial applications by origin (Hague System),2.0,1.0085034013605445,True
Viet Nam,2019.0,Infrastructure,Innovation Ecosystem,International industrial designs by origin (Hague System),10.0,1.011143302874972,True
Viet Nam,2019.0,Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),34.0,1.0028818443804035,True
Viet Nam,2021.0,Infrastructure,Connectivity Technology,ISP internet download speed average ,78.43,2.4641596255305647,True
Viet Nam,2018.0,Infrastructure,Connectivity Technology,Logistics Performance Index (LPI) - Infrastructure Rating,3.27,3.8375,True
Viet Nam,2020.0,Infrastructure,Innovation Ecosystem,Mobile app creation/bn PPP$ GDP,47.9099405,3.395497025,True
Viet Nam,2020.0,Infrastructure,Connectivity Technology,Mobile cellular subscriptions (per 100 people),142.7333617,3.44696725075881,True
Viet Nam,2020.0,Infrastructure,Connectivity Technology,Mobile Coverage Maps,142.7333617,3.44696725075881,True
Viet Nam,2019.0,Infrastructure,Connectivity Technology,Mobile dowload speed at the slowest hour of the day,84.55747223,1.7721263884999994,True
Viet Nam,2021.0,Infrastructure,Connectivity Technology,National cyber security index,36.36,2.818,True
Viet Nam,2019.0,Infrastructure,Innovation Ecosystem,Patents by origin/bn PPP$ GDP,5.324811451,1.26624057255,True
Viet Nam,2019.0,Infrastructure,Connectivity Technology,Postal Coverage,98.0,5.9,True
Viet Nam,2020.0,Infrastructure,Innovation Ecosystem,Scientific and technical articles/bn PPP$ GDP,15.44437338,1.772218669,True
