CMS slug,Region Name,Sub-region Name,Country or Area,World Bank Income Level,Score,Pillar,Sub-Pillar
zimbabwe,Africa,Sub-Saharan Africa,Zimbabwe,Lower Middle Income,2.0,Business,
israel,Asia,Western Asia,Israel,High Income,4.0,Business,
qatar,Asia,Western Asia,Qatar,High Income,5.0,Business,Startup Environment
israel,Asia,Western Asia,Israel,High Income,4.0,Business,Startup Environment
qatar,Asia,Western Asia,Qatar,High Income,5.0,Business,
nigeria,Africa,Sub-Saharan Africa,Nigeria,Lower Middle Income,5.0,Business,
austria,Europe,Western Europe,Austria,High Income,2.5,Business,Startup Environment
nigeria,Africa,Sub-Saharan Africa,Nigeria,Lower Middle Income,5.0,Business,Startup Environment
austria,Europe,Western Europe,Austria,High Income,2.5,Business,
mexico,Americas,Latin America and the Caribbean,Mexico,Upper Middle Income,5.0,Business,
ireland,Europe,Northern Europe,Ireland,High Income,4.5,Business,Startup Environment
mexico,Americas,Latin America and the Caribbean,Mexico,Upper Middle Income,5.0,Business,Startup Environment
ireland,Europe,Northern Europe,Ireland,High Income,4.5,Business,
eritrea,Africa,Sub-Saharan Africa,Eritrea,Low Income,1.0,Business,Startup Environment
eritrea,Africa,Sub-Saharan Africa,Eritrea,Low Income,1.0,Business,
bhutan,Asia,Southern Asia,Bhutan,Lower Middle Income,4.0,Business,Startup Environment
malaysia,Asia,South-eastern Asia,Malaysia,Upper Middle Income,3.0,Business,
bhutan,Asia,Southern Asia,Bhutan,Lower Middle Income,4.0,Business,
malaysia,Asia,South-eastern Asia,Malaysia,Upper Middle Income,3.0,Business,Startup Environment
nepal,Asia,Southern Asia,Nepal,Lower Middle Income,2.0,Business,Startup Environment
angola,Africa,Sub-Saharan Africa,Angola,Lower Middle Income,1.0,Business,
nepal,Asia,Southern Asia,Nepal,Lower Middle Income,2.0,Business,
angola,Africa,Sub-Saharan Africa,Angola,Lower Middle Income,1.0,Business,Startup Environment
sudan,Africa,Northern Africa,Sudan (the),Low Income,2.5,Business,Startup Environment
sudan,Africa,Northern Africa,Sudan (the),Low Income,2.5,Business,
tajikistan,Asia,Central Asia,Tajikistan,Lower Middle Income,5.0,Business,Startup Environment
portugal,Europe,Southern Europe,Portugal,High Income,3.5,Business,
portugal,Europe,Southern Europe,Portugal,High Income,3.5,Business,Startup Environment
papua-new-guinea,Oceania,Melanesia,Papua New Guinea,Lower Middle Income,1.0,Business,Startup Environment
papua-new-guinea,Oceania,Melanesia,Papua New Guinea,Lower Middle Income,1.0,Business,
mali,Africa,Sub-Saharan Africa,Mali,Low Income,4.0,Business,
saint-vincent-and-the-grenadines,Americas,Latin America and the Caribbean,Saint Vincent and the Grenadines,Upper Middle Income,5.0,Business,Startup Environment
kenya,Africa,Sub-Saharan Africa,Kenya,Lower Middle Income,2.0,Business,Startup Environment
romania,Europe,Eastern Europe,Romania,Upper Middle Income,1.5,Business,
kenya,Africa,Sub-Saharan Africa,Kenya,Lower Middle Income,2.0,Business,
romania,Europe,Eastern Europe,Romania,Upper Middle Income,1.5,Business,Startup Environment
vanuatu,Oceania,Melanesia,Vanuatu,Lower Middle Income,3.0,Business,Startup Environment
jordan,Asia,Western Asia,Jordan,Upper Middle Income,4.0,Business,
vanuatu,Oceania,Melanesia,Vanuatu,Lower Middle Income,3.0,Business,
jordan,Asia,Western Asia,Jordan,Upper Middle Income,4.0,Business,Startup Environment
