Pillar,Sub-Pillar,Indicator,Country Name,data_col,new_rank_score,higher_is_better
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Afghanistan,-35926.599999999984,1.9052026553371475,True
Business,Startup Environment,Time required to start a business (days),Afghanistan,8.5,4.66,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",Afghanistan,23.01,5.024893729917755,True
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Afghanistan,1.5317219618294888e-06,1.3544688883007614,True
,Connectivity Technology,ISP internet download speed average ,Afghanistan,10.28,1.43554469273743,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",Afghanistan,-1369.0,2.575725018683783,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Afghanistan,0.5137645089987266,5.379736547451116,False
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,Afghanistan,6.71,1.0,True
Business,Startup Environment,Time required to start a business (days),Africa Eastern and Southern,26.8269230769231,1.983835314922116,False
Business,Startup Environment,Time required to start a business (days),Africa Western and Central,15.2590909090909,3.3254464285714294,False
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Albania,7.299270072992701e-05,5.0018996336643085,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Albania,7.047854580206876,2.951069772698223,False
Business,Startup Environment,Time required to start a business (days),Albania,4.5,5.380769230769231,False
Infrastructure,Innovation Ecosystem,International industrial designs by origin (Hague System),Albania,0.0,1.0,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",Albania,-16.580000000000002,2.338750211112988,True
Infrastructure,Innovation Ecosystem,International industrial applications by origin (Hague System),Albania,0.0,1.0,True
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Albania,1.0510859294279885e-06,2.8691912040038035,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Albania,-20747.41,1.969248323909972,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",Albania,-2188.08,2.219243196905086,True
,Connectivity Technology,ISP internet download speed average ,Albania,43.56,3.5125552752633924,True
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,Albania,56.43,4.452902354882256,True
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Algeria,4.198609336615527e-07,1.0,True
Business,Startup Environment,Time required to start a business (days),Algeria,18.0,2.884604185623294,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",Algeria,-23.47,1.964807940606843,True
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,Algeria,17.71,1.772011909825606,True
,Connectivity Technology,ISP internet download speed average ,Algeria,9.38,1.3664106145251398,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Algeria,5.746727620595022,3.3693187359239336,False
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Algeria,2.0904440367923726e-07,2.137936317148515,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Algeria,-26729.529999999995,1.944007920773648,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",Algeria,-3243.7800000000007,1.9751755918783924,True
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Andorra,5.184973945505924e-05,4.81456021352197,True
,Connectivity Technology,ISP internet download speed average ,Andorra,165.07,5.292835118892082,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Angola,2.799222595032694,4.362017012280931,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",Angola,19.070000000000007,5.005729740883766,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Angola,4332.130000000001,4.639690300887308,True
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,Angola,23.55,2.2793827415359207,True
,Connectivity Technology,ISP internet download speed average ,Angola,14.56,1.7643156424581004,True
Business,Startup Environment,Time required to start a business (days),Angola,36.0,1.939416058394161,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",Angola,544.66,4.202195956535367,True
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Angola,2.406352771316275e-06,1.6333071629214897,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Antigua and Barbuda,11.232742423004655,2.2181689938548503,False
,Connectivity Technology,ISP internet download speed average ,Antigua and Barbuda,18.75,2.10238559392037,True
Business,Startup Environment,Time required to start a business (days),Antigua and Barbuda,19.0,2.7674977252047324,False
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Antigua and Barbuda,0.000483962312722,5.836700900745788,True
Business,Startup Environment,Time required to start a business (days),World,19.6545454545455,2.6908462238398503,False
,Connectivity Technology,ISP internet download speed average ,Argentina,55.94,3.967229559281793,True
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,Argentina,30.05,2.943606523534269,True
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Argentina,1.205836247437598e-05,3.251293123162885,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Argentina,-16970.64,1.9851836774891676,True
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Argentina,8.010910504066071e-07,2.652087924197472,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",Argentina,-8.77,3.001913043478261,True
People,Digital Wellbeing,Device Addiction (time of use on internet / on devices),Argentina,9.39,1.5116166077738518,False
Business,Startup Environment,Time required to start a business (days),Argentina,11.5,4.0,False
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Argentina,6.428400368708539,3.1359607751300658,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",Argentina,-4122.869999999999,1.9515647776096652,True
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,Armenia,33.13,3.1894025936179515,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",Armenia,-308.22,3.241896251559233,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",Armenia,-12.46,2.68318527275798,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Armenia,-6930.400000000001,2.866481500059603,True
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Armenia,1.0142920511960532e-06,2.8372382629186994,True
Business,Startup Environment,Time required to start a business (days),Armenia,4.0,5.456923076923077,False
Infrastructure,Innovation Ecosystem,International industrial applications by origin (Hague System),Armenia,1.3523894015947376e-06,3.633764312069246,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Armenia,4.724567820158651,3.719236093329539,False
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Armenia,3.512469265893924e-05,4.486441228676894,True
Infrastructure,Innovation Ecosystem,International industrial designs by origin (Hague System),Armenia,2.3666814527907906e-06,3.1960302375316365,True
,Connectivity Technology,ISP internet download speed average ,Armenia,36.25,3.2440844338922687,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",Australia,42.52000000000001,5.119789523332252,True
Infrastructure,Innovation Ecosystem,International industrial applications by origin (Hague System),Australia,1.5769298319446166e-07,2.257514191399607,True
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Australia,6.970029857195206e-05,5.015436558941404,True
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,Australia,122.27,5.426906960346506,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",Australia,13732.49,5.558224996095332,True
Infrastructure,Innovation Ecosystem,International industrial designs by origin (Hague System),Australia,2.365394747916925e-07,2.096286835883358,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Australia,22.3458980736629,1.8192926017300044,False
Government,Digital Public Services,Security incidents (# of relevant issues),Australia,0.5839520402525148,1.5392833919632611,False
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Australia,5.070189625091979e-06,2.296596737379603,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Australia,22060.9,5.199599683431732,True
,Connectivity Technology,ISP internet download speed average ,Australia,85.32,4.40662077632744,True
Business,Startup Environment,"Amount invested into startups yearly from private, public, blended sources (respectively)",Australia,19.211373531605638,3.330978446803851,True
Business,Startup Environment,Time required to start a business (days),Australia,2.0,5.7615384615384615,False
People,Digital Wellbeing,Device Addiction (time of use on internet / on devices),Australia,6.13,4.2335714285714285,False
People,Digital Wellbeing,Device Addiction (time of use on internet / on devices),Austria,5.46,4.951428571428572,False
Infrastructure,Innovation Ecosystem,International industrial designs by origin (Hague System),Austria,1.8581248479716034e-05,5.003699678995183,True
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,Austria,67.05,4.847150142492875,True
Business,Startup Environment,Time required to start a business (days),Austria,21.0,2.533284804367608,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",Austria,7143.279999999999,5.229137196338853,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Austria,18.635211369481805,1.8834879776789384,False
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Austria,7.270964614638875e-05,5.001877473168808,True
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Austria,0.0001626140776043,5.199635860289649,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Austria,31195.640000000003,5.319012521020792,True
,Connectivity Technology,ISP internet download speed average ,Austria,106.76,4.709748364799634,True
Infrastructure,Innovation Ecosystem,International industrial applications by origin (Hague System),Austria,5.405454103190119e-06,5.002679837481421,True
Infrastructure,Innovation Ecosystem,Angel Ecosystem size,Austria,2.2646600419823604,4.332471346645354,True
Business,Startup Environment,"Amount invested into startups yearly from private, public, blended sources (respectively)",Austria,10.182172951183816,2.634140789773153,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",Austria,26.61,5.042403973705156,True
,Connectivity Technology,ISP internet download speed average ,Azerbaijan,24.08,2.538260366760284,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",Azerbaijan,-10.29,2.864598885323425,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",Azerbaijan,-1030.96,2.722847540334989,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Azerbaijan,6.231382508370824,3.2034061677405448,False
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,Azerbaijan,37.24,3.4858400116567103,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Azerbaijan,-16691.039999999997,1.9863633958359936,True
Business,Startup Environment,Time required to start a business (days),Azerbaijan,3.5,5.533076923076923,False
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Azerbaijan,1.1970930988281156e-06,3.0017359392252803,True
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Azerbaijan,1.2098628015583032e-05,3.2542901438137224,True
Infrastructure,Innovation Ecosystem,International industrial applications by origin (Hague System),Bahamas (the),0.0,1.0,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Bahamas (the),12.460330376759703,2.0031811133662,False
Infrastructure,Innovation Ecosystem,International industrial designs by origin (Hague System),Bahamas (the),0.0,1.0,True
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Bahamas (the),5.1349727589695135e-06,4.0002134617109615,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",Bahamas (the),-202.83,3.475974352301383,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",Bahamas (the),-8.82,2.987491977706469,True
Business,Startup Environment,Time required to start a business (days),Bahamas (the),11.5,4.0,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Bahamas (the),166.32000000000045,4.046461106800625,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",Bahrain,18.379999999999995,5.002373610824514,True
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Bahrain,0.0038461538461538,5.297302447988052,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Bahrain,11.753761056616105,2.1269228298691383,False
Business,Startup Environment,Time required to start a business (days),Bahrain,8.3,4.704,False
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,Bahrain,78.82,5.065832689789477,True
,Connectivity Technology,ISP internet download speed average ,Bahrain,76.3,4.279092285281768,True
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Bahrain,1.218647252803498e-06,3.0071621183016,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",Bahrain,-416.68,3.0009994795078656,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Bahrain,-11606.659999999983,2.411148390188288,True
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,Bangladesh,12.6,1.413377286261165,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",Bangladesh,-11.75,2.742541800371559,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",Bangladesh,-2270.3699999999994,2.183428759836462,True
,Connectivity Technology,ISP internet download speed average ,Bangladesh,38.27,3.3182719988128806,True
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Bangladesh,1.2266463929821892e-08,1.241858019439518,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Bangladesh,0.8622292306480983,4.980160464482911,False
Business,Startup Environment,Time required to start a business (days),Bangladesh,19.5,2.7089444949954515,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Bangladesh,-17647.739999999994,1.9823267844539885,True
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Bangladesh,3.841130828916033e-05,4.608095948672556,True
,Connectivity Technology,ISP internet download speed average ,Barbados,114.27,4.815927851246751,True
Business,Startup Environment,Time required to start a business (days),Barbados,16.0,3.194464285714285,False
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Barbados,0.0002752411844429,5.422916353329652,True
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Barbados,0.0023255813953488,5.178256013436557,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Barbados,13.223324552581854,1.977114342958581,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Belarus,-8194.620000000003,2.7433828647909237,True
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,Belarus,18.33,1.8155253083794127,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",Belarus,-431.2,2.983876423264607,True
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Belarus,4.9265937530791214e-06,2.269030350436813,True
,Connectivity Technology,ISP internet download speed average ,Belarus,65.61,4.127952643454915,True
