Country Name,Indicator,data_col,new_rank_score,higher_is_better
Sweden ,"Networking Services (Spend, IT Forecast Data)",82.75,5.128787878787879,True
Denmark ,"Networking Services (Spend, IT Forecast Data)",82.19,5.10050505050505,True
Singapore ,"Networking Services (Spend, IT Forecast Data)",81.39,5.06010101010101,True
Netherlands ,"Networking Services (Spend, IT Forecast Data)",81.37,5.0590909090909095,True
Switzerland ,"Networking Services (Spend, IT Forecast Data)",80.41,5.01060606060606,True
Finland ,"Networking Services (Spend, IT Forecast Data)",80.16,4.997979797979797,True
Norway ,"Networking Services (Spend, IT Forecast Data)",79.39,4.959090909090909,True
United States ,"Networking Services (Spend, IT Forecast Data)",78.91,4.934848484848485,True
Germany ,"Networking Services (Spend, IT Forecast Data)",77.48,4.862626262626263,True
United Kingdom ,"Networking Services (Spend, IT Forecast Data)",76.27,4.801515151515151,True
Luxembourg ,"Networking Services (Spend, IT Forecast Data)",75.27,4.751010101010101,True
Australia ,"Networking Services (Spend, IT Forecast Data)",75.09,4.741919191919193,True
Canada ,"Networking Services (Spend, IT Forecast Data)",74.92,4.733333333333333,True
"Korea, Rep. ","Networking Services (Spend, IT Forecast Data)",74.6,4.717171717171717,True
Japan ,"Networking Services (Spend, IT Forecast Data)",73.54,4.663636363636364,True
New Zealand ,"Networking Services (Spend, IT Forecast Data)",73.27,4.6499999999999995,True
France ,"Networking Services (Spend, IT Forecast Data)",73.18,4.645454545454546,True
Austria ,"Networking Services (Spend, IT Forecast Data)",72.92,4.632323232323232,True
Ireland ,"Networking Services (Spend, IT Forecast Data)",72.13,4.592424242424242,True
Belgium ,"Networking Services (Spend, IT Forecast Data)",70.67,4.518686868686869,True
Iceland ,"Networking Services (Spend, IT Forecast Data)",70.55,4.512626262626263,True
Hong Kong (China) ,"Networking Services (Spend, IT Forecast Data)",70.52,4.511111111111111,True
Estonia ,"Networking Services (Spend, IT Forecast Data)",70.32,4.501010101010101,True
Israel ,"Networking Services (Spend, IT Forecast Data)",69.81,4.475252525252525,True
Spain ,"Networking Services (Spend, IT Forecast Data)",67.31,4.348989898989899,True
Malta ,"Networking Services (Spend, IT Forecast Data)",66.73,4.31969696969697,True
Slovenia ,"Networking Services (Spend, IT Forecast Data)",66.58,4.3121212121212125,True
Czech Republic ,"Networking Services (Spend, IT Forecast Data)",66.33,4.2994949494949495,True
Lithuania ,"Networking Services (Spend, IT Forecast Data)",64.7,4.217171717171717,True
United Arab Emirates ,"Networking Services (Spend, IT Forecast Data)",64.42,4.203030303030303,True
Portugal ,"Networking Services (Spend, IT Forecast Data)",64.4,4.202020202020202,True
Italy ,"Networking Services (Spend, IT Forecast Data)",63.69,4.166161616161617,True
Poland ,"Networking Services (Spend, IT Forecast Data)",61.8,4.070707070707071,True
Malaysia ,"Networking Services (Spend, IT Forecast Data)",61.43,4.052020202020202,True
Slovakia ,"Networking Services (Spend, IT Forecast Data)",60.78,4.019191919191918,True
Cyprus ,"Networking Services (Spend, IT Forecast Data)",60.67,4.013636363636364,True
Latvia ,"Networking Services (Spend, IT Forecast Data)",60.47,4.003535353535353,True
Qatar ,"Networking Services (Spend, IT Forecast Data)",60.26,3.992929292929293,True
