Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Germany,2018,"Cloud Services (Spend, IT Forecast Data)",18.2,4.739130434782609,True,Technology Adoption
Japan,2018,"Cloud Services (Spend, IT Forecast Data)",20.3,5.195652173913044,True,Technology Adoption
United States,2018,"Cloud Services (Spend, IT Forecast Data)",18.0,4.695652173913043,True,Technology Adoption
United Kingdom,2018,"Cloud Services (Spend, IT Forecast Data)",19.8,5.086956521739131,True,Technology Adoption
Australia,2018,"Cloud Services (Spend, IT Forecast Data)",16.1,4.282608695652174,True,Technology Adoption
Singapore,2018,"Cloud Services (Spend, IT Forecast Data)",20.7,5.282608695652174,True,Technology Adoption
Canada,2018,"Cloud Services (Spend, IT Forecast Data)",17.0,4.478260869565217,True,Technology Adoption
France,2018,"Cloud Services (Spend, IT Forecast Data)",17.3,4.543478260869565,True,Technology Adoption
Italy,2018,"Cloud Services (Spend, IT Forecast Data)",15.0,4.043478260869565,True,Technology Adoption
Spain,2018,"Cloud Services (Spend, IT Forecast Data)",16.6,4.391304347826087,True,Technology Adoption
Poland,2018,"Cloud Services (Spend, IT Forecast Data)",14.7,3.9782608695652173,True,Technology Adoption
Korea,2018,"Cloud Services (Spend, IT Forecast Data)",19.9,5.108695652173913,True,Technology Adoption
Mexico,2018,"Cloud Services (Spend, IT Forecast Data)",9.1,2.7608695652173916,True,Technology Adoption
Malaysia,2018,"Cloud Services (Spend, IT Forecast Data)",13.5,3.717391304347826,True,Technology Adoption
South Africa,2018,"Cloud Services (Spend, IT Forecast Data)",10.3,3.0217391304347827,True,Technology Adoption
Turkey,2018,"Cloud Services (Spend, IT Forecast Data)",11.1,3.1956521739130435,True,Technology Adoption
Argentina,2018,"Cloud Services (Spend, IT Forecast Data)",10.8,3.130434782608696,True,Technology Adoption
Brazil,2018,"Cloud Services (Spend, IT Forecast Data)",11.5,3.282608695652174,True,Technology Adoption
Thailand,2018,"Cloud Services (Spend, IT Forecast Data)",11.1,3.1956521739130435,True,Technology Adoption
India,2018,"Cloud Services (Spend, IT Forecast Data)",6.9,2.282608695652174,True,Technology Adoption
Russia,2018,"Cloud Services (Spend, IT Forecast Data)",15.7,4.195652173913043,True,Technology Adoption
China,2018,"Cloud Services (Spend, IT Forecast Data)",12.7,3.5434782608695654,True,Technology Adoption
Indonesia,2018,"Cloud Services (Spend, IT Forecast Data)",8.2,2.5652173913043477,True,Technology Adoption
Vietnam,2018,"Cloud Services (Spend, IT Forecast Data)",8.6,2.6521739130434785,True,Technology Adoption
