Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Afghanistan,2019,Doing Business Index,47.77,3.3837230000000003,False,Startup Environment
Albania,2019,Doing Business Index,69.51,4.468549,False,Startup Environment
Algeria,2019,Doing Business Index,49.65,3.477535,False,Startup Environment
Angola,2019,Doing Business Index,43.86,3.188614,False,Startup Environment
Antigua and Barbuda,2019,Doing Business Index,59.48,3.968052,False,Startup Environment
Argentina,2019,Doing Business Index,58.8,3.9341199999999996,False,Startup Environment
Armenia,2019,Doing Business Index,75.37,4.760963,False,Startup Environment
Australia,2019,Doing Business Index,80.13,4.998487,False,Startup Environment
Austria,2019,Doing Business Index,78.57,4.920643,False,Startup Environment
Azerbaijan,2019,Doing Business Index,78.64,4.924136000000001,False,Startup Environment
"Bahamas, The",2019,Doing Business Index,58.9,3.93911,False,Startup Environment
Bahrain,2019,Doing Business Index,69.85,4.4855149999999995,False,Startup Environment
Bangladesh,2019,Doing Business Index,41.97,3.094303,False,Startup Environment
Bangladesh Chittagong,2019,Doing Business Index,42.89,3.1402110000000003,False,Startup Environment
Bangladesh Dhaka,2019,Doing Business Index,41.71,3.081329,False,Startup Environment
Barbados,2019,Doing Business Index,56.78,3.833322,False,Startup Environment
Belarus,2019,Doing Business Index,75.77,4.780923,False,Startup Environment
Belgium,2019,Doing Business Index,73.95,4.690105000000001,False,Startup Environment
Belize,2019,Doing Business Index,57.13,3.8507870000000004,False,Startup Environment
Benin,2019,Doing Business Index,51.42,3.565858,False,Startup Environment
Bhutan,2019,Doing Business Index,66.08,4.297392,False,Startup Environment
Bolivia,2019,Doing Business Index,50.32,3.510968,False,Startup Environment
Bosnia and Herzegovina,2019,Doing Business Index,63.82,4.184618,False,Startup Environment
Botswana,2019,Doing Business Index,65.4,4.26346,False,Startup Environment
Brazil,2019,Doing Business Index,60.01,3.9944990000000002,False,Startup Environment
Brazil Rio de Janeiro,2019,Doing Business Index,60.13,4.000487000000001,False,Startup Environment
Brazil São Paulo,2019,Doing Business Index,59.94,3.991006,False,Startup Environment
Brunei Darussalam,2019,Doing Business Index,72.03,4.594297,False,Startup Environment
Bulgaria,2019,Doing Business Index,71.24,4.554876,False,Startup Environment
Burkina Faso,2019,Doing Business Index,51.57,3.573343,False,Startup Environment
Burundi,2019,Doing Business Index,47.41,3.3657589999999997,False,Startup Environment
Cabo Verde,2019,Doing Business Index,55.95,3.7919050000000003,False,Startup Environment
Cambodia,2019,Doing Business Index,54.8,3.73452,False,Startup Environment
Cameroon,2019,Doing Business Index,47.78,3.384222,False,Startup Environment
Canada,2019,Doing Business Index,79.26,4.955074,False,Startup Environment
Central African Republic,2019,Doing Business Index,36.9,2.84131,False,Startup Environment
Chad,2019,Doing Business Index,39.36,2.9640640000000005,False,Startup Environment
Chile,2019,Doing Business Index,71.81,4.583319,False,Startup Environment
China,2019,Doing Business Index,73.64,4.6746360000000005,False,Startup Environment
China Beijing,2019,Doing Business Index,73.59,4.672141,False,Startup Environment
