Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Albania,2019,Ease of finding skilled employees,3.89,3.89,True,Startup Environment
Algeria,2019,Ease of finding skilled employees,4.12,4.12,True,Startup Environment
Angola,2019,Ease of finding skilled employees,2.76,2.76,True,Startup Environment
Argentina,2019,Ease of finding skilled employees,4.19,4.19,True,Startup Environment
Armenia,2019,Ease of finding skilled employees,4.03,4.03,True,Startup Environment
Australia,2019,Ease of finding skilled employees,4.57,4.57,True,Startup Environment
Austria,2019,Ease of finding skilled employees,4.45,4.45,True,Startup Environment
Azerbaijan,2019,Ease of finding skilled employees,4.79,4.79,True,Startup Environment
Bahrain,2019,Ease of finding skilled employees,4.91,4.91,True,Startup Environment
Bangladesh,2019,Ease of finding skilled employees,3.67,3.67,True,Startup Environment
Barbados,2019,Ease of finding skilled employees,4.61,4.61,True,Startup Environment
Belgium,2019,Ease of finding skilled employees,4.73,4.73,True,Startup Environment
Benin,2019,Ease of finding skilled employees,4.65,4.65,True,Startup Environment
Bolivia,2019,Ease of finding skilled employees,3.68,3.68,True,Startup Environment
Bosnia and Herzegovina,2019,Ease of finding skilled employees,3.29,3.29,True,Startup Environment
Botswana,2019,Ease of finding skilled employees,3.98,3.98,True,Startup Environment
Brazil,2019,Ease of finding skilled employees,3.38,3.38,True,Startup Environment
Brunei Darussalam,2019,Ease of finding skilled employees,3.99,3.99,True,Startup Environment
Bulgaria,2019,Ease of finding skilled employees,3.62,3.62,True,Startup Environment
Burkina Faso,2019,Ease of finding skilled employees,3.86,3.86,True,Startup Environment
Burundi,2019,Ease of finding skilled employees,4.63,4.63,True,Startup Environment
Cabo Verde,2019,Ease of finding skilled employees,4.21,4.21,True,Startup Environment
Cambodia,2019,Ease of finding skilled employees,3.5,3.5,True,Startup Environment
Cameroon,2019,Ease of finding skilled employees,4.42,4.42,True,Startup Environment
Canada,2019,Ease of finding skilled employees,4.87,4.87,True,Startup Environment
Chad,2019,Ease of finding skilled employees,3.85,3.85,True,Startup Environment
Chile,2019,Ease of finding skilled employees,4.86,4.86,True,Startup Environment
China,2019,Ease of finding skilled employees,4.58,4.58,True,Startup Environment
Colombia,2019,Ease of finding skilled employees,4.31,4.31,True,Startup Environment
Costa Rica,2019,Ease of finding skilled employees,4.81,4.81,True,Startup Environment
Croatia,2019,Ease of finding skilled employees,3.15,3.15,True,Startup Environment
Cyprus,2019,Ease of finding skilled employees,4.73,4.73,True,Startup Environment
Czech Republic,2019,Ease of finding skilled employees,3.25,3.25,True,Startup Environment
Denmark,2019,Ease of finding skilled employees,4.92,4.92,True,Startup Environment
Dominican Republic,2019,Ease of finding skilled employees,4.11,4.11,True,Startup Environment
Ecuador,2019,Ease of finding skilled employees,4.16,4.16,True,Startup Environment
"Egypt, Arab Rep.",2019,Ease of finding skilled employees,4.01,4.01,True,Startup Environment
El Salvador,2019,Ease of finding skilled employees,3.79,3.79,True,Startup Environment
Estonia,2019,Ease of finding skilled employees,3.53,3.53,True,Startup Environment
Ethiopia,2019,Ease of finding skilled employees,3.64,3.64,True,Startup Environment
Finland,2019,Ease of finding skilled employees,5.2,5.2,True,Startup Environment
France,2019,Ease of finding skilled employees,4.58,4.58,True,Startup Environment
