Country Name,Indicator,data_col,new_rank_score,higher_is_better
World,Total ICT goods Imports,13.36253,1.6681265,True
Antigua and Barbuda,Total ICT goods Imports,3.57755,1.1788775,True
Azerbaijan,Total ICT goods Imports,3.94651,1.1973255,True
Argentina,Total ICT goods Imports,8.09647,1.4048235,True
Australia,Total ICT goods Imports,10.35458,1.517729,True
Austria,Total ICT goods Imports,5.23378,1.261689,True
Armenia,Total ICT goods Imports,5.21115,1.2605575,True
Barbados,Total ICT goods Imports,3.08026,1.154013,True
Belgium,Total ICT goods Imports,3.36165,1.1680825000000001,True
Bermuda,Total ICT goods Imports,2.02207,1.1011035,True
Bosnia and Herzegovina,Total ICT goods Imports,2.82787,1.1413935,True
Botswana,Total ICT goods Imports,2.92941,1.1464705,True
Brazil,Total ICT goods Imports,9.02468,1.451234,True
Belize,Total ICT goods Imports,3.13291,1.1566455,True
Brunei Darussalam,Total ICT goods Imports,2.09483,1.1047415,True
Bulgaria,Total ICT goods Imports,5.31235,1.2656175,True
Myanmar,Total ICT goods Imports,3.08489,1.1542445,True
Burundi,Total ICT goods Imports,2.43401,1.1217005,True
Developed economies,Total ICT goods Imports,9.27819,1.4639095,True
Belarus,Total ICT goods Imports,3.69681,1.1848405,True
Developed economies: America,Total ICT goods Imports,12.05884,1.602942,True
Developed economies: Asia,Total ICT goods Imports,11.91245,1.5956225,True
Developed economies: Europe,Total ICT goods Imports,7.62265,1.3811325,True
Developed economies: Oceania,Total ICT goods Imports,9.88464,1.494232,True
Cambodia,Total ICT goods Imports,1.42123,1.0710614999999999,True
Developing economies,Total ICT goods Imports,19.49158,1.9745789999999999,True
Developing economies: Africa,Total ICT goods Imports,5.03829,1.2519145,True
Developing economies: America,Total ICT goods Imports,11.78292,1.589146,True
Developing economies: Asia,Total ICT goods Imports,21.66905,2.0834525,True
Canada,Total ICT goods Imports,7.15362,1.357681,True
Developing economies: Oceania,Total ICT goods Imports,4.81897,1.2409485,True
Transition economies,Total ICT goods Imports,7.11021,1.3555105,True
Cabo Verde,Total ICT goods Imports,3.04061,1.1520305,True
Chile,Total ICT goods Imports,7.66722,1.383361,True
China,Total ICT goods Imports,22.48475,2.1242374999999996,True
"China, Taiwan Province of",Total ICT goods Imports,26.41102,2.320551,True
Colombia,Total ICT goods Imports,9.91151,1.4955755,True
Comoros,Total ICT goods Imports,1.17507,1.0587535,True
Congo,Total ICT goods Imports,2.25307,1.1126535,True
Costa Rica,Total ICT goods Imports,7.53303,1.3766515,True
Croatia,Total ICT goods Imports,4.89194,1.244597,True
Cyprus,Total ICT goods Imports,4.06707,1.2033535,True
Czechia,Total ICT goods Imports,17.39493,1.8697465,True
Benin,Total ICT goods Imports,1.50693,1.0753465,True
Denmark,Total ICT goods Imports,7.39065,1.3695325,True
Developed economies: Asia and Oceania,Total ICT goods Imports,11.40845,1.5704225,True
Developing economies: Asia and Oceania,Total ICT goods Imports,21.66041,2.0830205,True
Sub-Saharan Africa excluding South Africa,Total ICT goods Imports,3.33209,1.1666045,True
Africa excluding South Africa,Total ICT goods Imports,4.18888,1.209444,True
Developing economies excluding China,Total ICT goods Imports,18.34188,1.917094,True
Developing economies excluding LDCs,Total ICT goods Imports,19.69289,1.9846445,True
Ecuador,Total ICT goods Imports,4.4928,1.22464,True
M49 developing regions,Total ICT goods Imports,19.30742,1.9653710000000002,True
M49 developed regions,Total ICT goods Imports,9.23184,1.461592,True
LDCs (Least developed countries),Total ICT goods Imports,2.84287,1.1421435,True
LDCs: Africa and Haiti,Total ICT goods Imports,3.05388,1.1526939999999999,True
LDCs: Asia,Total ICT goods Imports,2.67871,1.1339355,True
LDCs: Islands,Total ICT goods Imports,2.27554,1.113777,True
El Salvador,Total ICT goods Imports,5.03874,1.251937,True
LLDCs (Landlocked developing countries),Total ICT goods Imports,5.53714,1.2768570000000001,True
LDCs: Africa,Total ICT goods Imports,3.05388,1.1526939999999999,True
LDCs: Islands and Haiti,Total ICT goods Imports,2.27554,1.113777,True
SIDS (Small island developing States) (UNCTAD),Total ICT goods Imports,4.12049,1.2060245,True
SIDS: Atlantic and Indian Ocean,Total ICT goods Imports,4.76401,1.2382005,True
SIDS: Caribbean,Total ICT goods Imports,3.33243,1.1666215,True
SIDS: Pacific,Total ICT goods Imports,4.81897,1.2409485,True
SIDS (Small island developing States) (UN-OHRLLS),Total ICT goods Imports,24.95236,2.247618,True
Estonia,Total ICT goods Imports,7.47086,1.373543,True
Selected exporters of petroleum,Total ICT goods Imports,7.91446,1.395723,True
Selected exporters of manufactured goods,Total ICT goods Imports,22.58961,2.1294804999999997,True
Selected exporters of manufactured goods and primary commodities,Total ICT goods Imports,19.13422,1.9567109999999999,True
Selected exporters of agricultural products,Total ICT goods Imports,6.9007,1.345035,True
Selected exporters of minerals and mining products,Total ICT goods Imports,6.46682,1.323341,True
Selected LIFDC (Low-income food-deficit countries),Total ICT goods Imports,14.26406,1.713203,True
LIFDC (Low-income food-deficit countries) (FAO),Total ICT goods Imports,13.45803,1.6729015,True
Net food-importing economies,Total ICT goods Imports,15.12158,1.7560790000000002,True
Net food-exporting economies,Total ICT goods Imports,11.08713,1.5543565,True
Net food-exporting developing economies,Total ICT goods Imports,12.59792,1.629896,True
Net food-exporting transition economies,Total ICT goods Imports,3.76965,1.1884825,True
Net food-exporting developed economies,Total ICT goods Imports,10.44877,1.5224384999999998,True
Major net food-exporting economies,Total ICT goods Imports,11.25664,1.5628320000000002,True
Fiji,Total ICT goods Imports,4.9221,1.246105,True
Net food-importing developing economies,Total ICT goods Imports,23.20165,2.1600825,True
Net food-importing transition economies,Total ICT goods Imports,7.77649,1.3888245,True
Net food-importing developed economies,Total ICT goods Imports,8.06896,1.403448,True
Major net food-importing economies,Total ICT goods Imports,15.71023,1.7855115,True
Finland,Total ICT goods Imports,7.06238,1.353119,True
Industrialized economies (UNIDO),Total ICT goods Imports,12.82623,1.6413115,True
EIEs (Emerging Industrial Economies) (UNIDO),Total ICT goods Imports,14.84653,1.7423265,True
France,Total ICT goods Imports,6.17898,1.308949,True
Emerging markets,Total ICT goods Imports,18.95628,1.947814,True
Emerging markets: Africa,Total ICT goods Imports,6.19093,1.3095465,True
Emerging markets: America,Total ICT goods Imports,12.29799,1.6148995,True
Emerging markets: Asia,Total ICT goods Imports,21.9253,2.096265,True
Emerging markets: Europe and Kazakhstan,Total ICT goods Imports,10.45224,1.522612,True
HIPCs (Heavily indebted poor countries) (IMF),Total ICT goods Imports,3.06224,1.153112,True
High-income developing economies,Total ICT goods Imports,21.58475,2.0792375,True
Middle-income developing economies,Total ICT goods Imports,11.45365,1.5726825,True
Low-income developing economies,Total ICT goods Imports,2.89746,1.144873,True
Low-income economies (World Bank),Total ICT goods Imports,3.19593,1.1597965000000001,True
Lower-middle-income economies (World Bank),Total ICT goods Imports,11.47759,1.5738794999999999,True
Upper-middle-income economies (World Bank),Total ICT goods Imports,16.70025,1.8350125,True
High-income economies (World Bank),Total ICT goods Imports,12.48738,1.6243690000000002,True
High-income OECD members (World Bank),Total ICT goods Imports,9.62316,1.481158,True
High-income non OECD members (World Bank),Total ICT goods Imports,29.89913,2.4949565,True
Georgia,Total ICT goods Imports,4.43912,1.221956,True
Gambia,Total ICT goods Imports,0.76314,1.038157,True
BASIC,Total ICT goods Imports,18.96542,1.948271,True
BRICS,Total ICT goods Imports,18.18939,1.9094695000000002,True
Germany,Total ICT goods Imports,8.3671,1.418355,True
Ghana,Total ICT goods Imports,2.4732,1.12366,True
Greece,Total ICT goods Imports,4.47632,1.223816,True
AMU (Arab Maghreb Union),Total ICT goods Imports,4.28578,1.214289,True
COMESA (Common Market for Eastern and Southern Africa),Total ICT goods Imports,4.99606,1.249803,True
ECCAS (Economic Community of Central African States),Total ICT goods Imports,3.79892,1.189946,True
ECOWAS (Economic Community of West African States),Total ICT goods Imports,3.35199,1.1675995000000001,True
MRU (Mano River Union),Total ICT goods Imports,3.47281,1.1736404999999999,True
SADC (Southern African Development Community),Total ICT goods Imports,6.45336,1.322668,True
CEMAC (Economic and Monetary Community of Central Africa),Total ICT goods Imports,2.25307,1.1126535,True
WAEMU (West African Economic and Monetary Union),Total ICT goods Imports,3.11412,1.155706,True
CEPGL (Economic Community of the Great Lakes Countries),Total ICT goods Imports,4.64896,1.232448,True
EAC (East African Community),Total ICT goods Imports,3.96989,1.1984945,True
SACU (Southern African Customs Union),Total ICT goods Imports,7.15517,1.3577585,True
CEN-SAD (Community of Sahel-Saharan States),Total ICT goods Imports,4.39547,1.2197735,True
IGAD (Intergovernmental Authority on Development),Total ICT goods Imports,3.80881,1.1904405,True
United Nations member States,Total ICT goods Imports,11.82381,1.5911905000000002,True
Guatemala,Total ICT goods Imports,6.55088,1.327544,True
CAN (Andean Community),Total ICT goods Imports,8.37772,1.418886,True
CACM (Central American Common Market),Total ICT goods Imports,5.90216,1.295108,True
CARICOM (Caribbean Community),Total ICT goods Imports,2.40293,1.1201465,True
FTAA (Free Trade Area of the Americas),Total ICT goods Imports,11.99714,1.599857,True
LAIA (Latin American Integration Association),Total ICT goods Imports,12.41101,1.6205504999999998,True
NAFTA (North American Free Trade Agreement),Total ICT goods Imports,12.55603,1.6278015,True
OECS (Organisation of Eastern Caribbean States),Total ICT goods Imports,4.14004,1.207002,True
MERCOSUR (Southern Common Market),Total ICT goods Imports,9.32814,1.466407,True
ALBA-TCP (Bolivarian Alliance for the Peoples of Our America - Peoples' Trade Treaty),Total ICT goods Imports,2.83487,1.1417435,True
UNASUR (Union of South American Nations),Total ICT goods Imports,4.02331,1.2011655,True
ACS (Association of Caribbean States),Total ICT goods Imports,13.81075,1.6905375,True
Guyana,Total ICT goods Imports,0.92259,1.0461295,True
ASEAN (Association of Southeast Asian Nations),Total ICT goods Imports,20.3221,2.016105,True
APTA (Asia-Pacific Trade Agreement),Total ICT goods Imports,19.2911,1.964555,True
GCC (The Cooperation Council for the Arab States of the Gulf),Total ICT goods Imports,10.13009,1.5065045,True
SAARC (South Asian Association for Regional Cooperation),Total ICT goods Imports,9.01116,1.450558,True
"ASEAN (Association of Southeast Asian Nations) plus China, Japan and Republic of Korea",Total ICT goods Imports,19.55239,1.9776194999999999,True
ECO (Economic Cooperation Organization),Total ICT goods Imports,4.28533,1.2142665,True
African Union,Total ICT goods Imports,5.03829,1.2519145,True
"ADB (African Development Bank), developing member countries",Total ICT goods Imports,18.86946,1.943473,True
ADB: Group A,Total ICT goods Imports,2.98574,1.149287,True
ADB: Group B,Total ICT goods Imports,8.71511,1.4357555,True
ADB: Group C,Total ICT goods Imports,20.94919,2.0474595,True
ECA (Economic Commission for Africa),Total ICT goods Imports,5.03829,1.2519145,True
ECA: North Africa,Total ICT goods Imports,4.97721,1.2488605,True
ECA: East Africa,Total ICT goods Imports,3.58598,1.1792989999999999,True
ECA: Central Africa,Total ICT goods Imports,2.3471,1.117355,True
ECA: Southern Africa,Total ICT goods Imports,6.64672,1.332336,True
ECA: West Africa,Total ICT goods Imports,3.35199,1.1675995000000001,True
ECLAC (Economic Commission for Latin America and the Caribbean),Total ICT goods Imports,11.78292,1.589146,True
ECLAC: Caribbean,Total ICT goods Imports,2.52227,1.1261135,True
ECLAC: Latin America,Total ICT goods Imports,11.9722,1.59861,True
ESCAP (Economic and Social Commission for Asia and the Pacific),Total ICT goods Imports,20.18376,2.009188,True
