Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Albania,2019.0,Regulatory Quality,50.67070109,3.5284679843910003,True,Startup Environment
Algeria,2019.0,Regulatory Quality,9.425411446,1.4703280311554001,True,Startup Environment
Angola,2019.0,Regulatory Quality,20.13063387,2.004518630113,True,Startup Environment
Argentina,2019.0,Regulatory Quality,30.61655915,2.5277663015850003,True,Startup Environment
Armenia,2019.0,Regulatory Quality,50.02070102,3.496032980898,True,Startup Environment
Australia,2019.0,Regulatory Quality,92.47544571,5.614524740929,True,Startup Environment
Austria,2019.0,Regulatory Quality,81.64170104,5.073920881896,True,Startup Environment
Azerbaijan,2019.0,Regulatory Quality,37.57315982,2.874900675018,True,Startup Environment
Bahrain,2019.0,Regulatory Quality,56.17924502,3.8033443264980002,True,Startup Environment
Bangladesh,2019.0,Regulatory Quality,19.21350643,1.9587539708569999,True,Startup Environment
Belarus,2019.0,Regulatory Quality,29.28259957,2.461201718543,True,Startup Environment
Belgium,2019.0,Regulatory Quality,77.24685193,4.854617911307001,True,Startup Environment
Benin,2019.0,Regulatory Quality,33.6695932,2.68011270068,True,Startup Environment
Bolivia (Plurinational State of),2019.0,Regulatory Quality,17.52862514,1.8746783944860002,True,Startup Environment
Bosnia and Herzegovina,2019.0,Regulatory Quality,38.42639777,2.9174772487230003,True,Startup Environment
Botswana,2019.0,Regulatory Quality,53.17289442,3.653327431558,True,Startup Environment
Brazil,2019.0,Regulatory Quality,38.85011074,2.938620525926,True,Startup Environment
Brunei Darussalam,2019.0,Regulatory Quality,60.08368537,3.998175899963,True,Startup Environment
Bulgaria,2019.0,Regulatory Quality,57.39692798,3.864106706202,True,Startup Environment
Burkina Faso,2019.0,Regulatory Quality,33.65580732,2.679424785268,True,Startup Environment
Cabo Verde,2019.0,Regulatory Quality,37.62606423,2.877540605077,True,Startup Environment
Cambodia,2019.0,Regulatory Quality,28.62765078,2.428519773922,True,Startup Environment
Cameroon,2019.0,Regulatory Quality,21.87863959,2.091744115541,True,Startup Environment
Canada,2019.0,Regulatory Quality,88.35963929,5.409146000571,True,Startup Environment
Chile,2019.0,Regulatory Quality,75.49980449,4.767440244051,True,Startup Environment
China,2019.0,Regulatory Quality,37.10331146,2.851455241854,True,Startup Environment
Colombia,2019.0,Regulatory Quality,53.86606038,3.687916412962,True,Startup Environment
Costa Rica,2019.0,Regulatory Quality,56.51743026,3.820219769974,True,Startup Environment
Cote dIvoire,2019.0,Regulatory Quality,37.14909349,2.853739765151,True,Startup Environment
Croatia,2019.0,Regulatory Quality,58.94784121,3.941497276379,True,Startup Environment
Cyprus,2019.0,Regulatory Quality,69.96231448,4.491119492552,True,Startup Environment
Czech Republic,2019.0,Regulatory Quality,76.04771504,4.794780980496,True,Startup Environment
Denmark,2019.0,Regulatory Quality,84.41002378,5.212060186622001,True,Startup Environment
Dominican Republic,2019.0,Regulatory Quality,42.09695109,3.100637859391,True,Startup Environment
Ecuador,2019.0,Regulatory Quality,21.96715746,2.096161157254,True,Startup Environment
Egypt,2019.0,Regulatory Quality,21.85874024,2.090751137976,True,Startup Environment
El Salvador,2019.0,Regulatory Quality,44.06361403,3.1987743400969997,True,Startup Environment
Estonia,2019.0,Regulatory Quality,85.09263159,5.246122316341,True,Startup Environment
Ethiopia,2019.0,Regulatory Quality,20.25874008,2.010911129992,True,Startup Environment
Finland,2019.0,Regulatory Quality,91.88662082,5.585142378918,True,Startup Environment
France,2019.0,Regulatory Quality,81.14961336,5.049365706664,True,Startup Environment
Georgia,2019.0,Regulatory Quality,72.8306871,4.6342512862900005,True,Startup Environment
Germany,2019.0,Regulatory Quality,88.54139939,5.4182158295609995,True,Startup Environment
Ghana,2019.0,Regulatory Quality,40.59492338,3.0256866766619996,True,Startup Environment
Greece,2019.0,Regulatory Quality,57.34988226,3.861759124774,True,Startup Environment
Guatemala,2019.0,Regulatory Quality,37.61625791,2.877051269709,True,Startup Environment
Guinea,2019.0,Regulatory Quality,23.37352269,2.166338782231,True,Startup Environment
Honduras,2019.0,Regulatory Quality,30.61708894,2.527792738106,True,Startup Environment
Hong Kong,2019.0,Regulatory Quality,95.34758597,5.757844539903,True,Startup Environment
Hungary,2019.0,Regulatory Quality,59.27411192,3.9577781848080003,True,Startup Environment
Iceland,2019.0,Regulatory Quality,79.39008812,4.961565397188,True,Startup Environment
India,2019.0,Regulatory Quality,39.30074887,2.961107368613,True,Startup Environment
Indonesia,2019.0,Regulatory Quality,41.05855232,3.048821760768,True,Startup Environment
Iran (Islamic Republic of),2019.0,Regulatory Quality,6.29472464,1.314106759536,True,Startup Environment
