Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Finland,2018,Share of businesses with online presence,95.64,5.772436,True,Technology Adoption
Denmark,2018,Share of businesses with online presence,93.92,5.6866080000000006,True,Technology Adoption
Japan,2018,Share of businesses with online presence,92.4,5.61076,True,Technology Adoption
Netherlands,2018,Share of businesses with online presence,91.89,5.585311000000001,True,Technology Adoption
Switzerland,2018,Share of businesses with online presence,91.74,5.577826,True,Technology Adoption
Sweden,2018,Share of businesses with online presence,89.65,5.473535000000001,True,Technology Adoption
Austria,2018,Share of businesses with online presence,89.45,5.463555,True,Technology Adoption
Germany,2018,Share of businesses with online presence,88.21,5.401679,True,Technology Adoption
Belgium,2018,Share of businesses with online presence,86.72,5.327328,True,Technology Adoption
United Kingdom,2018,Share of businesses with online presence,83.88,5.185612,True,Technology Adoption
Luxembourg,2018,Share of businesses with online presence,83.67,5.175133,True,Technology Adoption
Czech Republic,2018,Share of businesses with online presence,83.31,5.157169,True,Technology Adoption
Malta,2018,Share of businesses with online presence,83.3,5.15667,True,Technology Adoption
Slovenia,2018,Share of businesses with online presence,82.76,5.129724,True,Technology Adoption
Iceland,2018,Share of businesses with online presence,82.57,5.120242999999999,True,Technology Adoption
Estonia,2018,Share of businesses with online presence,81.18,5.0508820000000005,True,Technology Adoption
New Zealand,2018,Share of businesses with online presence,81.05,5.044395,True,Technology Adoption
Lithuania,2018,Share of businesses with online presence,79.96,4.990004000000001,True,Technology Adoption
Serbia,2018,Share of businesses with online presence,79.1,4.94709,True,Technology Adoption
Chile,2018,Share of businesses with online presence,78.7,4.92713,True,Technology Adoption
Ireland,2018,Share of businesses with online presence,78.68,4.926132000000001,True,Technology Adoption
Canada,2018,Share of businesses with online presence,78.5,4.91715,True,Technology Adoption
Ecuador,2018,Share of businesses with online presence,78.3,4.90717,True,Technology Adoption
Norway,2018,Share of businesses with online presence,78.22,4.9031780000000005,True,Technology Adoption
Australia,2018,Share of businesses with online presence,77.37,4.860763,True,Technology Adoption
Jordan,2018,Share of businesses with online presence,77.1,4.847289999999999,True,Technology Adoption
Spain,2018,Share of businesses with online presence,75.87,4.785913000000001,True,Technology Adoption
Armenia,2018,Share of businesses with online presence,75.6,4.77244,True,Technology Adoption
Croatia,2018,Share of businesses with online presence,74.9,4.73751,True,Technology Adoption
Belarus,2018,Share of businesses with online presence,73.5,4.66765,True,Technology Adoption
Slovakia,2018,Share of businesses with online presence,73.18,4.651682000000001,True,Technology Adoption
United States,2018,Share of businesses with online presence,72.85,4.6352150000000005,True,Technology Adoption
Italy,2018,Share of businesses with online presence,72.08,4.596792,True,Technology Adoption
Paraguay,2018,Share of businesses with online presence,71.6,4.572839999999999,True,Technology Adoption
France,2018,Share of businesses with online presence,71.54,4.569846,True,Technology Adoption
Cyprus,2018,Share of businesses with online presence,71.5,4.56785,True,Technology Adoption
Poland,2018,Share of businesses with online presence,70.22,4.503978,True,Technology Adoption
Argentina,2018,Share of businesses with online presence,69.3,4.45807,True,Technology Adoption
Peru,2018,Share of businesses with online presence,69.2,4.45308,True,Technology Adoption
Uruguay,2018,Share of businesses with online presence,69.1,4.44809,True,Technology Adoption
Bosnia and Herzegovina,2018,Share of businesses with online presence,68.1,4.39819,True,Technology Adoption
Colombia,2018,Share of businesses with online presence,67.81,4.383719000000001,True,Technology Adoption
Romania,2018,Share of businesses with online presence,67.8,4.38322,True,Technology Adoption
Israel,2018,Share of businesses with online presence,67.2,4.35328,True,Technology Adoption
Tunisia,2018,Share of businesses with online presence,66.3,4.30837,True,Technology Adoption
China,2018,Share of businesses with online presence,66.1,4.2983899999999995,True,Technology Adoption
"Korea, Rep.",2018,Share of businesses with online presence,65.44,4.265456,True,Technology Adoption
Latvia,2018,Share of businesses with online presence,64.15,4.201085000000001,True,Technology Adoption
Ukraine,2018,Share of businesses with online presence,63.9,4.18861,True,Technology Adoption
Lebanon,2018,Share of businesses with online presence,63.5,4.1686499999999995,True,Technology Adoption
North Macedonia,2018,Share of businesses with online presence,63.5,4.1686499999999995,True,Technology Adoption
Eswatini,2018,Share of businesses with online presence,62.5,4.11875,True,Technology Adoption
Hungary,2018,Share of businesses with online presence,62.47,4.117253,True,Technology Adoption
Albania,2018,Share of businesses with online presence,59.8,3.9840199999999997,True,Technology Adoption
Greece,2018,Share of businesses with online presence,59.3,3.9590699999999996,True,Technology Adoption
Zambia,2018,Share of businesses with online presence,59.0,3.9441,True,Technology Adoption
Portugal,2018,Share of businesses with online presence,58.61,3.9246390000000004,True,Technology Adoption
Russian Federation,2018,Share of businesses with online presence,58.5,3.91915,True,Technology Adoption
Guatemala,2018,Share of businesses with online presence,58.0,3.8942,True,Technology Adoption
Kyrgyzstan,2018,Share of businesses with online presence,57.2,3.8542800000000006,True,Technology Adoption
Morocco,2018,Share of businesses with online presence,55.4,3.76446,True,Technology Adoption
Costa Rica,2018,Share of businesses with online presence,54.0,3.6946000000000003,True,Technology Adoption
Brazil,2018,Share of businesses with online presence,52.9,3.63971,True,Technology Adoption
Philippines,2018,Share of businesses with online presence,52.4,3.61476,True,Technology Adoption
Egypt,2018,Share of businesses with online presence,51.7,3.57983,True,Technology Adoption
Turkey,2018,Share of businesses with online presence,51.51,3.5703489999999998,True,Technology Adoption
Venezuela,2018,Share of businesses with online presence,51.5,3.56985,True,Technology Adoption
Georgia,2018,Share of businesses with online presence,51.2,3.5548800000000003,True,Technology Adoption
Kazakhstan,2018,Share of businesses with online presence,50.4,3.5149600000000003,True,Technology Adoption
Bolivia,2018,Share of businesses with online presence,49.4,3.46506,True,Technology Adoption
India,2018,Share of businesses with online presence,48.9,3.44011,True,Technology Adoption
Viet Nam,2018,Share of businesses with online presence,48.6,3.4251400000000003,True,Technology Adoption
Moldova,2018,Share of businesses with online presence,48.1,3.4001900000000003,True,Technology Adoption
Kenya,2018,Share of businesses with online presence,47.3,3.36027,True,Technology Adoption
Pakistan,2018,Share of businesses with online presence,46.9,3.34031,True,Technology Adoption
Bulgaria,2018,Share of businesses with online presence,45.7,3.2804300000000004,True,Technology Adoption
Thailand,2018,Share of businesses with online presence,45.5,3.2704500000000003,True,Technology Adoption
Malawi,2018,Share of businesses with online presence,44.9,3.24051,True,Technology Adoption
Honduras,2018,Share of businesses with online presence,43.5,3.17065,True,Technology Adoption
Rwanda,2018,Share of businesses with online presence,42.6,3.12574,True,Technology Adoption
El Salvador,2018,Share of businesses with online presence,42.5,3.12075,True,Technology Adoption
Mali,2018,Share of businesses with online presence,42.2,3.10578,True,Technology Adoption
Dominican Republic,2018,Share of businesses with online presence,42.0,3.0958,True,Technology Adoption
Mexico,2018,Share of businesses with online presence,41.45,3.0683550000000004,True,Technology Adoption
Montenegro,2018,Share of businesses with online presence,41.0,3.0459,True,Technology Adoption
Panama,2018,Share of businesses with online presence,40.5,3.02095,True,Technology Adoption
Mozambique,2018,Share of businesses with online presence,40.3,3.01097,True,Technology Adoption
Namibia,2018,Share of businesses with online presence,39.4,2.9660599999999997,True,Technology Adoption
Zimbabwe,2018,Share of businesses with online presence,38.7,2.9311300000000005,True,Technology Adoption
Benin,2018,Share of businesses with online presence,38.3,2.91117,True,Technology Adoption
Mongolia,2018,Share of businesses with online presence,37.5,2.87125,True,Technology Adoption
Botswana,2018,Share of businesses with online presence,36.6,2.82634,True,Technology Adoption
Jamaica,2018,Share of businesses with online presence,36.4,2.81636,True,Technology Adoption
South Africa,2018,Share of businesses with online presence,36.0,2.7964,True,Technology Adoption
Mauritius,2018,Share of businesses with online presence,35.9,2.79141,True,Technology Adoption
Ethiopia,2018,Share of businesses with online presence,34.8,2.7365199999999996,True,Technology Adoption
Senegal,2018,Share of businesses with online presence,34.6,2.72654,True,Technology Adoption
Ghana,2018,Share of businesses with online presence,33.2,2.6566800000000006,True,Technology Adoption
Azerbaijan,2018,Share of businesses with online presence,33.0,2.6467,True,Technology Adoption
Malaysia,2018,Share of businesses with online presence,31.5,2.57185,True,Technology Adoption
Lao PDR,2018,Share of businesses with online presence,30.9,2.54191,True,Technology Adoption
Trinidad and Tobago,2018,Share of businesses with online presence,30.8,2.5369200000000003,True,Technology Adoption
Madagascar,2018,Share of businesses with online presence,29.5,2.4720500000000003,True,Technology Adoption
Angola,2018,Share of businesses with online presence,28.9,2.4421100000000004,True,Technology Adoption
Tajikistan,2018,Share of businesses with online presence,28.2,2.40718,True,Technology Adoption
Bangladesh,2018,Share of businesses with online presence,26.3,2.3123700000000005,True,Technology Adoption
Nepal,2018,Share of businesses with online presence,26.1,2.30239,True,Technology Adoption
Burundi,2018,Share of businesses with online presence,25.6,2.2774400000000004,True,Technology Adoption
Cambodia,2018,Share of businesses with online presence,24.2,2.20758,True,Technology Adoption
