Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better
Singapore,2019,Size of digital economy (% of transactions),78.13,6.0,True
Switzerland,2019,Size of digital economy (% of transactions),64.57,5.129318094259664,True
"Korea, Rep.",2019,Size of digital economy (% of transactions),63.66,5.070887376396559,True
Germany,2019,Size of digital economy (% of transactions),61.45,4.928984204443304,True
Hungary,2019,Size of digital economy (% of transactions),59.72,4.817901630923334,True
Japan,2019,Size of digital economy (% of transactions),56.21,4.592526004879929,True
Ireland,2019,Size of digital economy (% of transactions),54.35,4.473096185950945,True
Denmark,2019,Size of digital economy (% of transactions),54.22,4.464748940541929,True
Qatar,2019,Size of digital economy (% of transactions),54.17,4.461538461538462,True
Sweden,2019,Size of digital economy (% of transactions),53.01,4.38705534865802,True
Czech Republic,2019,Size of digital economy (% of transactions),52.4,4.347887504815718,True
Slovakia,2019,Size of digital economy (% of transactions),51.38,4.2823937331449855,True
France,2019,Size of digital economy (% of transactions),50.08,4.198921279054835,True
Belgium,2019,Size of digital economy (% of transactions),49.51,4.1623218184153075,True
Netherlands,2019,Size of digital economy (% of transactions),48.86,4.120585591370233,True
United States,2019,Size of digital economy (% of transactions),47.77,4.050597149094646,True
Austria,2019,Size of digital economy (% of transactions),45.65,3.914472839347631,True
United Kingdom,2019,Size of digital economy (% of transactions),45.43,3.900346731732375,True
"Iran, Islamic Rep.",2019,Size of digital economy (% of transactions),45.17,3.883652240914345,True
Philippines,2019,Size of digital economy (% of transactions),44.68,3.8521895466803655,True
Malaysia,2019,Size of digital economy (% of transactions),44.12,3.8162321818415315,True
Italy,2019,Size of digital economy (% of transactions),42.93,3.7398227815590093,True
Romania,2019,Size of digital economy (% of transactions),42.53,3.7141389495312707,True
Israel,2019,Size of digital economy (% of transactions),42.4,3.7057917041222552,True
Mexico,2019,Size of digital economy (% of transactions),41.61,3.6550661358674716,True
China,2019,Size of digital economy (% of transactions),41.45,3.6447926030563766,True
Finland,2019,Size of digital economy (% of transactions),41.39,3.6409400282522157,True
Thailand,2019,Size of digital economy (% of transactions),40.71,3.59727751380506,True
Belarus,2019,Size of digital economy (% of transactions),40.56,3.5876460767946585,True
Spain,2019,Size of digital economy (% of transactions),39.85,3.542057274945422,True
Norway,2019,Size of digital economy (% of transactions),39.82,3.5401309875433418,True
Trinidad and Tobago,2019,Size of digital economy (% of transactions),39.6,3.526004879928086,True
India,2019,Size of digital economy (% of transactions),38.76,3.4720688326698346,True
Saudi Arabia,2019,Size of digital economy (% of transactions),37.89,3.4162064980095033,True
Viet Nam,2019,Size of digital economy (% of transactions),37.77,3.408501348401182,True
Slovenia,2019,Size of digital economy (% of transactions),37.47,3.389238474380378,True
Hong Kong (China),2019,Size of digital economy (% of transactions),37.38,3.383459612174137,True
Poland,2019,Size of digital economy (% of transactions),35.43,3.2582509310389116,True
Brazil,2019,Size of digital economy (% of transactions),35.39,3.2556825478361375,True
Indonesia,2019,Size of digital economy (% of transactions),35.08,3.23577757801464,True
Venezuela,2019,Size of digital economy (% of transactions),34.28,3.184409913959163,True
Tunisia,2019,Size of digital economy (% of transactions),33.65,3.1439578785154745,True
Nigeria,2019,Size of digital economy (% of transactions),33.44,3.130473866700912,True
Malta,2019,Size of digital economy (% of transactions),32.53,3.0720431488378073,True
Turkey,2019,Size of digital economy (% of transactions),31.45,3.002696802362913,True
Croatia,2019,Size of digital economy (% of transactions),30.77,2.959034287915757,True
Canada,2019,Size of digital economy (% of transactions),30.57,2.946192371901888,True
Ukraine,2019,Size of digital economy (% of transactions),30.36,2.932708360087325,True
Russian Federation,2019,Size of digital economy (% of transactions),30.27,2.926929497881084,True
Bulgaria,2019,Size of digital economy (% of transactions),29.73,2.892256324643637,True
Kuwait,2019,Size of digital economy (% of transactions),29.27,2.8627199178117375,True
Lithuania,2019,Size of digital economy (% of transactions),27.9,2.774752793116733,True
Estonia,2019,Size of digital economy (% of transactions),27.81,2.768973930910492,True
Morocco,2019,Size of digital economy (% of transactions),27.75,2.765121356106331,True
Cabo Verde,2019,Size of digital economy (% of transactions),27.1,2.7233851290612563,True
Australia,2019,Size of digital economy (% of transactions),27.03,2.7188904584564018,True
Serbia,2019,Size of digital economy (% of transactions),26.35,2.6752279440092464,True
Jordan,2019,Size of digital economy (% of transactions),26.3,2.672017465005779,True
Argentina,2019,Size of digital economy (% of transactions),26.0,2.652754590984975,True
Portugal,2019,Size of digital economy (% of transactions),25.61,2.62771285475793,True
United Arab Emirates,2019,Size of digital economy (% of transactions),25.46,2.6180814177475282,True
Cyprus,2019,Size of digital economy (% of transactions),25.39,2.6135867471426737,True
Pakistan,2019,Size of digital economy (% of transactions),24.62,2.5641453704892774,True
South Africa,2019,Size of digital economy (% of transactions),24.43,2.551945550276101,True
North Macedonia,2019,Size of digital economy (% of transactions),23.03,2.4620521381790166,True
