Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better
United States,2019,Size of gig economy (% of GDP),5.4,6.0,True
Netherlands,2019,Size of gig economy (% of GDP),5.22,5.72560975609756,True
United Kingdom,2019,Size of gig economy (% of GDP),5.19,5.679878048780488,True
Saudi Arabia,2019,Size of gig economy (% of GDP),5.08,5.512195121951219,True
Malaysia,2019,Size of gig economy (% of GDP),5.07,5.496951219512194,True
Egypt,2019,Size of gig economy (% of GDP),5.05,5.466463414634146,True
Israel,2019,Size of gig economy (% of GDP),5.02,5.4207317073170715,True
Canada,2019,Size of gig economy (% of GDP),4.94,5.298780487804878,True
Singapore,2019,Size of gig economy (% of GDP),4.92,5.268292682926829,True
United Arab Emirates,2019,Size of gig economy (% of GDP),4.87,5.192073170731707,True
Australia,2019,Size of gig economy (% of GDP),4.81,5.10060975609756,True
Germany,2019,Size of gig economy (% of GDP),4.81,5.10060975609756,True
Qatar,2019,Size of gig economy (% of GDP),4.57,4.734756097560975,True
New Zealand,2019,Size of gig economy (% of GDP),4.54,4.689024390243902,True
Azerbaijan,2019,Size of gig economy (% of GDP),4.53,4.673780487804878,True
Indonesia,2019,Size of gig economy (% of GDP),4.52,4.6585365853658525,True
Hong Kong (China),2019,Size of gig economy (% of GDP),4.49,4.612804878048781,True
Sweden,2019,Size of gig economy (% of GDP),4.49,4.612804878048781,True
"Korea, Rep.",2019,Size of gig economy (% of GDP),4.47,4.5823170731707314,True
France,2019,Size of gig economy (% of GDP),4.42,4.5060975609756095,True
Viet Nam,2019,Size of gig economy (% of GDP),4.39,4.460365853658535,True
Finland,2019,Size of gig economy (% of GDP),4.35,4.399390243902438,True
Bulgaria,2019,Size of gig economy (% of GDP),4.32,4.353658536585366,True
Bahrain,2019,Size of gig economy (% of GDP),4.31,4.338414634146341,True
Russian Federation,2019,Size of gig economy (% of GDP),4.31,4.338414634146341,True
Estonia,2019,Size of gig economy (% of GDP),4.3,4.323170731707316,True
Switzerland,2019,Size of gig economy (% of GDP),4.28,4.2926829268292686,True
Iceland,2019,Size of gig economy (% of GDP),4.26,4.262195121951219,True
Oman,2019,Size of gig economy (% of GDP),4.25,4.246951219512194,True
Ireland,2019,Size of gig economy (% of GDP),4.24,4.231707317073171,True
Italy,2019,Size of gig economy (% of GDP),4.23,4.216463414634147,True
Algeria,2019,Size of gig economy (% of GDP),4.17,4.125,True
Malta,2019,Size of gig economy (% of GDP),4.17,4.125,True
Guinea,2019,Size of gig economy (% of GDP),4.13,4.064024390243902,True
Philippines,2019,Size of gig economy (% of GDP),4.11,4.033536585365853,True
Portugal,2019,Size of gig economy (% of GDP),4.11,4.033536585365853,True
Ukraine,2019,Size of gig economy (% of GDP),4.11,4.033536585365853,True
Jordan,2019,Size of gig economy (% of GDP),4.09,4.003048780487804,True
Latvia,2019,Size of gig economy (% of GDP),4.06,3.9573170731707306,True
Kenya,2019,Size of gig economy (% of GDP),4.05,3.9420731707317067,True
Cameroon,2019,Size of gig economy (% of GDP),4.05,3.9420731707317067,True
Lao PDR,2019,Size of gig economy (% of GDP),3.99,3.8506097560975614,True
Lithuania,2019,Size of gig economy (% of GDP),3.97,3.820121951219512,True
Sri Lanka,2019,Size of gig economy (% of GDP),3.96,3.804878048780487,True
Kuwait,2019,Size of gig economy (% of GDP),3.95,3.7896341463414633,True
Poland,2019,Size of gig economy (% of GDP),3.93,3.7591463414634148,True
Spain,2019,Size of gig economy (% of GDP),3.88,3.682926829268292,True
Thailand,2019,Size of gig economy (% of GDP),3.87,3.667682926829268,True
Japan,2019,Size of gig economy (% of GDP),3.85,3.6371951219512195,True
Luxembourg,2019,Size of gig economy (% of GDP),3.85,3.6371951219512195,True
Costa Rica,2019,Size of gig economy (% of GDP),3.69,3.393292682926829,True
Pakistan,2019,Size of gig economy (% of GDP),3.68,3.3780487804878048,True
Czech Republic,2019,Size of gig economy (% of GDP),3.68,3.3780487804878048,True
Senegal,2019,Size of gig economy (% of GDP),3.67,3.36280487804878,True
Rwanda,2019,Size of gig economy (% of GDP),3.66,3.347560975609756,True
Jamaica,2019,Size of gig economy (% of GDP),3.66,3.347560975609756,True
Armenia,2019,Size of gig economy (% of GDP),3.65,3.332317073170731,True
Madagascar,2019,Size of gig economy (% of GDP),3.64,3.317073170731707,True
Benin,2019,Size of gig economy (% of GDP),3.62,3.2865853658536586,True
Mexico,2019,Size of gig economy (% of GDP),3.59,3.240853658536585,True
Moldova,2019,Size of gig economy (% of GDP),3.57,3.2103658536585358,True
Montenegro,2019,Size of gig economy (% of GDP),3.55,3.179878048780487,True
Côte d'Ivoire,2019,Size of gig economy (% of GDP),3.53,3.1493902439024386,True
Chile,2019,Size of gig economy (% of GDP),3.51,3.1189024390243896,True
Turkey,2019,Size of gig economy (% of GDP),3.49,3.0884146341463414,True
Morocco,2019,Size of gig economy (% of GDP),3.49,3.0884146341463414,True
North Macedonia,2019,Size of gig economy (% of GDP),3.44,3.012195121951219,True
Lebanon,2019,Size of gig economy (% of GDP),3.44,3.012195121951219,True
Tanzania,2019,Size of gig economy (% of GDP),3.43,2.9969512195121952,True
India,2019,Size of gig economy (% of GDP),3.41,2.966463414634146,True
Namibia,2019,Size of gig economy (% of GDP),3.41,2.966463414634146,True
Slovenia,2019,Size of gig economy (% of GDP),3.41,2.966463414634146,True
Gambia,2019,Size of gig economy (% of GDP),3.41,2.966463414634146,True
Ghana,2019,Size of gig economy (% of GDP),3.38,2.9207317073170724,True
Romania,2019,Size of gig economy (% of GDP),3.37,2.9054878048780486,True
Slovakia,2019,Size of gig economy (% of GDP),3.36,2.890243902439024,True
Kazakhstan,2019,Size of gig economy (% of GDP),3.35,2.875,True
Dominican Republic,2019,Size of gig economy (% of GDP),3.34,2.8597560975609753,True
Austria,2019,Size of gig economy (% of GDP),3.34,2.8597560975609753,True
Colombia,2019,Size of gig economy (% of GDP),3.33,2.844512195121951,True
Argentina,2019,Size of gig economy (% of GDP),3.33,2.844512195121951,True
Serbia,2019,Size of gig economy (% of GDP),3.33,2.844512195121951,True
Cabo Verde,2019,Size of gig economy (% of GDP),3.29,2.7835365853658534,True
Mauritius,2019,Size of gig economy (% of GDP),3.29,2.7835365853658534,True
South Africa,2019,Size of gig economy (% of GDP),3.28,2.7682926829268286,True
Cyprus,2019,Size of gig economy (% of GDP),3.28,2.7682926829268286,True
Lesotho,2019,Size of gig economy (% of GDP),3.27,2.7530487804878048,True
Panama,2019,Size of gig economy (% of GDP),3.22,2.676829268292683,True
Mali,2019,Size of gig economy (% of GDP),3.19,2.6310975609756095,True
Burundi,2019,Size of gig economy (% of GDP),3.18,2.6158536585365857,True
Mongolia,2019,Size of gig economy (% of GDP),3.14,2.5548780487804876,True
Nigeria,2019,Size of gig economy (% of GDP),3.14,2.5548780487804876,True
Brazil,2019,Size of gig economy (% of GDP),3.13,2.539634146341463,True
Kyrgyzstan,2019,Size of gig economy (% of GDP),3.1,2.4939024390243905,True
Ethiopia,2019,Size of gig economy (% of GDP),3.08,2.463414634146341,True
Cambodia,2019,Size of gig economy (% of GDP),3.07,2.4481707317073162,True
Uruguay,2019,Size of gig economy (% of GDP),3.07,2.4481707317073162,True
Hungary,2019,Size of gig economy (% of GDP),3.06,2.4329268292682924,True
Albania,2019,Size of gig economy (% of GDP),3.04,2.402439024390244,True
"Iran, Islamic Rep.",2019,Size of gig economy (% of GDP),3.02,2.3719512195121952,True
Uganda,2019,Size of gig economy (% of GDP),2.99,2.326219512195122,True
Bangladesh,2019,Size of gig economy (% of GDP),2.96,2.2804878048780486,True
Croatia,2019,Size of gig economy (% of GDP),2.93,2.2347560975609757,True
Greece,2019,Size of gig economy (% of GDP),2.92,2.2195121951219505,True
Tajikistan,2019,Size of gig economy (% of GDP),2.92,2.2195121951219505,True
Nepal,2019,Size of gig economy (% of GDP),2.88,2.1585365853658534,True
Tunisia,2019,Size of gig economy (% of GDP),2.88,2.1585365853658534,True
Bosnia and Herzegovina,2019,Size of gig economy (% of GDP),2.87,2.1432926829268295,True
Guatemala,2019,Size of gig economy (% of GDP),2.8,2.036585365853658,True
El Salvador,2019,Size of gig economy (% of GDP),2.78,2.0060975609756095,True
Trinidad and Tobago,2019,Size of gig economy (% of GDP),2.78,2.0060975609756095,True
Zambia,2019,Size of gig economy (% of GDP),2.77,1.9908536585365852,True
Peru,2019,Size of gig economy (% of GDP),2.74,1.9451219512195124,True
Yemen,2019,Size of gig economy (% of GDP),2.69,1.86890243902439,True
Burkina Faso,2019,Size of gig economy (% of GDP),2.67,1.838414634146341,True
Ecuador,2019,Size of gig economy (% of GDP),2.62,1.7621951219512195,True
Venezuela,2019,Size of gig economy (% of GDP),2.59,1.7164634146341458,True
"Congo, Dem. Rep.",2019,Size of gig economy (% of GDP),2.58,1.701219512195122,True
Botswana,2019,Size of gig economy (% of GDP),2.53,1.6249999999999996,True
Chad,2019,Size of gig economy (% of GDP),2.49,1.5640243902439026,True
Eswatini,2019,Size of gig economy (% of GDP),2.47,1.5335365853658538,True
Mozambique,2019,Size of gig economy (% of GDP),2.31,1.2896341463414633,True
Angola,2019,Size of gig economy (% of GDP),2.3,1.2743902439024386,True
Bolivia,2019,Size of gig economy (% of GDP),2.29,1.2591463414634145,True
Paraguay,2019,Size of gig economy (% of GDP),2.29,1.2591463414634145,True
Malawi,2019,Size of gig economy (% of GDP),2.24,1.1829268292682928,True
Zimbabwe,2019,Size of gig economy (% of GDP),2.12,1.0,True
Belarus,2019,Size of gig economy (% of GDP),,,True
Belgium,2019,Size of gig economy (% of GDP),,,True
China,2019,Size of gig economy (% of GDP),,,True
Denmark,2019,Size of gig economy (% of GDP),,,True
Georgia,2019,Size of gig economy (% of GDP),,,True
Honduras,2019,Size of gig economy (% of GDP),,,True
Norway,2019,Size of gig economy (% of GDP),,,True
