Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Afghanistan,2019,Time required to start a business (days),8.5,5,True,Startup Environment
Albania,2019,Time required to start a business (days),4.5,6,True,Startup Environment
Algeria,2019,Time required to start a business (days),18.0,3,True,Startup Environment
Angola,2019,Time required to start a business (days),36.0,1,True,Startup Environment
Antigua and Barbuda,2019,Time required to start a business (days),19.0,3,True,Startup Environment
Argentina,2019,Time required to start a business (days),11.5,4,True,Startup Environment
Armenia,2019,Time required to start a business (days),4.0,6,True,Startup Environment
Australia,2019,Time required to start a business (days),2.0,6,True,Startup Environment
Austria,2019,Time required to start a business (days),21.0,2,True,Startup Environment
Azerbaijan,2019,Time required to start a business (days),3.5,6,True,Startup Environment
"Bahamas, The",2019,Time required to start a business (days),11.5,4,True,Startup Environment
Bahrain,2019,Time required to start a business (days),8.3,5,True,Startup Environment
Bangladesh,2019,Time required to start a business (days),19.5,3,True,Startup Environment
Barbados,2019,Time required to start a business (days),16.0,3,True,Startup Environment
Belarus,2019,Time required to start a business (days),8.5,5,True,Startup Environment
Belgium,2019,Time required to start a business (days),5.0,6,True,Startup Environment
Belize,2019,Time required to start a business (days),48.0,1,True,Startup Environment
Benin,2019,Time required to start a business (days),8.5,5,True,Startup Environment
Bhutan,2019,Time required to start a business (days),12.0,4,True,Startup Environment
Bolivia,2019,Time required to start a business (days),39.5,1,True,Startup Environment
Bosnia and Herzegovina,2019,Time required to start a business (days),80.0,1,True,Startup Environment
Botswana,2019,Time required to start a business (days),48.0,1,True,Startup Environment
Brazil,2019,Time required to start a business (days),16.6,3,True,Startup Environment
Brunei Darussalam,2019,Time required to start a business (days),5.5,6,True,Startup Environment
Bulgaria,2019,Time required to start a business (days),23.0,2,True,Startup Environment
Burkina Faso,2019,Time required to start a business (days),13.0,4,True,Startup Environment
Burundi,2019,Time required to start a business (days),5.0,6,True,Startup Environment
Cabo Verde,2019,Time required to start a business (days),9.0,5,True,Startup Environment
Cambodia,2019,Time required to start a business (days),99.0,1,True,Startup Environment
Cameroon,2019,Time required to start a business (days),13.5,4,True,Startup Environment
Canada,2019,Time required to start a business (days),1.5,6,True,Startup Environment
Central African Republic,2019,Time required to start a business (days),22.0,2,True,Startup Environment
Chad,2019,Time required to start a business (days),58.0,1,True,Startup Environment
Chile,2019,Time required to start a business (days),4.0,6,True,Startup Environment
China,2019,Time required to start a business (days),8.5,5,True,Startup Environment
Colombia,2019,Time required to start a business (days),10.0,5,True,Startup Environment
Comoros,2019,Time required to start a business (days),16.0,3,True,Startup Environment
"Congo, Dem. Rep.",2019,Time required to start a business (days),7.0,5,True,Startup Environment
"Congo, Rep.",2019,Time required to start a business (days),49.5,1,True,Startup Environment
Costa Rica,2019,Time required to start a business (days),23.0,2,True,Startup Environment
Cote d'Ivoire,2019,Time required to start a business (days),6.0,6,True,Startup Environment
Croatia,2019,Time required to start a business (days),19.5,3,True,Startup Environment
Cyprus,2019,Time required to start a business (days),6.0,6,True,Startup Environment
Czech Republic,2019,Time required to start a business (days),24.5,2,True,Startup Environment
Denmark,2019,Time required to start a business (days),3.5,6,True,Startup Environment
Djibouti,2019,Time required to start a business (days),14.0,4,True,Startup Environment
Dominica,2019,Time required to start a business (days),12.0,4,True,Startup Environment
Dominican Republic,2019,Time required to start a business (days),16.5,3,True,Startup Environment
Ecuador,2019,Time required to start a business (days),48.5,1,True,Startup Environment
"Egypt, Arab Rep.",2019,Time required to start a business (days),12.5,4,True,Startup Environment
El Salvador,2019,Time required to start a business (days),16.5,3,True,Startup Environment
Equatorial Guinea,2019,Time required to start a business (days),33.0,1,True,Startup Environment
Eritrea,2019,Time required to start a business (days),84.0,1,True,Startup Environment
Estonia,2019,Time required to start a business (days),3.5,6,True,Startup Environment
Eswatini,2019,Time required to start a business (days),21.5,2,True,Startup Environment
Ethiopia,2019,Time required to start a business (days),32.0,1,True,Startup Environment
Fiji,2019,Time required to start a business (days),40.0,1,True,Startup Environment
Finland,2019,Time required to start a business (days),13.0,4,True,Startup Environment
France,2019,Time required to start a business (days),4.0,6,True,Startup Environment
Gabon,2019,Time required to start a business (days),10.0,5,True,Startup Environment
"Gambia, The",2019,Time required to start a business (days),8.0,5,True,Startup Environment
Georgia,2019,Time required to start a business (days),1.0,6,True,Startup Environment
Germany,2019,Time required to start a business (days),8.0,5,True,Startup Environment
Ghana,2019,Time required to start a business (days),13.0,4,True,Startup Environment
Greece,2019,Time required to start a business (days),4.0,6,True,Startup Environment
Grenada,2019,Time required to start a business (days),12.0,4,True,Startup Environment
Guatemala,2019,Time required to start a business (days),15.0,3,True,Startup Environment
Guinea,2019,Time required to start a business (days),15.0,3,True,Startup Environment
Guinea-Bissau,2019,Time required to start a business (days),8.5,5,True,Startup Environment
Guyana,2019,Time required to start a business (days),18.0,3,True,Startup Environment
Haiti,2019,Time required to start a business (days),97.0,1,True,Startup Environment
Honduras,2019,Time required to start a business (days),42.0,1,True,Startup Environment
"Hong Kong SAR, China",2019,Time required to start a business (days),1.5,6,True,Startup Environment
Hungary,2019,Time required to start a business (days),7.0,5,True,Startup Environment
Iceland,2019,Time required to start a business (days),11.5,4,True,Startup Environment
India,2019,Time required to start a business (days),17.5,3,True,Startup Environment
Indonesia,2019,Time required to start a business (days),12.6,4,True,Startup Environment
