Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Switzerland,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,95.9,5.785410000000001,True,Technology Adoption
Netherlands,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,95.8,5.78042,True,Technology Adoption
Denmark,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,94.5,5.71555,True,Technology Adoption
Singapore,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,94.4,5.71056,True,Technology Adoption
United Kingdom,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,93.6,5.67064,True,Technology Adoption
Germany,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,93.4,5.66066,True,Technology Adoption
Finland,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,93.4,5.66066,True,Technology Adoption
Ireland,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,93.4,5.66066,True,Technology Adoption
Norway,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,92.6,5.6207400000000005,True,Technology Adoption
"China, Hong Kong SAR",2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,91.8,5.58082,True,Technology Adoption
New Zealand,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,91.8,5.58082,True,Technology Adoption
United States of America,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,91.0,5.540900000000001,True,Technology Adoption
Canada,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,90.8,5.53092,True,Technology Adoption
Estonia,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,90.8,5.53092,True,Technology Adoption
Sweden,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,90.8,5.53092,True,Technology Adoption
Australia,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,90.6,5.5209399999999995,True,Technology Adoption
France,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,90.0,5.4910000000000005,True,Technology Adoption
"Korea, Republic of",2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,89.8,5.48102,True,Technology Adoption
Austria,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,88.8,5.43112,True,Technology Adoption
Japan,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,88.7,5.426130000000001,True,Technology Adoption
Belgium,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,86.8,5.33132,True,Technology Adoption
Czechia,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,85.8,5.28142,True,Technology Adoption
Slovakia,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,85.7,5.27643,True,Technology Adoption
Spain,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,84.9,5.236510000000001,True,Technology Adoption
Croatia,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,84.0,5.1916,True,Technology Adoption
Israel,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,83.9,5.186610000000001,True,Technology Adoption
Lithuania,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,82.6,5.12174,True,Technology Adoption
Poland,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,82.2,5.101780000000001,True,Technology Adoption
Italy,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,81.8,5.0818200000000004,True,Technology Adoption
Malaysia,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,81.3,5.05687,True,Technology Adoption
Hungary,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,80.5,5.01695,True,Technology Adoption
Iceland,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,80.3,5.00697,True,Technology Adoption
Greece,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,79.2,4.9520800000000005,True,Technology Adoption
Slovenia,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,78.8,4.932119999999999,True,Technology Adoption
Belarus,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,78.8,4.932119999999999,True,Technology Adoption
Luxembourg,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,78.4,4.91216,True,Technology Adoption
United Arab Emirates,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,78.2,4.9021799999999995,True,Technology Adoption
Cyprus,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,78.1,4.89719,True,Technology Adoption
Latvia,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,77.8,4.88222,True,Technology Adoption
Portugal,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,77.5,4.86725,True,Technology Adoption
Russian Federation,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,76.6,4.82234,True,Technology Adoption
Thailand,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,76.0,4.792400000000001,True,Technology Adoption
Serbia,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,75.3,4.75747,True,Technology Adoption
Iran (Islamic Republic of),2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,75.0,4.7425,True,Technology Adoption
Romania,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,75.0,4.7425,True,Technology Adoption
Bulgaria,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,73.9,4.68761,True,Technology Adoption
Georgia,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,73.6,4.6726399999999995,True,Technology Adoption
Malta,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,72.9,4.63771,True,Technology Adoption
Saudi Arabia,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,72.3,4.60777,True,Technology Adoption
Qatar,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,72.1,4.59779,True,Technology Adoption
Ukraine,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,71.2,4.55288,True,Technology Adoption
North Macedonia,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,71.1,4.54789,True,Technology Adoption
Republic of Moldova,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,70.8,4.53292,True,Technology Adoption
Oman,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,70.6,4.52294,True,Technology Adoption
China,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,70.1,4.49799,True,Technology Adoption
Costa Rica,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,68.8,4.433120000000001,True,Technology Adoption
Turkey,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,68.8,4.433120000000001,True,Technology Adoption
Kuwait,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,68.7,4.42813,True,Technology Adoption
Chile,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,68.4,4.41316,True,Technology Adoption
Kazakhstan,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,68.2,4.403180000000001,True,Technology Adoption
Mongolia,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,65.0,4.2435,True,Technology Adoption
Brazil,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,63.5,4.1686499999999995,True,Technology Adoption
Viet Nam,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,61.6,4.073840000000001,True,Technology Adoption
Lebanon,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,60.4,4.01396,True,Technology Adoption
Azerbaijan,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,60.0,3.994,True,Technology Adoption
Bahrain,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,59.7,3.9790300000000003,True,Technology Adoption
Dominican Republic,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,59.3,3.9590699999999996,True,Technology Adoption
Colombia,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,59.1,3.94909,True,Technology Adoption
Mauritius,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,58.4,3.91416,True,Technology Adoption
Bosnia and Herzegovina,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,58.1,3.8991900000000004,True,Technology Adoption
India,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,57.1,3.8492900000000003,True,Technology Adoption
Uruguay,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,56.6,3.8243400000000003,True,Technology Adoption
South Africa,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,56.5,3.81935,True,Technology Adoption
Jamaica,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,55.0,3.7445,True,Technology Adoption
Trinidad and Tobago,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,54.9,3.73951,True,Technology Adoption
Jordan,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,54.7,3.7295300000000005,True,Technology Adoption
Tunisia,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,54.6,3.72454,True,Technology Adoption
Montenegro,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,54.0,3.6946000000000003,True,Technology Adoption
Peru,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,52.5,3.6197500000000002,True,Technology Adoption
Algeria,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,52.2,3.60478,True,Technology Adoption
Ghana,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,51.9,3.58981,True,Technology Adoption
Argentina,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,50.9,3.5399100000000003,True,Technology Adoption
Indonesia,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,50.1,3.4999900000000004,True,Technology Adoption
Armenia,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,49.9,3.49001,True,Technology Adoption
Libya,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,49.7,3.48003,True,Technology Adoption
Albania,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,49.5,3.47005,True,Technology Adoption
Panama,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,49.5,3.47005,True,Technology Adoption
Kenya,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,49.0,3.4451,True,Technology Adoption
Belize,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,48.6,3.4251400000000003,True,Technology Adoption
Venezuela (Bolivarian Rep. of),2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,48.0,3.3952,True,Technology Adoption
Sri Lanka,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,47.8,3.38522,True,Technology Adoption
Paraguay,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,47.1,3.35029,True,Technology Adoption
Mexico,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,46.8,3.33532,True,Technology Adoption
Nigeria,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,46.2,3.30538,True,Technology Adoption
Morocco,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,44.8,3.2355199999999997,True,Technology Adoption
Philippines,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,44.7,3.2305300000000003,True,Technology Adoption
Kyrgyzstan,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,44.3,3.2105699999999997,True,Technology Adoption
Honduras,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,44.2,3.2055800000000003,True,Technology Adoption
Senegal,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,44.1,3.20059,True,Technology Adoption
Namibia,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,43.9,3.19061,True,Technology Adoption
Lao People's Dem. Rep.,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,40.6,3.0259400000000003,True,Technology Adoption
Ecuador,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,39.5,2.97105,True,Technology Adoption
Bolivia (Plurinational State of),2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,39.2,2.95608,True,Technology Adoption
Botswana,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,38.7,2.9311300000000005,True,Technology Adoption
Gabon,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,38.0,2.8962000000000003,True,Technology Adoption
El Salvador,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,37.0,2.8463000000000003,True,Technology Adoption
Uzbekistan,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,37.0,2.8463000000000003,True,Technology Adoption
Guatemala,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,36.8,2.8363199999999997,True,Technology Adoption
Egypt,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,36.6,2.82634,True,Technology Adoption
United Republic of Tanzania,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,36.6,2.82634,True,Technology Adoption
Cameroon,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,35.5,2.77145,True,Technology Adoption
Uganda,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,34.9,2.74151,True,Technology Adoption
Nepal,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,34.3,2.71157,True,Technology Adoption
Bhutan,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,33.6,2.67664,True,Technology Adoption
Bangladesh,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,33.3,2.66167,True,Technology Adoption
Pakistan,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,32.5,2.62175,True,Technology Adoption
Cambodia,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,31.1,2.55189,True,Technology Adoption
Zimbabwe,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,30.5,2.52195,True,Technology Adoption
Cōte d'Ivoire,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,30.4,2.51696,True,Technology Adoption
Zambia,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,30.0,2.497,True,Technology Adoption
Tajikistan,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,30.0,2.497,True,Technology Adoption
Nicaragua,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,29.0,2.4471,True,Technology Adoption
Eswatini,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,28.4,2.41716,True,Technology Adoption
Rwanda,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,28.3,2.41217,True,Technology Adoption
Djibouti,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,27.7,2.38223,True,Technology Adoption
Ethiopia,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,27.5,2.37225,True,Technology Adoption
Lesotho,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,27.4,2.36726,True,Technology Adoption
Angola,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,26.0,2.2974,True,Technology Adoption
Iraq,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,25.4,2.26746,True,Technology Adoption
Myanmar,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,24.0,2.1976,True,Technology Adoption
Togo,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,23.2,2.15768,True,Technology Adoption
Sudan,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,21.7,2.08283,True,Technology Adoption
Syrian Arab Republic,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,21.1,2.05289,True,Technology Adoption
Benin,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,20.7,2.0329300000000003,True,Technology Adoption
Haiti,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,20.2,2.00798,True,Technology Adoption
Mozambique,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,20.1,2.00299,True,Technology Adoption
Madagascar,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,19.2,1.95808,True,Technology Adoption
"Yemen, Arab Republic",2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,18.5,1.9231500000000001,True,Technology Adoption
Burkina Faso,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,18.4,1.9181599999999999,True,Technology Adoption
Guinea,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,18.1,1.9031900000000002,True,Technology Adoption
Malawi,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,18.0,1.8982,True,Technology Adoption
Mali,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,17.5,1.87325,True,Technology Adoption
Afghanistan,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,17.1,1.85329,True,Technology Adoption
Liberia,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,16.9,1.84331,True,Technology Adoption
Mauritania,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,15.0,1.7485,True,Technology Adoption
Sierra Leone,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,14.4,1.71856,True,Technology Adoption
Congo,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,12.9,1.64371,True,Technology Adoption
Dem. Rep. of the Congo,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,12.8,1.6387200000000002,True,Technology Adoption
Comoros,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,12.0,1.5988,True,Technology Adoption
Burundi,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,8.3,1.4141700000000001,True,Technology Adoption
Chad,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,7.1,1.35429,True,Technology Adoption
Niger,2020,UNCTAD Business-to-Consumer (B2C) E-commerce Index,5.6,1.27944,True,Technology Adoption
