Country Name,Indicator,data_col,new_rank_score,higher_is_better
Afghanistan,E-Participation index,0.4643,6.013065853658537,True
Albania,E-Participation index,0.8452,6.003775609756097,True
Algeria,% of digital skills certifications / training courses completed,95.0,3.707317073170732,True
Algeria,E-Participation index,0.1548,6.020614634146342,True
Andorra,E-Participation index,0.5119,6.011904878048781,True
Angola,E-Participation index,0.4524,6.013356097560976,True
Antigua and Barbuda,E-Participation index,0.4881,6.012485365853658,True
Argentina,% of digital skills certifications / training courses completed,82.0,4.024390243902439,True
Argentina,"Use of public services online (% of services online, penetration, frequency of use)",15.0,5.658536585365853,True
Argentina,E-Participation index,0.8571,6.003485365853659,True
Armenia,% of digital skills certifications / training courses completed,57.0,4.634146341463414,True
Armenia,E-Participation index,0.75,6.0060975609756095,True
Australia,Security incidents (# of relevant issues),15.0,5.658536585365853,True
Australia,% of digital skills certifications / training courses completed,44.0,4.951219512195122,True
Australia,"Use of public services online (% of services online, penetration, frequency of use)",40.0,5.048780487804878,True
Australia,E-Participation index,0.9643,6.000870731707317,True
Austria,% of digital skills certifications / training courses completed,3.0,5.951219512195122,True
Austria,"Use of public services online (% of services online, penetration, frequency of use)",33.0,5.219512195121951,True
Austria,E-Participation index,0.9762,6.0005804878048785,True
Azerbaijan,% of digital skills certifications / training courses completed,72.0,4.2682926829268295,True
Azerbaijan,E-Participation index,0.6905,6.007548780487805,True
Bahamas,E-Participation index,0.619,6.009292682926829,True
Bahrain,E-Participation index,0.7738,6.005517073170732,True
Bangladesh,% of digital skills certifications / training courses completed,64.0,4.463414634146341,True
Bangladesh,E-Participation index,0.5714,6.010453658536585,True
Barbados,% of digital skills certifications / training courses completed,26.0,5.390243902439025,True
Barbados,E-Participation index,0.5952,6.009873170731708,True
Belarus,% of digital skills certifications / training courses completed,12.0,5.7317073170731705,True
Belarus,E-Participation index,0.75,6.0060975609756095,True
Belgium,% of digital skills certifications / training courses completed,6.0,5.878048780487805,True
Belgium,E-Participation index,0.6548,6.008419512195122,True
Belize,E-Participation index,0.2976,6.017131707317073,True
Benin,E-Participation index,0.5476,6.011034146341464,True
Bhutan,% of digital skills certifications / training courses completed,100.0,3.5853658536585367,True
Bhutan,E-Participation index,0.631,6.009,True
Bolivia,% of digital skills certifications / training courses completed,97.0,3.658536585365854,True
Bolivia,E-Participation index,0.5952,6.009873170731708,True
Bosnia and Herzegovina,E-Participation index,0.6071,6.009582926829268,True
Botswana,% of digital skills certifications / training courses completed,90.0,3.8292682926829267,True
Botswana,E-Participation index,0.369,6.015390243902439,True
Brazil,% of digital skills certifications / training courses completed,83.0,4.0,True
Brazil,E-Participation index,0.9048,6.002321951219512,True
Brunei Darussalam,E-Participation index,0.5476,6.011034146341464,True
