Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Afghanistan,2017,% Making online transactions - Women,0.0,1.0,True,Digital Payments
Albania,2017,% Making online transactions - Women,6.0,1.3370786516853932,True,Digital Payments
Arab world,2017,% Making online transactions - Women,6.0,1.3370786516853932,True,Digital Payments
United Arab Emirates,2017,% Making online transactions - Women,54.0,4.033707865168539,True,Digital Payments
Argentina,2017,% Making online transactions - Women,16.0,1.898876404494382,True,Digital Payments
Armenia,2017,% Making online transactions - Women,12.0,1.6741573033707864,True,Digital Payments
Australia,2017,% Making online transactions - Women,74.0,5.157303370786517,True,Digital Payments
Austria,2017,% Making online transactions - Women,58.0,4.258426966292134,True,Digital Payments
Azerbaijan,2017,% Making online transactions - Women,8.0,1.449438202247191,True,Digital Payments
Belgium,2017,% Making online transactions - Women,67.0,4.764044943820225,True,Digital Payments
Benin,2017,% Making online transactions - Women,3.0,1.1685393258426966,True,Digital Payments
Burkina Faso,2017,% Making online transactions - Women,3.0,1.1685393258426966,True,Digital Payments
Bangladesh,2017,% Making online transactions - Women,3.0,1.1685393258426966,True,Digital Payments
Bulgaria,2017,% Making online transactions - Women,26.0,2.460674157303371,True,Digital Payments
Bahrain,2017,% Making online transactions - Women,43.0,3.4157303370786516,True,Digital Payments
Bosnia and Herzegovina,2017,% Making online transactions - Women,16.0,1.898876404494382,True,Digital Payments
Belarus,2017,% Making online transactions - Women,47.0,3.640449438202247,True,Digital Payments
Bolivia,2017,% Making online transactions - Women,6.0,1.3370786516853932,True,Digital Payments
Brazil,2017,% Making online transactions - Women,15.0,1.8426966292134832,True,Digital Payments
Botswana,2017,% Making online transactions - Women,7.0,1.3932584269662922,True,Digital Payments
Central African Republic,2017,% Making online transactions - Women,3.0,1.1685393258426966,True,Digital Payments
Canada,2017,% Making online transactions - Women,77.0,5.325842696629214,True,Digital Payments
Switzerland,2017,% Making online transactions - Women,69.0,4.876404494382022,True,Digital Payments
Chile,2017,% Making online transactions - Women,25.0,2.404494382022472,True,Digital Payments
China,2017,% Making online transactions - Women,48.0,3.696629213483146,True,Digital Payments
Cote d'Ivoire,2017,% Making online transactions - Women,5.0,1.2808988764044944,True,Digital Payments
Cameroon,2017,% Making online transactions - Women,5.0,1.2808988764044944,True,Digital Payments
"Congo, Dem. Rep.",2017,% Making online transactions - Women,3.0,1.1685393258426966,True,Digital Payments
"Congo, Rep.",2017,% Making online transactions - Women,4.0,1.2247191011235956,True,Digital Payments
Colombia,2017,% Making online transactions - Women,9.0,1.50561797752809,True,Digital Payments
Costa Rica,2017,% Making online transactions - Women,22.0,2.235955056179775,True,Digital Payments
Cyprus,2017,% Making online transactions - Women,39.0,3.191011235955056,True,Digital Payments
Czech Republic,2017,% Making online transactions - Women,63.0,4.539325842696629,True,Digital Payments
Germany,2017,% Making online transactions - Women,81.0,5.550561797752809,True,Digital Payments
Denmark,2017,% Making online transactions - Women,85.0,5.775280898876405,True,Digital Payments
Dominican Republic,2017,% Making online transactions - Women,11.0,1.6179775280898876,True,Digital Payments
Algeria,2017,% Making online transactions - Women,3.0,1.1685393258426966,True,Digital Payments
