Country Name,Indicator,data_col,new_rank_score,higher_is_better
Afghanistan,% of population with ID (female),45.0,3.25,True
Albania,% of population with ID (female),28.0,2.4,True
Algeria,% of population with ID (female),,,True
Andorra,% of population with ID (female),,,True
Angola,% of population with ID (female),,,True
Antigua and Barbuda,% of population with ID (female),,,True
Argentina,% of population with ID (female),,,True
Armenia,% of population with ID (female),,,True
Australia,% of population with ID (female),,,True
Austria,% of population with ID (female),,,True
Azerbaijan,% of population with ID (female),43.0,3.15,True
"Bahamas, The",% of population with ID (female),,,True
Bahrain,% of population with ID (female),,,True
Bangladesh,% of population with ID (female),,,True
Barbados,% of population with ID (female),,,True
Belarus,% of population with ID (female),,,True
Belgium,% of population with ID (female),,,True
Belize,% of population with ID (female),46.0,3.3,True
Benin,% of population with ID (female),,,True
Bhutan,% of population with ID (female),64.0,4.2,True
Bolivia,% of population with ID (female),,,True
Bosnia and Herzegovina,% of population with ID (female),,,True
Botswana,% of population with ID (female),,,True
Brazil,% of population with ID (female),,,True
Brunei Darussalam,% of population with ID (female),,,True
Bulgaria,% of population with ID (female),,,True
Burkina Faso,% of population with ID (female),,,True
Burundi,% of population with ID (female),,,True
Cabo Verde,% of population with ID (female),,,True
Cambodia,% of population with ID (female),,,True
Cameroon,% of population with ID (female),,,True
Canada,% of population with ID (female),,,True
Central African Republic,% of population with ID (female),,,True
Chad,% of population with ID (female),,,True
Chile,% of population with ID (female),,,True
China,% of population with ID (female),,,True
Colombia,% of population with ID (female),,,True
Comoros,% of population with ID (female),,,True
"Congo, Dem. Rep.",% of population with ID (female),,,True
"Congo, Rep.",% of population with ID (female),,,True
Costa Rica,% of population with ID (female),,,True
Côte d'Ivoire,% of population with ID (female),41.0,3.05,True
Croatia,% of population with ID (female),,,True
Cuba,% of population with ID (female),,,True
Cyprus,% of population with ID (female),,,True
Czech Republic,% of population with ID (female),,,True
Denmark,% of population with ID (female),,,True
Djibouti,% of population with ID (female),,,True
Dominica,% of population with ID (female),,,True
Dominican Republic,% of population with ID (female),34.0,2.7,True
Ecuador,% of population with ID (female),100.0,6.0,True
"Egypt, Arab Rep.",% of population with ID (female),,,True
El Salvador,% of population with ID (female),48.0,3.4,True
Equatorial Guinea,% of population with ID (female),,,True
Eritrea,% of population with ID (female),,,True
Estonia,% of population with ID (female),,,True
Ethiopia,% of population with ID (female),,,True
Fiji,% of population with ID (female),,,True
Finland,% of population with ID (female),,,True
France,% of population with ID (female),,,True
Gabon,% of population with ID (female),,,True
"Gambia, The",% of population with ID (female),,,True
Georgia,% of population with ID (female),,,True
Germany,% of population with ID (female),,,True
Ghana,% of population with ID (female),,,True
Greece,% of population with ID (female),,,True
Grenada,% of population with ID (female),,,True
Guatemala,% of population with ID (female),,,True
Guinea,% of population with ID (female),,,True
Guinea-Bissau,% of population with ID (female),,,True
Guyana,% of population with ID (female),,,True
Haiti,% of population with ID (female),45.0,3.25,True
Honduras,% of population with ID (female),50.0,3.5,True
"Hong Kong SAR, China",% of population with ID (female),,,True
Hungary,% of population with ID (female),,,True
Iceland,% of population with ID (female),,,True
India,% of population with ID (female),53.0,3.65,True
Indonesia,% of population with ID (female),,,True
"Iran, Islamic Rep.",% of population with ID (female),,,True
Iraq,% of population with ID (female),,,True
Ireland,% of population with ID (female),,,True
Israel,% of population with ID (female),,,True
Italy,% of population with ID (female),,,True
Jamaica,% of population with ID (female),,,True
