,Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
2,Afghanistan,2017,% of population with digital finance account - active (90 days),11.0,1.2173913043478262,True,Digital Payments
7,Albania,2017,% of population with digital finance account - active (90 days),29.0,2.1956521739130435,True,Digital Payments
10,Arab world,2017,% of population with digital finance account - active (90 days),26.0,2.032608695652174,True,Digital Payments
13,United Arab Emirates,2017,% of population with digital finance account - active (90 days),84.0,5.184782608695652,True,Digital Payments
16,Argentina,2017,% of population with digital finance account - active (90 days),40.0,2.7934782608695654,True,Digital Payments
19,Armenia,2017,% of population with digital finance account - active (90 days),42.0,2.9021739130434785,True,Digital Payments
22,Australia,2017,% of population with digital finance account - active (90 days),96.0,5.836956521739131,True,Digital Payments
25,Austria,2017,% of population with digital finance account - active (90 days),96.0,5.836956521739131,True,Digital Payments
28,Azerbaijan,2017,% of population with digital finance account - active (90 days),25.0,1.9782608695652173,True,Digital Payments
33,Belgium,2017,% of population with digital finance account - active (90 days),97.0,5.891304347826087,True,Digital Payments
36,Benin,2017,% of population with digital finance account - active (90 days),28.0,2.141304347826087,True,Digital Payments
39,Burkina Faso,2017,% of population with digital finance account - active (90 days),39.0,2.7391304347826084,True,Digital Payments
42,Bangladesh,2017,% of population with digital finance account - active (90 days),34.0,2.467391304347826,True,Digital Payments
45,Bulgaria,2017,% of population with digital finance account - active (90 days),65.0,4.1521739130434785,True,Digital Payments
48,Bahrain,2017,% of population with digital finance account - active (90 days),77.0,4.804347826086957,True,Digital Payments
51,Bosnia and Herzegovina,2017,% of population with digital finance account - active (90 days),50.0,3.3369565217391304,True,Digital Payments
54,Belarus,2017,% of population with digital finance account - active (90 days),79.0,4.913043478260869,True,Digital Payments
58,Bolivia,2017,% of population with digital finance account - active (90 days),40.0,2.7934782608695654,True,Digital Payments
61,Brazil,2017,% of population with digital finance account - active (90 days),58.0,3.7717391304347827,True,Digital Payments
65,Botswana,2017,% of population with digital finance account - active (90 days),42.0,2.9021739130434785,True,Digital Payments
67,Central African Republic,2017,% of population with digital finance account - active (90 days),9.0,1.108695652173913,True,Digital Payments
70,Canada,2017,% of population with digital finance account - active (90 days),98.0,5.945652173913044,True,Digital Payments
72,Switzerland,2017,% of population with digital finance account - active (90 days),96.0,5.836956521739131,True,Digital Payments
75,Chile,2017,% of population with digital finance account - active (90 days),65.0,4.1521739130434785,True,Digital Payments
78,China,2017,% of population with digital finance account - active (90 days),68.0,4.315217391304348,True,Digital Payments
80,Cote d'Ivoire,2017,% of population with digital finance account - active (90 days),38.0,2.6847826086956523,True,Digital Payments
83,Cameroon,2017,% of population with digital finance account - active (90 days),29.0,2.1956521739130435,True,Digital Payments
86,"Congo, Dem. Rep.",2017,% of population with digital finance account - active (90 days),22.0,1.8152173913043477,True,Digital Payments
89,"Congo, Rep.",2017,% of population with digital finance account - active (90 days),18.0,1.5978260869565217,True,Digital Payments
92,Colombia,2017,% of population with digital finance account - active (90 days),37.0,2.6304347826086953,True,Digital Payments
96,Costa Rica,2017,% of population with digital finance account - active (90 days),59.0,3.8260869565217392,True,Digital Payments
99,Cyprus,2017,% of population with digital finance account - active (90 days),80.0,4.967391304347826,True,Digital Payments
102,Czech Republic,2017,% of population with digital finance account - active (90 days),80.0,4.967391304347826,True,Digital Payments
105,Germany,2017,% of population with digital finance account - active (90 days),98.0,5.945652173913044,True,Digital Payments
109,Denmark,2017,% of population with digital finance account - active (90 days),99.0,6.0,True,Digital Payments
112,Dominican Republic,2017,% of population with digital finance account - active (90 days),44.0,3.010869565217391,True,Digital Payments
115,Algeria,2017,% of population with digital finance account - active (90 days),26.0,2.032608695652174,True,Digital Payments
118,East Asia & Pacific (excluding high income),2017,% of population with digital finance account - active (90 days),58.0,3.7717391304347827,True,Digital Payments
121,East Asia & Pacific,2017,% of population with digital finance account - active (90 days),62.0,3.989130434782609,True,Digital Payments
124,Europe & Central Asia (excluding high income),2017,% of population with digital finance account - active (90 days),60.0,3.880434782608696,True,Digital Payments
127,Europe & Central Asia,2017,% of population with digital finance account - active (90 days),78.0,4.858695652173913,True,Digital Payments
130,Ecuador,2017,% of population with digital finance account - active (90 days),32.0,2.358695652173913,True,Digital Payments
133,"Egypt, Arab Rep.",2017,% of population with digital finance account - active (90 days),23.0,1.8695652173913042,True,Digital Payments
136,Euro area,2017,% of population with digital finance account - active (90 days),92.0,5.619565217391305,True,Digital Payments
139,Spain,2017,% of population with digital finance account - active (90 days),90.0,5.510869565217392,True,Digital Payments
142,Estonia,2017,% of population with digital finance account - active (90 days),97.0,5.891304347826087,True,Digital Payments
144,Ethiopia,2017,% of population with digital finance account - active (90 days),12.0,1.2717391304347827,True,Digital Payments
147,Finland,2017,% of population with digital finance account - active (90 days),98.0,5.945652173913044,True,Digital Payments
150,France,2017,% of population with digital finance account - active (90 days),92.0,5.619565217391305,True,Digital Payments
153,Gabon,2017,% of population with digital finance account - active (90 days),54.0,3.5543478260869565,True,Digital Payments
156,United Kingdom,2017,% of population with digital finance account - active (90 days),96.0,5.836956521739131,True,Digital Payments
159,Georgia,2017,% of population with digital finance account - active (90 days),53.0,3.5,True,Digital Payments
162,Ghana,2017,% of population with digital finance account - active (90 days),49.0,3.282608695652174,True,Digital Payments
165,Guinea,2017,% of population with digital finance account - active (90 days),20.0,1.7065217391304348,True,Digital Payments
168,Greece,2017,% of population with digital finance account - active (90 days),74.0,4.641304347826087,True,Digital Payments
171,Guatemala,2017,% of population with digital finance account - active (90 days),33.0,2.4130434782608696,True,Digital Payments
174,High income,2017,% of population with digital finance account - active (90 days),91.0,5.565217391304348,True,Digital Payments
177,"Hong Kong SAR, China",2017,% of population with digital finance account - active (90 days),85.0,5.239130434782608,True,Digital Payments
180,Honduras,2017,% of population with digital finance account - active (90 days),37.0,2.6304347826086953,True,Digital Payments
183,Croatia,2017,% of population with digital finance account - active (90 days),83.0,5.130434782608695,True,Digital Payments
186,Haiti,2017,% of population with digital finance account - active (90 days),28.0,2.141304347826087,True,Digital Payments
189,Hungary,2017,% of population with digital finance account - active (90 days),71.0,4.478260869565217,True,Digital Payments
192,Indonesia,2017,% of population with digital finance account - active (90 days),35.0,2.5217391304347827,True,Digital Payments
195,India,2017,% of population with digital finance account - active (90 days),29.0,2.1956521739130435,True,Digital Payments
198,Ireland,2017,% of population with digital finance account - active (90 days),94.0,5.728260869565218,True,Digital Payments
201,"Iran, Islamic Rep.",2017,% of population with digital finance account - active (90 days),90.0,5.510869565217392,True,Digital Payments
204,Iraq,2017,% of population with digital finance account - active (90 days),19.0,1.6521739130434783,True,Digital Payments
207,Israel,2017,% of population with digital finance account - active (90 days),91.0,5.565217391304348,True,Digital Payments
210,Italy,2017,% of population with digital finance account - active (90 days),90.0,5.510869565217392,True,Digital Payments
215,Jordan,2017,% of population with digital finance account - active (90 days),33.0,2.4130434782608696,True,Digital Payments
218,Japan,2017,% of population with digital finance account - active (90 days),95.0,5.782608695652174,True,Digital Payments
221,Kazakhstan,2017,% of population with digital finance account - active (90 days),54.0,3.5543478260869565,True,Digital Payments
224,Kenya,2017,% of population with digital finance account - active (90 days),79.0,4.913043478260869,True,Digital Payments
227,Kyrgyz Republic,2017,% of population with digital finance account - active (90 days),36.0,2.5760869565217392,True,Digital Payments
230,Cambodia,2017,% of population with digital finance account - active (90 days),16.0,1.4891304347826086,True,Digital Payments
233,"Korea, Rep.",2017,% of population with digital finance account - active (90 days),92.0,5.619565217391305,True,Digital Payments
236,Kuwait,2017,% of population with digital finance account - active (90 days),75.0,4.695652173913043,True,Digital Payments
239,Latin America & Caribbean (excluding high income),2017,% of population with digital finance account - active (90 days),45.0,3.0652173913043477,True,Digital Payments
241,Lao PDR,2017,% of population with digital finance account - active (90 days),13.0,1.3260869565217392,True,Digital Payments
244,Lebanon,2017,% of population with digital finance account - active (90 days),33.0,2.4130434782608696,True,Digital Payments
246,Liberia,2017,% of population with digital finance account - active (90 days),28.0,2.141304347826087,True,Digital Payments
247,Libya,2017,% of population with digital finance account - active (90 days),32.0,2.358695652173913,True,Digital Payments
250,Latin America & Caribbean,2017,% of population with digital finance account - active (90 days),46.0,3.119565217391304,True,Digital Payments
253,Low income,2017,% of population with digital finance account - active (90 days),26.0,2.032608695652174,True,Digital Payments
256,Sri Lanka,2017,% of population with digital finance account - active (90 days),47.0,3.1739130434782608,True,Digital Payments
259,Lower middle income,2017,% of population with digital finance account - active (90 days),29.0,2.1956521739130435,True,Digital Payments
262,Developing,2017,% of population with digital finance account - active (90 days),44.0,3.010869565217391,True,Digital Payments
264,Lesotho,2017,% of population with digital finance account - active (90 days),38.0,2.6847826086956523,True,Digital Payments
267,Lithuania,2017,% of population with digital finance account - active (90 days),78.0,4.858695652173913,True,Digital Payments
270,Luxembourg,2017,% of population with digital finance account - active (90 days),98.0,5.945652173913044,True,Digital Payments
273,Latvia,2017,% of population with digital finance account - active (90 days),91.0,5.565217391304348,True,Digital Payments
274,Morocco,2017,% of population with digital finance account - active (90 days),17.0,1.5434782608695652,True,Digital Payments
277,Moldova,2017,% of population with digital finance account - active (90 days),40.0,2.7934782608695654,True,Digital Payments
280,Madagascar,2017,% of population with digital finance account - active (90 days),15.0,1.434782608695652,True,Digital Payments
282,Middle East & North Africa,2017,% of population with digital finance account - active (90 days),38.0,2.6847826086956523,True,Digital Payments
285,Mexico,2017,% of population with digital finance account - active (90 days),32.0,2.358695652173913,True,Digital Payments
