Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Norway,2017,Digital payments penetration,100.0,5.99,True,Digital Payments
Denmark,2017,Digital payments penetration,97.24,5.852276,True,Digital Payments
Finland,2017,Digital payments penetration,93.95,5.688105,True,Digital Payments
Sweden,2017,Digital payments penetration,93.08,5.644692,True,Digital Payments
Netherlands,2017,Digital payments penetration,89.01,5.441599,True,Digital Payments
New Zealand,2017,Digital payments penetration,86.73,5.327827,True,Digital Payments
United States,2017,Digital payments penetration,84.4,5.21156,True,Digital Payments
Estonia,2017,Digital payments penetration,82.82,5.132718,True,Digital Payments
"Korea, Rep.",2017,Digital payments penetration,82.64,5.123736,True,Digital Payments
Canada,2017,Digital payments penetration,81.53,5.068347,True,Digital Payments
Australia,2017,Digital payments penetration,79.37,4.9605630000000005,True,Digital Payments
Czech Republic,2017,Digital payments penetration,75.65,4.774935000000001,True,Digital Payments
Belgium,2017,Digital payments penetration,73.15,4.6501850000000005,True,Digital Payments
Germany,2017,Digital payments penetration,71.2,4.55288,True,Digital Payments
Poland,2017,Digital payments penetration,70.34,4.509966,True,Digital Payments
