Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Afghanistan,2017,Made or received digital payments in the past year (% age 15+) - female,4.0,1.1996,True,Digital Payments
Albania,2017,Made or received digital payments in the past year (% age 15+) - female,28.0,2.3971999999999998,True,Digital Payments
Arab world,2017,Made or received digital payments in the past year (% age 15+) - female,16.0,1.7984,True,Digital Payments
United Arab Emirates,2017,Made or received digital payments in the past year (% age 15+) - female,68.0,4.3932,True,Digital Payments
Argentina,2017,Made or received digital payments in the past year (% age 15+) - female,42.0,3.0958,True,Digital Payments
Armenia,2017,Made or received digital payments in the past year (% age 15+) - female,34.0,2.6966,True,Digital Payments
Australia,2017,Made or received digital payments in the past year (% age 15+) - female,96.0,5.7904,True,Digital Payments
Austria,2017,Made or received digital payments in the past year (% age 15+) - female,95.0,5.7405,True,Digital Payments
Azerbaijan,2017,Made or received digital payments in the past year (% age 15+) - female,23.0,2.1477000000000004,True,Digital Payments
Belgium,2017,Made or received digital payments in the past year (% age 15+) - female,97.0,5.8403,True,Digital Payments
Benin,2017,Made or received digital payments in the past year (% age 15+) - female,19.0,1.9481000000000002,True,Digital Payments
Burkina Faso,2017,Made or received digital payments in the past year (% age 15+) - female,30.0,2.497,True,Digital Payments
Bangladesh,2017,Made or received digital payments in the past year (% age 15+) - female,21.0,2.0479000000000003,True,Digital Payments
Bulgaria,2017,Made or received digital payments in the past year (% age 15+) - female,67.0,4.343300000000001,True,Digital Payments
Bahrain,2017,Made or received digital payments in the past year (% age 15+) - female,66.0,4.2934,True,Digital Payments
Bosnia and Herzegovina,2017,Made or received digital payments in the past year (% age 15+) - female,45.0,3.2455000000000003,True,Digital Payments
Belarus,2017,Made or received digital payments in the past year (% age 15+) - female,78.0,4.892200000000001,True,Digital Payments
Bolivia,2017,Made or received digital payments in the past year (% age 15+) - female,36.0,2.7964,True,Digital Payments
Brazil,2017,Made or received digital payments in the past year (% age 15+) - female,57.0,3.8443,True,Digital Payments
Botswana,2017,Made or received digital payments in the past year (% age 15+) - female,39.0,2.9461000000000004,True,Digital Payments
Central African Republic,2017,Made or received digital payments in the past year (% age 15+) - female,6.0,1.2993999999999999,True,Digital Payments
Canada,2017,Made or received digital payments in the past year (% age 15+) - female,97.0,5.8403,True,Digital Payments
