Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Afghanistan,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,1.0,1.0588235294117647,True,Digital Payments
Albania,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,4.0,1.2352941176470589,True,Digital Payments
Arab world,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,6.0,1.3529411764705883,True,Digital Payments
United Arab Emirates,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,47.0,3.764705882352941,True,Digital Payments
Argentina,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,10.0,1.5882352941176472,True,Digital Payments
Armenia,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,11.0,1.6470588235294117,True,Digital Payments
Australia,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,68.0,5.0,True,Digital Payments
Austria,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,51.0,4.0,True,Digital Payments
Azerbaijan,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,2.0,1.1176470588235294,True,Digital Payments
Belgium,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,62.0,4.647058823529411,True,Digital Payments
Benin,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,19.0,2.1176470588235294,True,Digital Payments
Burkina Faso,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,29.0,2.7058823529411766,True,Digital Payments
Bangladesh,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,22.0,2.2941176470588234,True,Digital Payments
Bulgaria,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,11.0,1.6470588235294117,True,Digital Payments
Bahrain,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,29.0,2.7058823529411766,True,Digital Payments
Bosnia and Herzegovina,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,6.0,1.3529411764705883,True,Digital Payments
Belarus,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,32.0,2.8823529411764706,True,Digital Payments
Bolivia,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,9.0,1.5294117647058822,True,Digital Payments
Brazil,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,13.0,1.7647058823529411,True,Digital Payments
Botswana,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,25.0,2.4705882352941178,True,Digital Payments
Central African Republic,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,2.0,1.1176470588235294,True,Digital Payments
Canada,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,70.0,5.117647058823529,True,Digital Payments
Switzerland,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,56.0,4.294117647058823,True,Digital Payments
Chile,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,28.0,2.6470588235294117,True,Digital Payments
China,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,40.0,3.3529411764705883,True,Digital Payments
Cote d'Ivoire,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,33.0,2.9411764705882355,True,Digital Payments
Cameroon,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,16.0,1.9411764705882353,True,Digital Payments
"Congo, Dem. Rep.",2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,17.0,2.0,True,Digital Payments
"Congo, Rep.",2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,6.0,1.3529411764705883,True,Digital Payments
Colombia,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,9.0,1.5294117647058822,True,Digital Payments
Costa Rica,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,18.0,2.0588235294117645,True,Digital Payments
Cyprus,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,33.0,2.9411764705882355,True,Digital Payments
Czech Republic,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,53.0,4.117647058823529,True,Digital Payments
Germany,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,61.0,4.588235294117647,True,Digital Payments
Denmark,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,83.0,5.882352941176471,True,Digital Payments
Dominican Republic,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,8.0,1.4705882352941178,True,Digital Payments
Algeria,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,2.0,1.1176470588235294,True,Digital Payments
East Asia & Pacific (excluding high income),2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,31.0,2.8235294117647056,True,Digital Payments
East Asia & Pacific,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,33.0,2.9411764705882355,True,Digital Payments
Europe & Central Asia (excluding high income),2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,23.0,2.3529411764705883,True,Digital Payments
Europe & Central Asia,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,37.0,3.176470588235294,True,Digital Payments
Ecuador,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,5.0,1.2941176470588236,True,Digital Payments
"Egypt, Arab Rep.",2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,2.0,1.1176470588235294,True,Digital Payments
Euro area,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,45.0,3.6470588235294117,True,Digital Payments
Spain,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,30.0,2.764705882352941,True,Digital Payments
Estonia,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,69.0,5.0588235294117645,True,Digital Payments
Ethiopia,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,0.0,1.0,True,Digital Payments
Finland,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,80.0,5.705882352941177,True,Digital Payments
France,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,49.0,3.8823529411764706,True,Digital Payments
Gabon,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,44.0,3.588235294117647,True,Digital Payments
United Kingdom,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,47.0,3.764705882352941,True,Digital Payments
Georgia,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,9.0,1.5294117647058822,True,Digital Payments
Ghana,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,35.0,3.0588235294117645,True,Digital Payments
Guinea,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,11.0,1.6470588235294117,True,Digital Payments
Greece,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,18.0,2.0588235294117645,True,Digital Payments
Guatemala,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,4.0,1.2352941176470589,True,Digital Payments
High income,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,52.0,4.0588235294117645,True,Digital Payments
"Hong Kong SAR, China",2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,43.0,3.5294117647058822,True,Digital Payments
Honduras,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,8.0,1.4705882352941178,True,Digital Payments
Croatia,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,33.0,2.9411764705882355,True,Digital Payments
Haiti,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,15.0,1.8823529411764706,True,Digital Payments
Hungary,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,29.0,2.7058823529411766,True,Digital Payments
Indonesia,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,8.0,1.4705882352941178,True,Digital Payments
India,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,5.0,1.2941176470588236,True,Digital Payments
Ireland,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,42.0,3.4705882352941178,True,Digital Payments
"Iran, Islamic Rep.",2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,45.0,3.6470588235294117,True,Digital Payments
Iraq,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,6.0,1.3529411764705883,True,Digital Payments
Israel,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,47.0,3.764705882352941,True,Digital Payments
Italy,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,22.0,2.2941176470588234,True,Digital Payments
Jordan,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,4.0,1.2352941176470589,True,Digital Payments
Japan,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,33.0,2.9411764705882355,True,Digital Payments
Kazakhstan,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,18.0,2.0588235294117645,True,Digital Payments
Kenya,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,72.0,5.235294117647059,True,Digital Payments
Kyrgyz Republic,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,6.0,1.3529411764705883,True,Digital Payments
Cambodia,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,6.0,1.3529411764705883,True,Digital Payments
"Korea, Rep.",2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,67.0,4.9411764705882355,True,Digital Payments
Kuwait,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,24.0,2.4117647058823533,True,Digital Payments
Latin America & Caribbean (excluding high income),2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,11.0,1.6470588235294117,True,Digital Payments
Lao PDR,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,2.0,1.1176470588235294,True,Digital Payments
Lebanon,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,5.0,1.2941176470588236,True,Digital Payments
Liberia,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,21.0,2.235294117647059,True,Digital Payments
Libya,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,8.0,1.4705882352941178,True,Digital Payments
Latin America & Caribbean,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,12.0,1.7058823529411766,True,Digital Payments
Low income,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,17.0,2.0,True,Digital Payments
Sri Lanka,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,8.0,1.4705882352941178,True,Digital Payments
Lower middle income,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,8.0,1.4705882352941178,True,Digital Payments
Developing,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,19.0,2.1176470588235294,True,Digital Payments
Lesotho,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,26.0,2.5294117647058822,True,Digital Payments
Lithuania,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,43.0,3.5294117647058822,True,Digital Payments
Luxembourg,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,57.0,4.352941176470589,True,Digital Payments
Latvia,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,56.0,4.294117647058823,True,Digital Payments
Morocco,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,1.0,1.0588235294117647,True,Digital Payments
Moldova,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,10.0,1.5882352941176472,True,Digital Payments
Madagascar,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,11.0,1.6470588235294117,True,Digital Payments
Middle East & North Africa,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,13.0,1.7647058823529411,True,Digital Payments
Mexico,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,7.0,1.4117647058823528,True,Digital Payments
Middle income,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,19.0,2.1176470588235294,True,Digital Payments
"Macedonia, FYR",2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,12.0,1.7058823529411766,True,Digital Payments
Mali,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,24.0,2.4117647058823533,True,Digital Payments
Malta,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,43.0,3.5294117647058822,True,Digital Payments
Myanmar,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,1.0,1.0588235294117647,True,Digital Payments
Middle East & North Africa (excluding high income),2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,10.0,1.5882352941176472,True,Digital Payments
Montenegro,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,10.0,1.5882352941176472,True,Digital Payments
Mongolia,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,38.0,3.235294117647059,True,Digital Payments
Mozambique,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,22.0,2.2941176470588234,True,Digital Payments
Mauritania,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,3.0,1.1764705882352942,True,Digital Payments
Mauritius,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,15.0,1.8823529411764706,True,Digital Payments
Malawi,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,20.0,2.1764705882352944,True,Digital Payments
Malaysia,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,33.0,2.9411764705882355,True,Digital Payments
North America,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,68.0,5.0,True,Digital Payments
Namibia,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,46.0,3.7058823529411766,True,Digital Payments
Niger,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,8.0,1.4705882352941178,True,Digital Payments
Nigeria,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,8.0,1.4705882352941178,True,Digital Payments
Nicaragua,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,4.0,1.2352941176470589,True,Digital Payments
Netherlands,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,76.0,5.470588235294118,True,Digital Payments
Norway,2017,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,85.0,6.0,True,Digital Payments
