Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better
Afghanistan,2018,can ID be used for transactions,1.0,6.0,True
Albania,2018,can ID be used for transactions,1.0,6.0,True
Algeria,2018,can ID be used for transactions,1.0,6.0,True
Andorra,2018,can ID be used for transactions,,,True
Angola,2018,can ID be used for transactions,1.0,6.0,True
Antigua and Barbuda,2018,can ID be used for transactions,,,True
Argentina,2018,can ID be used for transactions,1.0,6.0,True
Armenia,2018,can ID be used for transactions,1.0,6.0,True
Australia,2018,can ID be used for transactions,,,True
Austria,2018,can ID be used for transactions,1.0,6.0,True
Azerbaijan,2018,can ID be used for transactions,1.0,6.0,True
"Bahamas, The",2018,can ID be used for transactions,0.0,1.0,True
Bahrain,2018,can ID be used for transactions,1.0,6.0,True
Bangladesh,2018,can ID be used for transactions,1.0,6.0,True
Barbados,2018,can ID be used for transactions,0.0,1.0,True
