Country Name,Indicator,data_col,new_rank_score,higher_is_better
Norway,Digital payments penetration,100.0,6.0,True
Denmark,Digital payments penetration,97.24,5.862,True
Finland,Digital payments penetration,93.95,5.6975,True
Sweden,Digital payments penetration,93.08,5.654,True
Netherlands,Digital payments penetration,89.01,5.4505,True
New Zealand,Digital payments penetration,86.73,5.3365,True
United States,Digital payments penetration,84.4,5.22,True
Estonia,Digital payments penetration,82.82,5.141,True
"Korea, Rep.",Digital payments penetration,82.64,5.132,True
Canada,Digital payments penetration,81.53,5.076499999999999,True
Australia,Digital payments penetration,79.37,4.968500000000001,True
Czech Republic,Digital payments penetration,75.65,4.782500000000001,True
Belgium,Digital payments penetration,73.15,4.657500000000001,True
Germany,Digital payments penetration,71.2,4.5600000000000005,True
Poland,Digital payments penetration,70.34,4.517,True
Latvia,Digital payments penetration,69.36,4.468,True
Luxembourg,Digital payments penetration,66.56,4.328,True
Kenya,Digital payments penetration,66.35,4.3175,True
Switzerland,Digital payments penetration,66.23,4.3115000000000006,True
Lithuania,Digital payments penetration,60.65,4.032500000000001,True
France,Digital payments penetration,60.62,4.031,True
Austria,Digital payments penetration,59.89,3.9945,True
United Arab Emirates,Digital payments penetration,59.16,3.9579999999999997,True
Slovakia,Digital payments penetration,58.94,3.947,True
Israel,Digital payments penetration,58.49,3.9245,True
China,Digital payments penetration,57.53,3.8764999999999996,True
Singapore,Digital payments penetration,56.92,3.846,True
United Kingdom,Digital payments penetration,55.84,3.7920000000000003,True
Hong Kong (China),Digital payments penetration,52.51,3.6255,True
Slovenia,Digital payments penetration,52.32,3.616,True
Malta,Digital payments penetration,51.17,3.5585000000000004,True
Ireland,Digital payments penetration,50.93,3.5465,True
"Iran, Islamic Rep.",Digital payments penetration,50.73,3.5364999999999998,True
Russian Federation,Digital payments penetration,50.6,3.53,True
Namibia,Digital payments penetration,48.77,3.4385000000000003,True
Mongolia,Digital payments penetration,46.58,3.3289999999999997,True
Venezuela,Digital payments penetration,46.32,3.316,True
Belarus,Digital payments penetration,46.02,3.301,True
Zimbabwe,Digital payments penetration,44.27,3.2135000000000002,True
Croatia,Digital payments penetration,43.89,3.1944999999999997,True
Hungary,Digital payments penetration,43.79,3.1895,True
Malaysia,Digital payments penetration,43.4,3.17,True
Turkey,Digital payments penetration,43.39,3.1694999999999998,True
Cyprus,Digital payments penetration,42.11,3.1055,True
Saudi Arabia,Digital payments penetration,40.98,3.049,True
Zambia,Digital payments penetration,40.46,3.023,True
Bahrain,Digital payments penetration,40.0,3.0,True
Chile,Digital payments penetration,39.41,2.9705,True
Japan,Digital payments penetration,38.84,2.942,True
Spain,Digital payments penetration,36.31,2.8155,True
Botswana,Digital payments penetration,36.21,2.8105,True
Tanzania,Digital payments penetration,35.69,2.7845,True
Kazakhstan,Digital payments penetration,35.3,2.7649999999999997,True
Portugal,Digital payments penetration,34.56,2.728,True
Mozambique,Digital payments penetration,34.3,2.715,True
Kuwait,Digital payments penetration,34.02,2.7010000000000005,True
"Congo, Dem. Rep.",Digital payments penetration,33.51,2.6754999999999995,True
Ukraine,Digital payments penetration,32.53,2.6265,True
Ghana,Digital payments penetration,32.31,2.6155,True
Malawi,Digital payments penetration,31.01,2.5505000000000004,True
Lesotho,Digital payments penetration,30.94,2.547,True
Senegal,Digital payments penetration,30.8,2.54,True
Benin,Digital payments penetration,30.59,2.5294999999999996,True
Uganda,Digital payments penetration,30.31,2.5155,True
Costa Rica,Digital payments penetration,29.47,2.4735,True
