Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Switzerland,2020,% of digital skills certifications / training courses completed,1,6.0,True,Capabilities
Luxembourg,2020,% of digital skills certifications / training courses completed,2,5.953271028037383,True,Capabilities
Austria,2020,% of digital skills certifications / training courses completed,3,5.906542056074766,True,Capabilities
Japan,2020,% of digital skills certifications / training courses completed,4,5.859813084112149,True,Capabilities
Germany,2020,% of digital skills certifications / training courses completed,5,5.813084112149532,True,Capabilities
Belgium,2020,% of digital skills certifications / training courses completed,6,5.766355140186916,True,Capabilities
Sweden,2020,% of digital skills certifications / training courses completed,7,5.719626168224299,True,Capabilities
Denmark,2020,% of digital skills certifications / training courses completed,8,5.672897196261682,True,Capabilities
Russian Federation,2020,% of digital skills certifications / training courses completed,9,5.626168224299065,True,Capabilities
Singapore,2020,% of digital skills certifications / training courses completed,10,5.579439252336448,True,Capabilities
Norway,2020,% of digital skills certifications / training courses completed,11,5.5327102803738315,True,Capabilities
Belarus,2020,% of digital skills certifications / training courses completed,12,5.4859813084112155,True,Capabilities
Czech Republic,2020,% of digital skills certifications / training courses completed,13,5.4392523364485985,True,Capabilities
Finland,2020,% of digital skills certifications / training courses completed,14,5.392523364485982,True,Capabilities
Bulgaria,2020,% of digital skills certifications / training courses completed,15,5.345794392523365,True,Capabilities
Italy,2020,% of digital skills certifications / training courses completed,16,5.299065420560748,True,Capabilities
Netherlands,2020,% of digital skills certifications / training courses completed,17,5.252336448598131,True,Capabilities
Hungary,2020,% of digital skills certifications / training courses completed,18,5.205607476635514,True,Capabilities
Cameroon,2020,% of digital skills certifications / training courses completed,19,5.158878504672897,True,Capabilities
Vietnam,2020,% of digital skills certifications / training courses completed,20,5.11214953271028,True,Capabilities
Croatia,2020,% of digital skills certifications / training courses completed,21,5.065420560747663,True,Capabilities
Greece,2020,% of digital skills certifications / training courses completed,22,5.018691588785047,True,Capabilities
Hong Kong,2020,% of digital skills certifications / training courses completed,23,4.97196261682243,True,Capabilities
Latvia,2020,% of digital skills certifications / training courses completed,24,4.925233644859813,True,Capabilities
