,Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
0,Iraq ,2020,E-Participation index,0.3095,2.5444050000000002,True,Digital Public Services
1,Ireland ,2020,E-Participation index,0.8571,5.276929,True,Digital Public Services
2,Israel ,2020,E-Participation index,0.7143,4.564357,True,Digital Public Services
3,Italy ,2020,E-Participation index,0.8214,5.0987860000000005,True,Digital Public Services
4,Jamaica ,2020,E-Participation index,0.369,2.84131,True,Digital Public Services
5,Japan ,2020,E-Participation index,0.9881,5.930619,True,Digital Public Services
6,Jordan ,2020,E-Participation index,0.3333,2.663167,True,Digital Public Services
7,Kazakhstan ,2020,E-Participation index,0.881,5.39619,True,Digital Public Services
8,Kenya ,2020,E-Participation index,0.5952,3.970048,True,Digital Public Services
9,Kiribati ,2020,E-Participation index,0.5595,3.7919050000000003,True,Digital Public Services
10,Kuwait ,2020,E-Participation index,0.9048,5.514952,True,Digital Public Services
11,Kyrgyzstan ,2020,E-Participation index,0.7143,4.564357,True,Digital Public Services
12,Lao People's Democratic Republic ,2020,E-Participation index,0.2143,2.069357,True,Digital Public Services
13,Latvia ,2020,E-Participation index,0.5833,3.910667,True,Digital Public Services
14,Lebanon ,2020,E-Participation index,0.3333,2.663167,True,Digital Public Services
15,Lesotho ,2020,E-Participation index,0.3452,2.722548,True,Digital Public Services
16,Liberia ,2020,E-Participation index,0.2381,2.1881190000000004,True,Digital Public Services
17,Libya,2020,E-Participation index,0.0357,1.178143,True,Digital Public Services
18,Liechtenstein,2020,E-Participation index,0.6071,4.029429,True,Digital Public Services
19,Lithuania ,2020,E-Participation index,0.7381,4.683119,True,Digital Public Services
20,Luxembourg,2020,E-Participation index,0.7024,4.504976,True,Digital Public Services
21,Madagascar ,2020,E-Participation index,0.2976,2.485024,True,Digital Public Services
22,Malawi ,2020,E-Participation index,0.4167,3.079333,True,Digital Public Services
23,Malaysia,2020,E-Participation index,0.8571,5.276929,True,Digital Public Services
24,Maldives,2020,E-Participation index,0.4405,3.198095,True,Digital Public Services
25,Mali ,2020,E-Participation index,0.3214,2.6037860000000004,True,Digital Public Services
26,Malta ,2020,E-Participation index,0.8333,5.158167000000001,True,Digital Public Services
27,Marshall Islands ,2020,E-Participation index,0.4286,3.138714,True,Digital Public Services
