Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Albania,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Algeria,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Andorra,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Angola,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Antigua and Barbuda,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Argentina,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Armenia,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Australia,2020,Evidence of focus on vulnerable groups,0.09,6.0,True,Leadership and coordination
Austria,2020,Evidence of focus on vulnerable groups,0.09,6.0,True,Leadership and coordination
Azerbaijan,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Bahamas,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Bahrain,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Bangladesh,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Barbados,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Belarus,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Belgium,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Belize,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Benin,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Bhutan,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Bolivia,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Bosnia and Herzegovina,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Botswana,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Brazil,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Brunei Darussalam,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Bulgaria,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Burkina Faso,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Burundi,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Cambodia,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Cameroon,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Canada,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Cabo Verde,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Central African Republic,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Chad,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Chile,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
China,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Colombia,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Comoros,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
"Congo, Rep.",2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
"Congo, Dem. Rep.",2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Costa Rica,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Côte d'Ivoire,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Croatia,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Cuba,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Cyprus,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Czech Republic,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Denmark,2020,Evidence of focus on vulnerable groups,0.09,6.0,True,Leadership and coordination
Djibouti,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Dominica,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Dominican Republic,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Ecuador,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Egypt,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
El Salvador,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Equatorial Guinea,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Eritrea,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Estonia,2020,Evidence of focus on vulnerable groups,0.09,6.0,True,Leadership and coordination
Ethiopia,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Fiji,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Finland,2020,Evidence of focus on vulnerable groups,0.09,6.0,True,Leadership and coordination
France,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Gabon,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Gambia,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Georgia,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Germany,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Ghana,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Greece,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Grenada,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Guatemala,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Guinea,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Guinea-Bissau,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Guyana,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Haiti,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Honduras,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
"Hong Kong SAR, China",2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Hungary,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Iceland,2020,Evidence of focus on vulnerable groups,0.09,6.0,True,Leadership and coordination
India,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Indonesia,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Iran,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Iraq,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Ireland,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Israel,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Italy,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Jamaica,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Japan,2020,Evidence of focus on vulnerable groups,0.09,6.0,True,Leadership and coordination
Jordan,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Kazakhstan,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Kenya,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Kiribati,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
"Korea, DPR",2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
"Korea, Rep.",2020,Evidence of focus on vulnerable groups,0.09,6.0,True,Leadership and coordination
Kosovo,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Kuwait,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Kyrgyz Republic,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Lao PDR,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Latvia,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Lebanon,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Lesotho,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Liberia,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Libya,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Liechtenstein,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Lithuania,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Luxembourg,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
"Macao SAR, China",2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
North Macedonia,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Madagascar,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Malawi,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Malaysia,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Maldives,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Mali,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Malta,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Marshall Islands,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Mauritania,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Mauritius,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Mexico,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
"Micronesia, Fed. Sts.",2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Moldova,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Monaco,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Mongolia,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Montenegro,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Morocco,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Mozambique,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Myanmar,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Namibia,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Nauru,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Nepal,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Netherlands,2020,Evidence of focus on vulnerable groups,0.09,6.0,True,Leadership and coordination
New Zealand,2020,Evidence of focus on vulnerable groups,0.09,6.0,True,Leadership and coordination
Nicaragua,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Niger,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Nigeria,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Norway,2020,Evidence of focus on vulnerable groups,0.09,6.0,True,Leadership and coordination
Oman,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Pakistan,2020,Evidence of focus on vulnerable groups,0.03,3.5,True,Leadership and coordination
Palau,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
Panama,2020,Evidence of focus on vulnerable groups,-0.03,1.0,True,Leadership and coordination
