,Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
0,Iraq ,2020,Online-Service-Index (OSI),0.3353,2.6765,True,Digital Public Services
1,Ireland ,2020,Online-Service-Index (OSI),0.7706,4.853,True,Digital Public Services
2,Israel ,2020,Online-Service-Index (OSI),0.7471,4.7355,True,Digital Public Services
3,Italy ,2020,Online-Service-Index (OSI),0.8294,5.147,True,Digital Public Services
4,Jamaica ,2020,Online-Service-Index (OSI),0.3882,2.941,True,Digital Public Services
5,Japan ,2020,Online-Service-Index (OSI),0.9059,5.5295000000000005,True,Digital Public Services
6,Jordan ,2020,Online-Service-Index (OSI),0.3588,2.794,True,Digital Public Services
7,Kazakhstan ,2020,Online-Service-Index (OSI),0.9235,5.6175,True,Digital Public Services
8,Kenya ,2020,Online-Service-Index (OSI),0.6765,4.3825,True,Digital Public Services
9,Kiribati ,2020,Online-Service-Index (OSI),0.4941,3.4705,True,Digital Public Services
10,Kuwait ,2020,Online-Service-Index (OSI),0.8412,5.2059999999999995,True,Digital Public Services
11,Kyrgyzstan ,2020,Online-Service-Index (OSI),0.6471,4.2355,True,Digital Public Services
12,Lao People's Democratic Republic ,2020,Online-Service-Index (OSI),0.1941,1.9705,True,Digital Public Services
13,Latvia ,2020,Online-Service-Index (OSI),0.5824,3.912,True,Digital Public Services
14,Lebanon ,2020,Online-Service-Index (OSI),0.4176,3.088,True,Digital Public Services
15,Lesotho ,2020,Online-Service-Index (OSI),0.3529,2.7645,True,Digital Public Services
16,Liberia ,2020,Online-Service-Index (OSI),0.2471,2.2355,True,Digital Public Services
17,Libya,2020,Online-Service-Index (OSI),0.0412,1.206,True,Digital Public Services
18,Liechtenstein,2020,Online-Service-Index (OSI),0.6588,4.2940000000000005,True,Digital Public Services
19,Lithuania ,2020,Online-Service-Index (OSI),0.8529,5.2645,True,Digital Public Services
20,Luxembourg,2020,Online-Service-Index (OSI),0.7647,4.8235,True,Digital Public Services
21,Madagascar ,2020,Online-Service-Index (OSI),0.2882,2.441,True,Digital Public Services
22,Malawi ,2020,Online-Service-Index (OSI),0.4235,3.1174999999999997,True,Digital Public Services
23,Malaysia,2020,Online-Service-Index (OSI),0.8529,5.2645,True,Digital Public Services
24,Maldives,2020,Online-Service-Index (OSI),0.4353,3.1765,True,Digital Public Services
25,Mali ,2020,Online-Service-Index (OSI),0.3471,2.7355,True,Digital Public Services
26,Malta ,2020,Online-Service-Index (OSI),0.8118,5.059,True,Digital Public Services
27,Marshall Islands ,2020,Online-Service-Index (OSI),0.3412,2.706,True,Digital Public Services
28,Mauritania ,2020,Online-Service-Index (OSI),0.1,1.5,True,Digital Public Services
29,Afghanistan,2020,Online-Service-Index (OSI),0.4118,3.059,True,Digital Public Services
30,Mauritius ,2020,Online-Service-Index (OSI),0.7,4.5,True,Digital Public Services
31,Mexico ,2020,Online-Service-Index (OSI),0.8235,5.1175,True,Digital Public Services
32,Micronesia (Federated States of) ,2020,Online-Service-Index (OSI),0.3529,2.7645,True,Digital Public Services
33,Monaco ,2020,Online-Service-Index (OSI),0.4706,3.353,True,Digital Public Services
34,Mongolia ,2020,Online-Service-Index (OSI),0.5294,3.647,True,Digital Public Services
35,Montenegro,2020,Online-Service-Index (OSI),0.5412,3.706,True,Digital Public Services
36,Albania ,2020,Online-Service-Index (OSI),0.8412,5.2059999999999995,True,Digital Public Services
37,Algeria ,2020,Online-Service-Index (OSI),0.2765,2.3825000000000003,True,Digital Public Services
38,Andorra ,2020,Online-Service-Index (OSI),0.4824,3.412,True,Digital Public Services
39,Angola ,2020,Online-Service-Index (OSI),0.4882,3.4410000000000003,True,Digital Public Services
40,Antigua and Barbuda ,2020,Online-Service-Index (OSI),0.4471,3.2355,True,Digital Public Services
41,Argentina ,2020,Online-Service-Index (OSI),0.8471,5.2355,True,Digital Public Services
42,Armenia ,2020,Online-Service-Index (OSI),0.7,4.5,True,Digital Public Services
43,Morocco ,2020,Online-Service-Index (OSI),0.5235,3.6174999999999997,True,Digital Public Services
44,Mozambique ,2020,Online-Service-Index (OSI),0.5176,3.5879999999999996,True,Digital Public Services
45,Myanmar ,2020,Online-Service-Index (OSI),0.2588,2.2939999999999996,True,Digital Public Services
46,Namibia ,2020,Online-Service-Index (OSI),0.5235,3.6174999999999997,True,Digital Public Services
47,Nauru ,2020,Online-Service-Index (OSI),0.1706,1.853,True,Digital Public Services
48,Dominica ,2020,Online-Service-Index (OSI),0.4471,3.2355,True,Digital Public Services
49,Dominican Republic ,2020,Online-Service-Index (OSI),0.7647,4.8235,True,Digital Public Services
50,Ecuador ,2020,Online-Service-Index (OSI),0.8118,5.059,True,Digital Public Services
51,Egypt ,2020,Online-Service-Index (OSI),0.5706,3.8529999999999998,True,Digital Public Services
52,El Salvador ,2020,Online-Service-Index (OSI),0.5765,3.8825000000000003,True,Digital Public Services
53,Equatorial Guinea ,2020,Online-Service-Index (OSI),0.0647,1.3235,True,Digital Public Services
54,Eritrea ,2020,Online-Service-Index (OSI),0.0118,1.059,True,Digital Public Services
55,Estonia ,2020,Online-Service-Index (OSI),0.9941,5.9704999999999995,True,Digital Public Services
56,Nepal ,2020,Online-Service-Index (OSI),0.4,3.0,True,Digital Public Services
57,Netherlands ,2020,Online-Service-Index (OSI),0.9059,5.5295000000000005,True,Digital Public Services
58,New Zealand ,2020,Online-Service-Index (OSI),0.9294,5.647,True,Digital Public Services
59,Nicaragua ,2020,Online-Service-Index (OSI),0.5471,3.7355,True,Digital Public Services
60,Niger ,2020,Online-Service-Index (OSI),0.2941,2.4705,True,Digital Public Services
61,Nigeria ,2020,Online-Service-Index (OSI),0.5176,3.5879999999999996,True,Digital Public Services
62,Norway ,2020,Online-Service-Index (OSI),0.8765,5.382499999999999,True,Digital Public Services
63,Oman ,2020,Online-Service-Index (OSI),0.8529,5.2645,True,Digital Public Services
64,Pakistan ,2020,Online-Service-Index (OSI),0.6294,4.147,True,Digital Public Services
65,Palau ,2020,Online-Service-Index (OSI),0.2765,2.3825000000000003,True,Digital Public Services
66,Panama ,2020,Online-Service-Index (OSI),0.6235,4.1175,True,Digital Public Services
67,Papua New Guinea ,2020,Online-Service-Index (OSI),0.2235,2.1174999999999997,True,Digital Public Services
68,Paraguay ,2020,Online-Service-Index (OSI),0.7059,4.5295,True,Digital Public Services
69,Peru ,2020,Online-Service-Index (OSI),0.7529,4.7645,True,Digital Public Services
70,Philippines ,2020,Online-Service-Index (OSI),0.7294,4.647,True,Digital Public Services
71,Poland ,2020,Online-Service-Index (OSI),0.8588,5.2940000000000005,True,Digital Public Services
72,Portugal ,2020,Online-Service-Index (OSI),0.8353,5.1765,True,Digital Public Services
73,Qatar ,2020,Online-Service-Index (OSI),0.6588,4.2940000000000005,True,Digital Public Services
74,Republic of Korea ,2020,Online-Service-Index (OSI),1.0,6.0,True,Digital Public Services
75,Republic of Moldova ,2020,Online-Service-Index (OSI),0.7529,4.7645,True,Digital Public Services
76,Romania ,2020,Online-Service-Index (OSI),0.7235,4.6175,True,Digital Public Services
77,Russian Federation ,2020,Online-Service-Index (OSI),0.8176,5.088,True,Digital Public Services
78,Australia ,2020,Online-Service-Index (OSI),0.9471,5.7355,True,Digital Public Services
79,Austria,2020,Online-Service-Index (OSI),0.9471,5.7355,True,Digital Public Services
80,Azerbaijan ,2020,Online-Service-Index (OSI),0.7059,4.5295,True,Digital Public Services
81,Bahamas ,2020,Online-Service-Index (OSI),0.6765,4.3825,True,Digital Public Services
82,Chad ,2020,Online-Service-Index (OSI),0.2,2.0,True,Digital Public Services
83,Chile ,2020,Online-Service-Index (OSI),0.8529,5.2645,True,Digital Public Services
84,China ,2020,Online-Service-Index (OSI),0.9059,5.5295000000000005,True,Digital Public Services
85,Bahrain ,2020,Online-Service-Index (OSI),0.7882,4.941,True,Digital Public Services
86,Bangladesh ,2020,Online-Service-Index (OSI),0.6118,4.059,True,Digital Public Services
87,Barbados ,2020,Online-Service-Index (OSI),0.5765,3.8825000000000003,True,Digital Public Services
