Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
United States,2020,Security incidents (# of relevant issues),20.0,1.0,True,Digital Public Services
United Kingdom,2020,Security incidents (# of relevant issues),19.0,1.2631578947368425,True,Digital Public Services
India,2020,Security incidents (# of relevant issues),18.0,1.526315789473684,True,Digital Public Services
Germany,2020,Security incidents (# of relevant issues),17.0,1.7894736842105265,True,Digital Public Services
South Korea,2020,Security incidents (# of relevant issues),16.0,2.052631578947368,True,Digital Public Services
Australia,2020,Security incidents (# of relevant issues),15.0,2.3157894736842106,True,Digital Public Services
Ukraine,2020,Security incidents (# of relevant issues),15.0,2.3157894736842106,True,Digital Public Services
China,2020,Security incidents (# of relevant issues),13.0,2.8421052631578947,True,Digital Public Services
Iran,2020,Security incidents (# of relevant issues),13.0,2.8421052631578947,True,Digital Public Services
Saudi Arabia,2020,Security incidents (# of relevant issues),13.0,2.8421052631578947,True,Digital Public Services
Japan,2020,Security incidents (# of relevant issues),10.0,3.6315789473684212,True,Digital Public Services
Canada,2020,Security incidents (# of relevant issues),9.0,3.8947368421052633,True,Digital Public Services
France,2020,Security incidents (# of relevant issues),8.0,4.157894736842105,True,Digital Public Services
Israel,2020,Security incidents (# of relevant issues),8.0,4.157894736842105,True,Digital Public Services
Pakistan,2020,Security incidents (# of relevant issues),6.0,4.684210526315789,True,Digital Public Services
Russia,2020,Security incidents (# of relevant issues),5.0,4.947368421052632,True,Digital Public Services
Hong Kong,2020,Security incidents (# of relevant issues),4.0,5.2105263157894735,True,Digital Public Services
Vietnam,2020,Security incidents (# of relevant issues),3.0,5.473684210526316,True,Digital Public Services
Turkey,2020,Security incidents (# of relevant issues),3.0,5.473684210526316,True,Digital Public Services
North Korea,2020,Security incidents (# of relevant issues),1.0,6.0,True,Digital Public Services
