Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
India,2020,"Use of public services online (% of services online, penetration, frequency of use)",86.1,5.305,True,Digital public services
Saudi Arabia,2020,"Use of public services online (% of services online, penetration, frequency of use)",84.2,5.21,True,Digital public services
China,2020,"Use of public services online (% of services online, penetration, frequency of use)",81.8,5.09,True,Digital public services
Singapore,2020,"Use of public services online (% of services online, penetration, frequency of use)",80.9,5.045,True,Digital public services
France,2020,"Use of public services online (% of services online, penetration, frequency of use)",79.1,4.955,True,Digital public services
Chile,2020,"Use of public services online (% of services online, penetration, frequency of use)",78.3,4.915,True,Digital public services
Hong Kong,2020,"Use of public services online (% of services online, penetration, frequency of use)",76.6,4.83,True,Digital public services
Kenya,2020,"Use of public services online (% of services online, penetration, frequency of use)",76.1,4.805,True,Digital public services
Poland,2020,"Use of public services online (% of services online, penetration, frequency of use)",75.2,4.76,True,Digital public services
Australia,2020,"Use of public services online (% of services online, penetration, frequency of use)",74.5,4.725,True,Digital public services
Estonia,2020,"Use of public services online (% of services online, penetration, frequency of use)",74.3,4.715,True,Digital public services
Indonesia,2020,"Use of public services online (% of services online, penetration, frequency of use)",73.8,4.6899999999999995,True,Digital public services
Qatar,2020,"Use of public services online (% of services online, penetration, frequency of use)",72.7,4.635,True,Digital public services
United Kingdom,2020,"Use of public services online (% of services online, penetration, frequency of use)",72.0,4.6,True,Digital public services
New Zealand,2020,"Use of public services online (% of services online, penetration, frequency of use)",71.9,4.595000000000001,True,Digital public services
Canada,2020,"Use of public services online (% of services online, penetration, frequency of use)",71.5,4.575,True,Digital public services
United States of America,2020,"Use of public services online (% of services online, penetration, frequency of use)",70.7,4.535,True,Digital public services
Malaysia,2020,"Use of public services online (% of services online, penetration, frequency of use)",70.6,4.529999999999999,True,Digital public services
Switzerland,2020,"Use of public services online (% of services online, penetration, frequency of use)",70.1,4.505,True,Digital public services
Ukraine,2020,"Use of public services online (% of services online, penetration, frequency of use)",69.5,4.475,True,Digital public services
South Africa,2020,"Use of public services online (% of services online, penetration, frequency of use)",69.5,4.475,True,Digital public services
Norway,2020,"Use of public services online (% of services online, penetration, frequency of use)",68.4,4.42,True,Digital public services
Sweden,2020,"Use of public services online (% of services online, penetration, frequency of use)",67.6,4.38,True,Digital public services
Argentina,2020,"Use of public services online (% of services online, penetration, frequency of use)",66.8,4.34,True,Digital public services
Nigeria,2020,"Use of public services online (% of services online, penetration, frequency of use)",66.8,4.34,True,Digital public services
Denmark,2020,"Use of public services online (% of services online, penetration, frequency of use)",66.7,4.335,True,Digital public services
Bangladesh,2020,"Use of public services online (% of services online, penetration, frequency of use)",65.8,4.29,True,Digital public services
Kazakhstan,2020,"Use of public services online (% of services online, penetration, frequency of use)",65.2,4.26,True,Digital public services
Austria,2020,"Use of public services online (% of services online, penetration, frequency of use)",64.2,4.21,True,Digital public services
Russia,2020,"Use of public services online (% of services online, penetration, frequency of use)",63.4,4.17,True,Digital public services
Germany,2020,"Use of public services online (% of services online, penetration, frequency of use)",62.7,4.135,True,Digital public services
Netherlands,2020,"Use of public services online (% of services online, penetration, frequency of use)",62.7,4.135,True,Digital public services
Morocco,2020,"Use of public services online (% of services online, penetration, frequency of use)",62.3,4.115,True,Digital public services
South Korea,2020,"Use of public services online (% of services online, penetration, frequency of use)",59.7,3.985,True,Digital public services
Japan,2020,"Use of public services online (% of services online, penetration, frequency of use)",45.7,3.285,True,Digital public services
