Country Name,Indicator,data_col,new_rank_score,higher_is_better
Iraq ,E-Participation index,0.3095,2.5475,True
Ireland ,E-Participation index,0.8571,5.2855,True
Israel ,E-Participation index,0.7143,4.5715,True
Italy ,E-Participation index,0.8214,5.107,True
Jamaica ,E-Participation index,0.369,2.8449999999999998,True
Japan ,E-Participation index,0.9881,5.9405,True
Jordan ,E-Participation index,0.3333,2.6665,True
Kazakhstan ,E-Participation index,0.881,5.405,True
Kenya ,E-Participation index,0.5952,3.976,True
Kiribati ,E-Participation index,0.5595,3.7975,True
Kuwait ,E-Participation index,0.9048,5.524,True
Kyrgyzstan ,E-Participation index,0.7143,4.5715,True
Lao People's Democratic Republic ,E-Participation index,0.2143,2.0715,True
Latvia ,E-Participation index,0.5833,3.9165,True
Lebanon ,E-Participation index,0.3333,2.6665,True
Lesotho ,E-Participation index,0.3452,2.726,True
Liberia ,E-Participation index,0.2381,2.1905,True
Libya,E-Participation index,0.0357,1.1785,True
Liechtenstein,E-Participation index,0.6071,4.0355,True
Lithuania ,E-Participation index,0.7381,4.6905,True
Luxembourg,E-Participation index,0.7024,4.5120000000000005,True
Madagascar ,E-Participation index,0.2976,2.488,True
Malawi ,E-Participation index,0.4167,3.0835,True
Malaysia,E-Participation index,0.8571,5.2855,True
Maldives,E-Participation index,0.4405,3.2025,True
Mali ,E-Participation index,0.3214,2.607,True
Malta ,E-Participation index,0.8333,5.1665,True
Marshall Islands ,E-Participation index,0.4286,3.143,True
Mauritania ,E-Participation index,0.0952,1.476,True
Afghanistan,E-Participation index,0.4643,3.3215,True
Mauritius ,E-Participation index,0.6429,4.2145,True
Mexico ,E-Participation index,0.8214,5.107,True
Micronesia (Federated States of) ,E-Participation index,0.3333,2.6665,True
Monaco ,E-Participation index,0.369,2.8449999999999998,True
Mongolia ,E-Participation index,0.6071,4.0355,True
Montenegro,E-Participation index,0.5476,3.738,True
Albania ,E-Participation index,0.8452,5.226,True
Algeria ,E-Participation index,0.1548,1.774,True
Andorra ,E-Participation index,0.5119,3.5595,True
Angola ,E-Participation index,0.4524,3.262,True
Antigua and Barbuda ,E-Participation index,0.4881,3.4405,True
Argentina ,E-Participation index,0.8571,5.2855,True
Armenia ,E-Participation index,0.75,4.75,True
Morocco ,E-Participation index,0.5119,3.5595,True
Mozambique ,E-Participation index,0.5238,3.619,True
Myanmar ,E-Participation index,0.2619,2.3095,True
Namibia ,E-Participation index,0.5,3.5,True
Nauru ,E-Participation index,0.2024,2.012,True
Dominica ,E-Participation index,0.3571,2.7855,True
Dominican Republic ,E-Participation index,0.7738,4.869,True
Ecuador ,E-Participation index,0.7976,4.9879999999999995,True
Egypt ,E-Participation index,0.5119,3.5595,True
El Salvador ,E-Participation index,0.6786,4.393,True
Equatorial Guinea ,E-Participation index,0.0714,1.357,True
Eritrea ,E-Participation index,0.0,1.0,True
Estonia ,E-Participation index,1.0,6.0,True
Nepal ,E-Participation index,0.369,2.8449999999999998,True
Netherlands ,E-Participation index,0.9643,5.8215,True
New Zealand ,E-Participation index,0.9881,5.9405,True
Nicaragua ,E-Participation index,0.5238,3.619,True
Niger ,E-Participation index,0.2976,2.488,True
Nigeria ,E-Participation index,0.4881,3.4405,True
Norway ,E-Participation index,0.9048,5.524,True
Oman ,E-Participation index,0.8333,5.1665,True
Pakistan ,E-Participation index,0.5238,3.619,True
Palau ,E-Participation index,0.3214,2.607,True
Panama ,E-Participation index,0.5833,3.9165,True
Papua New Guinea ,E-Participation index,0.2143,2.0715,True
Paraguay ,E-Participation index,0.75,4.75,True
Peru ,E-Participation index,0.7619,4.8095,True
Philippines ,E-Participation index,0.75,4.75,True
Poland ,E-Participation index,0.9643,5.8215,True
Portugal ,E-Participation index,0.8214,5.107,True
Qatar ,E-Participation index,0.6548,4.274,True
Republic of Korea ,E-Participation index,1.0,6.0,True
Republic of Moldova ,E-Participation index,0.7619,4.8095,True
Romania ,E-Participation index,0.8095,5.0475,True
Russian Federation ,E-Participation index,0.869,5.345,True
Australia ,E-Participation index,0.9643,5.8215,True
Austria,E-Participation index,0.9762,5.881,True
Azerbaijan ,E-Participation index,0.6905,4.452500000000001,True
Bahamas ,E-Participation index,0.619,4.095,True
Chad ,E-Participation index,0.2619,2.3095,True
Chile ,E-Participation index,0.8571,5.2855,True
China ,E-Participation index,0.9643,5.8215,True
Bahrain ,E-Participation index,0.7738,4.869,True
Bangladesh ,E-Participation index,0.5714,3.857,True
Barbados ,E-Participation index,0.5952,3.976,True
Belarus ,E-Participation index,0.75,4.75,True
Belgium ,E-Participation index,0.6548,4.274,True
Belize ,E-Participation index,0.2976,2.488,True
Benin ,E-Participation index,0.5476,3.738,True
Bhutan ,E-Participation index,0.631,4.155,True
Bolivia ,E-Participation index,0.5952,3.976,True
Bosnia and Herzegovina ,E-Participation index,0.6071,4.0355,True
Botswana ,E-Participation index,0.369,2.8449999999999998,True
Djibouti ,E-Participation index,0.2143,2.0715,True
Brazil ,E-Participation index,0.9048,5.524,True
Brunei Darussalam ,E-Participation index,0.5476,3.738,True
Bulgaria ,E-Participation index,0.8929,5.4645,True
Burkina Faso ,E-Participation index,0.5119,3.5595,True
Burundi ,E-Participation index,0.3333,2.6665,True
Cambodia ,E-Participation index,0.4167,3.0835,True
Cameroon ,E-Participation index,0.4167,3.0835,True
Canada ,E-Participation index,0.9405,5.7025,True
Cabo Verde ,E-Participation index,0.4167,3.0835,True
Central African Republic ,E-Participation index,0.1429,1.7145000000000001,True
Colombia ,E-Participation index,0.869,5.345,True
Comoros ,E-Participation index,0.119,1.595,True
Congo ,E-Participation index,0.2738,2.3689999999999998,True
Costa Rica ,E-Participation index,0.6548,4.274,True
Côte d'Ivoire ,E-Participation index,0.4048,3.024,True
Croatia ,E-Participation index,0.8929,5.4645,True
Cuba ,E-Participation index,0.3571,2.7855,True
Cyprus ,E-Participation index,0.9524,5.7620000000000005,True
Czech Republic ,E-Participation index,0.7262,4.631,True
Democratic People's Republic of Korea ,E-Participation index,0.0357,1.1785,True
Democratic Republic of the Congo ,E-Participation index,0.2024,2.012,True
Denmark ,E-Participation index,0.9643,5.8215,True
Ethiopia ,E-Participation index,0.3333,2.6665,True
Fiji ,E-Participation index,0.4643,3.3215,True
Finland ,E-Participation index,0.9524,5.7620000000000005,True
Guinea-Bissau ,E-Participation index,0.0833,1.4165,True
Guyana ,E-Participation index,0.4524,3.262,True
Spain ,E-Participation index,0.8452,5.226,True
Sierra Leone ,E-Participation index,0.3929,2.9645,True
France,E-Participation index,0.9048,5.524,True
Gabon ,E-Participation index,0.2738,2.3689999999999998,True
Gambia ,E-Participation index,0.0357,1.1785,True
Georgia (Country),E-Participation index,0.6429,4.2145,True
Germany ,E-Participation index,0.75,4.75,True
Ghana ,E-Participation index,0.631,4.155,True
Greece ,E-Participation index,0.7857,4.9285,True
Grenada ,E-Participation index,0.3333,2.6665,True
Guatemala ,E-Participation index,0.5,3.5,True
Guinea ,E-Participation index,0.3095,2.5475,True
Haiti ,E-Participation index,0.2262,2.1310000000000002,True
Honduras ,E-Participation index,0.4881,3.4405,True
Hungary ,E-Participation index,0.6786,4.393,True
Iceland ,E-Participation index,0.7738,4.869,True
India ,E-Participation index,0.8571,5.2855,True
Indonesia ,E-Participation index,0.75,4.75,True
Iran (Islamic Republic of) ,E-Participation index,0.4643,3.3215,True
Slovenia ,E-Participation index,0.8571,5.2855,True
Solomon Islands ,E-Participation index,0.3214,2.607,True
Somalia ,E-Participation index,0.3571,2.7855,True
South Africa ,E-Participation index,0.75,4.75,True
Sri Lanka ,E-Participation index,0.7143,4.5715,True
Sudan ,E-Participation index,0.2143,2.0715,True
Suriname ,E-Participation index,0.25,2.25,True
Eswatini,E-Participation index,0.4524,3.262,True
Uzbekistan ,E-Participation index,0.8095,5.0475,True
Vanuatu ,E-Participation index,0.3929,2.9645,True
Venezuela ,E-Participation index,0.2381,2.1905,True
Viet Nam ,E-Participation index,0.7024,4.5120000000000005,True
Sweden ,E-Participation index,0.8214,5.107,True
Switzerland ,E-Participation index,0.9048,5.524,True
Syrian Arab Republic ,E-Participation index,0.5119,3.5595,True
Tajikistan ,E-Participation index,0.3452,2.726,True
Thailand ,E-Participation index,0.7738,4.869,True
North Macedonia,E-Participation index,0.8333,5.1665,True
Timor-Leste,E-Participation index,0.4881,3.4405,True
Togo ,E-Participation index,0.5119,3.5595,True
Tonga ,E-Participation index,0.369,2.8449999999999998,True
Trinidad and Tobago ,E-Participation index,0.619,4.095,True
Tunisia ,E-Participation index,0.6905,4.452500000000001,True
Turkey ,E-Participation index,0.8929,5.4645,True
Turkmenistan ,E-Participation index,0.2024,2.012,True
Tuvalu ,E-Participation index,0.3571,2.7855,True
Uganda ,E-Participation index,0.5714,3.857,True
Ukraine,E-Participation index,0.8095,5.0475,True
United Arab Emirates ,E-Participation index,0.9405,5.7025,True
United Kingdom of Great Britain and Northern Ireland,E-Participation index,0.9762,5.881,True
United Republic of Tanzania ,E-Participation index,0.5595,3.7975,True
United States of America ,E-Participation index,1.0,6.0,True
Uruguay ,E-Participation index,0.8571,5.2855,True
Yemen ,E-Participation index,0.3095,2.5475,True
Zambia ,E-Participation index,0.3095,2.5475,True
Zimbabwe ,E-Participation index,0.4524,3.262,True
South Sudan,E-Participation index,0.0238,1.119,True
Rwanda ,E-Participation index,0.631,4.155,True
Saint Kitts and Nevis ,E-Participation index,0.3333,2.6665,True
Saint Lucia ,E-Participation index,0.3929,2.9645,True
Saint Vincent and the Grenadines ,E-Participation index,0.4643,3.3215,True
Samoa ,E-Participation index,0.25,2.25,True
San Marino ,E-Participation index,0.3095,2.5475,True
