Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Afghanistan,2020,What is the % change of government digitizing public services?,0.69,4.520408163265306,True,Digital Public Services
Albania,2020,What is the % change of government digitizing public services?,0.79,5.030612244897959,True,Digital Public Services
Algeria,2020,What is the % change of government digitizing public services?,0.71,4.622448979591836,True,Digital Public Services
Andorra,2020,What is the % change of government digitizing public services?,0.58,3.9591836734693877,True,Digital Public Services
Angola,2020,What is the % change of government digitizing public services?,0.67,4.418367346938776,True,Digital Public Services
Antigua and Barbuda,2020,What is the % change of government digitizing public services?,0.68,4.469387755102041,True,Digital Public Services
Argentina,2020,What is the % change of government digitizing public services?,0.81,5.132653061224491,True,Digital Public Services
Armenia,2020,What is the % change of government digitizing public services?,0.73,4.724489795918368,True,Digital Public Services
Australia,2020,What is the % change of government digitizing public services?,0.89,5.540816326530613,True,Digital Public Services
Austria,2020,What is the % change of government digitizing public services?,,,True,Digital Public Services
Azerbaijan,2020,What is the % change of government digitizing public services?,0.76,4.877551020408163,True,Digital Public Services
Bahamas,2020,What is the % change of government digitizing public services?,0.72,4.673469387755102,True,Digital Public Services
Bahrain,2020,What is the % change of government digitizing public services?,0.59,4.0102040816326525,True,Digital Public Services
Bangladesh,2020,What is the % change of government digitizing public services?,0.81,5.132653061224491,True,Digital Public Services
Barbados,2020,What is the % change of government digitizing public services?,0.75,4.826530612244898,True,Digital Public Services
Belarus,2020,What is the % change of government digitizing public services?,0.76,4.877551020408163,True,Digital Public Services
Belgium,2020,What is the % change of government digitizing public services?,0.92,5.6938775510204085,True,Digital Public Services
Belize,2020,What is the % change of government digitizing public services?,0.74,4.775510204081633,True,Digital Public Services
Benin,2020,What is the % change of government digitizing public services?,0.51,3.6020408163265305,True,Digital Public Services
Bhutan,2020,What is the % change of government digitizing public services?,0.91,5.642857142857142,True,Digital Public Services
Bolivia,2020,What is the % change of government digitizing public services?,0.83,5.23469387755102,True,Digital Public Services
Bosnia and Herzegovina,2020,What is the % change of government digitizing public services?,0.71,4.622448979591836,True,Digital Public Services
Botswana,2020,What is the % change of government digitizing public services?,0.77,4.928571428571429,True,Digital Public Services
Brazil,2020,What is the % change of government digitizing public services?,0.96,5.8979591836734695,True,Digital Public Services
Brunei Darussalam,2020,What is the % change of government digitizing public services?,0.67,4.418367346938776,True,Digital Public Services
Bulgaria,2020,What is the % change of government digitizing public services?,0.85,5.336734693877551,True,Digital Public Services
Burkina Faso,2020,What is the % change of government digitizing public services?,,,True,Digital Public Services
Burundi,2020,What is the % change of government digitizing public services?,0.72,4.673469387755102,True,Digital Public Services
Cambodia,2020,What is the % change of government digitizing public services?,0.65,4.316326530612245,True,Digital Public Services
Cameroon,2020,What is the % change of government digitizing public services?,0.63,4.214285714285714,True,Digital Public Services
Canada,2020,What is the % change of government digitizing public services?,0.85,5.336734693877551,True,Digital Public Services
Cabo Verde,2020,What is the % change of government digitizing public services?,0.73,4.724489795918368,True,Digital Public Services
Central African Republic,2020,What is the % change of government digitizing public services?,0.47,3.397959183673469,True,Digital Public Services
Chad,2020,What is the % change of government digitizing public services?,0.55,3.806122448979592,True,Digital Public Services
Chile,2020,What is the % change of government digitizing public services?,0.9,5.591836734693878,True,Digital Public Services
China,2020,What is the % change of government digitizing public services?,0.82,5.183673469387755,True,Digital Public Services
Colombia,2020,What is the % change of government digitizing public services?,0.92,5.6938775510204085,True,Digital Public Services
Comoros,2020,What is the % change of government digitizing public services?,0.44,3.2448979591836737,True,Digital Public Services
"Congo, Rep.",2020,What is the % change of government digitizing public services?,0.53,3.7040816326530615,True,Digital Public Services
"Congo, Dem. Rep.",2020,What is the % change of government digitizing public services?,0.56,3.8571428571428577,True,Digital Public Services
Costa Rica,2020,What is the % change of government digitizing public services?,,,True,Digital Public Services
Côte d'Ivoire,2020,What is the % change of government digitizing public services?,0.69,4.520408163265306,True,Digital Public Services
Croatia,2020,What is the % change of government digitizing public services?,0.76,4.877551020408163,True,Digital Public Services
Cuba,2020,What is the % change of government digitizing public services?,0.38,2.9387755102040813,True,Digital Public Services
Cyprus,2020,What is the % change of government digitizing public services?,0.65,4.316326530612245,True,Digital Public Services
Czech Republic,2020,What is the % change of government digitizing public services?,0.85,5.336734693877551,True,Digital Public Services
Denmark,2020,What is the % change of government digitizing public services?,0.91,5.642857142857142,True,Digital Public Services
Djibouti,2020,What is the % change of government digitizing public services?,0.65,4.316326530612245,True,Digital Public Services
Dominica,2020,What is the % change of government digitizing public services?,0.7,4.571428571428571,True,Digital Public Services
Dominican Republic,2020,What is the % change of government digitizing public services?,0.8,5.081632653061225,True,Digital Public Services
Ecuador,2020,What is the % change of government digitizing public services?,0.81,5.132653061224491,True,Digital Public Services
Egypt,2020,What is the % change of government digitizing public services?,0.9,5.591836734693878,True,Digital Public Services
El Salvador,2020,What is the % change of government digitizing public services?,0.8,5.081632653061225,True,Digital Public Services
Equatorial Guinea,2020,What is the % change of government digitizing public services?,0.0,1.0,True,Digital Public Services
Eritrea,2020,What is the % change of government digitizing public services?,0.06,1.306122448979592,True,Digital Public Services
Estonia,2020,What is the % change of government digitizing public services?,0.93,5.744897959183674,True,Digital Public Services
Ethiopia,2020,What is the % change of government digitizing public services?,,,True,Digital Public Services
Fiji,2020,What is the % change of government digitizing public services?,0.72,4.673469387755102,True,Digital Public Services
Finland,2020,What is the % change of government digitizing public services?,0.9,5.591836734693878,True,Digital Public Services
France,2020,What is the % change of government digitizing public services?,0.98,6.000000000000001,True,Digital Public Services
Gabon,2020,What is the % change of government digitizing public services?,0.43,3.193877551020408,True,Digital Public Services
Gambia,2020,What is the % change of government digitizing public services?,0.64,4.26530612244898,True,Digital Public Services
