Country Name,Indicator,data_col,new_rank_score,higher_is_better
Afghanistan,% of population with digital finance account - active (90 days),11.0,1.2173913043478262,True
Albania,% of population with digital finance account - active (90 days),29.0,2.1956521739130435,True
Arab world,% of population with digital finance account - active (90 days),26.0,2.032608695652174,True
United Arab Emirates,% of population with digital finance account - active (90 days),84.0,5.184782608695652,True
Argentina,% of population with digital finance account - active (90 days),40.0,2.7934782608695654,True
Armenia,% of population with digital finance account - active (90 days),42.0,2.9021739130434785,True
Australia,% of population with digital finance account - active (90 days),96.0,5.836956521739131,True
Austria,% of population with digital finance account - active (90 days),96.0,5.836956521739131,True
Azerbaijan,% of population with digital finance account - active (90 days),25.0,1.9782608695652173,True
Belgium,% of population with digital finance account - active (90 days),97.0,5.891304347826087,True
Benin,% of population with digital finance account - active (90 days),28.0,2.141304347826087,True
Burkina Faso,% of population with digital finance account - active (90 days),39.0,2.7391304347826084,True
Bangladesh,% of population with digital finance account - active (90 days),34.0,2.467391304347826,True
Bulgaria,% of population with digital finance account - active (90 days),65.0,4.1521739130434785,True
Bahrain,% of population with digital finance account - active (90 days),77.0,4.804347826086957,True
Bosnia and Herzegovina,% of population with digital finance account - active (90 days),50.0,3.3369565217391304,True
Belarus,% of population with digital finance account - active (90 days),79.0,4.913043478260869,True
Bolivia,% of population with digital finance account - active (90 days),40.0,2.7934782608695654,True
Brazil,% of population with digital finance account - active (90 days),58.0,3.7717391304347827,True
Botswana,% of population with digital finance account - active (90 days),42.0,2.9021739130434785,True
Central African Republic,% of population with digital finance account - active (90 days),9.0,1.108695652173913,True
Canada,% of population with digital finance account - active (90 days),98.0,5.945652173913044,True
Switzerland,% of population with digital finance account - active (90 days),96.0,5.836956521739131,True
Chile,% of population with digital finance account - active (90 days),65.0,4.1521739130434785,True
China,% of population with digital finance account - active (90 days),68.0,4.315217391304348,True
Cote d'Ivoire,% of population with digital finance account - active (90 days),38.0,2.6847826086956523,True
Cameroon,% of population with digital finance account - active (90 days),29.0,2.1956521739130435,True
"Congo, Dem. Rep.",% of population with digital finance account - active (90 days),22.0,1.8152173913043477,True
"Congo, Rep.",% of population with digital finance account - active (90 days),18.0,1.5978260869565217,True
Colombia,% of population with digital finance account - active (90 days),37.0,2.6304347826086953,True
Costa Rica,% of population with digital finance account - active (90 days),59.0,3.8260869565217392,True
Cyprus,% of population with digital finance account - active (90 days),80.0,4.967391304347826,True
Czech Republic,% of population with digital finance account - active (90 days),80.0,4.967391304347826,True
Germany,% of population with digital finance account - active (90 days),98.0,5.945652173913044,True
Denmark,% of population with digital finance account - active (90 days),99.0,6.0,True
Dominican Republic,% of population with digital finance account - active (90 days),44.0,3.010869565217391,True
Algeria,% of population with digital finance account - active (90 days),26.0,2.032608695652174,True
East Asia & Pacific (excluding high income),% of population with digital finance account - active (90 days),58.0,3.7717391304347827,True
East Asia & Pacific,% of population with digital finance account - active (90 days),62.0,3.989130434782609,True
Europe & Central Asia (excluding high income),% of population with digital finance account - active (90 days),60.0,3.880434782608696,True
Europe & Central Asia,% of population with digital finance account - active (90 days),78.0,4.858695652173913,True
Ecuador,% of population with digital finance account - active (90 days),32.0,2.358695652173913,True
"Egypt, Arab Rep.",% of population with digital finance account - active (90 days),23.0,1.8695652173913042,True
Euro area,% of population with digital finance account - active (90 days),92.0,5.619565217391305,True
Spain,% of population with digital finance account - active (90 days),90.0,5.510869565217392,True
Estonia,% of population with digital finance account - active (90 days),97.0,5.891304347826087,True
Ethiopia,% of population with digital finance account - active (90 days),12.0,1.2717391304347827,True
Finland,% of population with digital finance account - active (90 days),98.0,5.945652173913044,True
France,% of population with digital finance account - active (90 days),92.0,5.619565217391305,True
Gabon,% of population with digital finance account - active (90 days),54.0,3.5543478260869565,True
United Kingdom,% of population with digital finance account - active (90 days),96.0,5.836956521739131,True
Georgia,% of population with digital finance account - active (90 days),53.0,3.5,True
Ghana,% of population with digital finance account - active (90 days),49.0,3.282608695652174,True
Guinea,% of population with digital finance account - active (90 days),20.0,1.7065217391304348,True
Greece,% of population with digital finance account - active (90 days),74.0,4.641304347826087,True
Guatemala,% of population with digital finance account - active (90 days),33.0,2.4130434782608696,True
High income,% of population with digital finance account - active (90 days),91.0,5.565217391304348,True
"Hong Kong SAR, China",% of population with digital finance account - active (90 days),85.0,5.239130434782608,True
Honduras,% of population with digital finance account - active (90 days),37.0,2.6304347826086953,True
Croatia,% of population with digital finance account - active (90 days),83.0,5.130434782608695,True
Haiti,% of population with digital finance account - active (90 days),28.0,2.141304347826087,True
Hungary,% of population with digital finance account - active (90 days),71.0,4.478260869565217,True
Indonesia,% of population with digital finance account - active (90 days),35.0,2.5217391304347827,True
India,% of population with digital finance account - active (90 days),29.0,2.1956521739130435,True
Ireland,% of population with digital finance account - active (90 days),94.0,5.728260869565218,True
"Iran, Islamic Rep.",% of population with digital finance account - active (90 days),90.0,5.510869565217392,True
Iraq,% of population with digital finance account - active (90 days),19.0,1.6521739130434783,True
Israel,% of population with digital finance account - active (90 days),91.0,5.565217391304348,True
Italy,% of population with digital finance account - active (90 days),90.0,5.510869565217392,True
Jordan,% of population with digital finance account - active (90 days),33.0,2.4130434782608696,True
Japan,% of population with digital finance account - active (90 days),95.0,5.782608695652174,True
Kazakhstan,% of population with digital finance account - active (90 days),54.0,3.5543478260869565,True
Kenya,% of population with digital finance account - active (90 days),79.0,4.913043478260869,True
Kyrgyz Republic,% of population with digital finance account - active (90 days),36.0,2.5760869565217392,True
Cambodia,% of population with digital finance account - active (90 days),16.0,1.4891304347826086,True
"Korea, Rep.",% of population with digital finance account - active (90 days),92.0,5.619565217391305,True
Kuwait,% of population with digital finance account - active (90 days),75.0,4.695652173913043,True
