Country Name,Indicator,data_col,new_rank_score,higher_is_better
World,ICT services Exports,10.34718,1.517359,True
Afghanistan,ICT services Exports,7.49154,1.374577,True
Albania,ICT services Exports,2.78304,1.139152,True
Angola,ICT services Exports,4.288,1.2144,True
Azerbaijan,ICT services Exports,1.05807,1.0529035,True
Argentina,ICT services Exports,13.52078,1.6760389999999998,True
Australia,ICT services Exports,4.53489,1.2267445000000001,True
Austria,ICT services Exports,10.02456,1.501228,True
Bangladesh,ICT services Exports,8.11738,1.405869,True
Armenia,ICT services Exports,10.06948,1.503474,True
Belgium,ICT services Exports,11.07537,1.5537684999999999,True
Bolivia (Plurinational State of),ICT services Exports,5.46676,1.273338,True
Bosnia and Herzegovina,ICT services Exports,7.07824,1.353912,True
Brazil,ICT services Exports,7.21535,1.3607675,True
Belize,ICT services Exports,3.46369,1.1731845,True
Solomon Islands,ICT services Exports,2.14614,1.107307,True
Bulgaria,ICT services Exports,13.50752,1.675376,True
Developed economies,ICT services Exports,10.30909,1.5154545,True
Belarus,ICT services Exports,24.78162,2.239081,True
Developed economies: America,ICT services Exports,5.3762,1.26881,True
Developed economies: Asia,ICT services Exports,8.73413,1.4367065,True
Developed economies: Europe,ICT services Exports,12.32583,1.6162915,True
Developed economies: Oceania,ICT services Exports,4.41223,1.2206115,True
Cambodia,ICT services Exports,1.52937,1.0764685,True
Cameroon,ICT services Exports,4.65308,1.232654,True
Developing economies,ICT services Exports,10.37012,1.518506,True
Developing economies: Africa,ICT services Exports,5.14358,1.257179,True
Developing economies: America,ICT services Exports,4.7414,1.23707,True
Developing economies: Asia,ICT services Exports,11.56015,1.5780075,True
Canada,ICT services Exports,7.80524,1.390262,True
Developing economies: Oceania,ICT services Exports,,,True
Transition economies,ICT services Exports,11.20041,1.5600204999999998,True
Cabo Verde,ICT services Exports,1.23236,1.061618,True
Sri Lanka,ICT services Exports,14.1021,1.705105,True
Chile,ICT services Exports,4.57658,1.228829,True
China,ICT services Exports,18.99235,1.9496175,True
Colombia,ICT services Exports,4.33654,1.2168269999999999,True
Costa Rica,ICT services Exports,13.14388,1.657194,True
Croatia,ICT services Exports,5.4759,1.273795,True
Cyprus,ICT services Exports,20.14044,2.007022,True
Czechia,ICT services Exports,14.82031,1.7410155,True
Denmark,ICT services Exports,6.12896,1.306448,True
Developed economies: Asia and Oceania,ICT services Exports,7.65325,1.3826625,True
Developing economies: Asia and Oceania,ICT services Exports,11.52703,1.5763515,True
Sub-Saharan Africa excluding South Africa,ICT services Exports,5.24105,1.2620525,True
Africa excluding South Africa,ICT services Exports,5.27753,1.2638764999999998,True
Dominican Republic,ICT services Exports,0.97372,1.048686,True
Developing economies excluding China,ICT services Exports,8.79472,1.439736,True
Developing economies excluding LDCs,ICT services Exports,10.5226,1.52613,True
Ecuador,ICT services Exports,1.8644,1.09322,True
M49 developing regions,ICT services Exports,10.27029,1.5135144999999999,True
M49 developed regions,ICT services Exports,10.38055,1.5190275,True
LDCs (Least developed countries),ICT services Exports,4.87126,1.243563,True
LDCs: Africa and Haiti,ICT services Exports,5.24176,1.2620879999999999,True
LDCs: Asia,ICT services Exports,4.51453,1.2257265,True
LDCs: Islands,ICT services Exports,3.67095,1.1835475,True
El Salvador,ICT services Exports,7.62151,1.3810755,True
LLDCs (Landlocked developing countries),ICT services Exports,5.19376,1.2596880000000001,True
LDCs: Africa,ICT services Exports,5.26737,1.2633685,True
LDCs: Islands and Haiti,ICT services Exports,3.68497,1.1842485,True
SIDS (Small island developing States) (UNCTAD),ICT services Exports,1.95179,1.0975895,True
SIDS: Atlantic and Indian Ocean,ICT services Exports,2.72674,1.136337,True
