Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better
Afghanistan,2019,ICT services Imports,2.02267,1.1011335,True
Albania,2019,ICT services Imports,3.38082,1.169041,True
Angola,2019,ICT services Imports,1.80954,1.090477,True
Azerbaijan,2019,ICT services Imports,0.99593,1.0497965,True
Argentina,2019,ICT services Imports,6.40331,1.3201655,True
Australia,2019,ICT services Imports,4.53975,1.2269875,True
Austria,2019,ICT services Imports,9.3637,1.468185,True
Bangladesh,2019,ICT services Imports,0.96116,1.048058,True
Armenia,2019,ICT services Imports,1.45146,1.072573,True
Belgium,2019,ICT services Imports,7.88662,1.394331,True
Bolivia (Plurinational State of),2019,ICT services Imports,2.42999,1.1214995,True
Bosnia and Herzegovina,2019,ICT services Imports,6.23054,1.311527,True
Brazil,2019,ICT services Imports,7.67516,1.383758,True
Belize,2019,ICT services Imports,6.53528,1.326764,True
Bulgaria,2019,ICT services Imports,6.35222,1.3176109999999999,True
Belarus,2019,ICT services Imports,6.84257,1.3421285,True
Cambodia,2019,ICT services Imports,4.56518,1.228259,True
Cameroon,2019,ICT services Imports,3.81595,1.1907975,True
Cabo Verde,2019,ICT services Imports,4.11784,1.205892,True
Sri Lanka,2019,ICT services Imports,7.77962,1.388981,True
Chile,2019,ICT services Imports,4.22953,1.2114765,True
China,2019,ICT services Imports,5.36483,1.2682415,True
Colombia,2019,ICT services Imports,5.56202,1.278101,True
Costa Rica,2019,ICT services Imports,6.37941,1.3189705,True
Croatia,2019,ICT services Imports,7.75235,1.3876175,True
Cyprus,2019,ICT services Imports,21.85836,2.092918,True
Czechia,2019,ICT services Imports,8.36134,1.418067,True
Denmark,2019,ICT services Imports,7.98079,1.3990395,True
Dominican Republic,2019,ICT services Imports,1.61307,1.0806535,True
Ecuador,2019,ICT services Imports,2.3882,1.11941,True
El Salvador,2019,ICT services Imports,2.7456,1.13728,True
Estonia,2019,ICT services Imports,9.41196,1.470598,True
Fiji,2019,ICT services Imports,4.45656,1.222828,True
Finland,2019,ICT services Imports,12.68977,1.6344884999999998,True
France,2019,ICT services Imports,8.1401,1.407005,True
Georgia,2019,ICT services Imports,3.18869,1.1594345,True
Gambia,2019,ICT services Imports,3.32085,1.1660425,True
Germany,2019,ICT services Imports,10.8449,1.542245,True
Greece,2019,ICT services Imports,3.57787,1.1788935,True
Guatemala,2019,ICT services Imports,8.72916,1.436458,True
Honduras,2019,ICT services Imports,6.93663,1.3468315,True
Hungary,2019,ICT services Imports,8.35626,1.417813,True
India,2019,ICT services Imports,5.1082,1.25541,True
Indonesia,2019,ICT services Imports,7.9919,1.399595,True
Iraq,2019,ICT services Imports,2.63454,1.131727,True
Ireland,2019,ICT services Imports,1.76475,1.0882375,True
Italy,2019,ICT services Imports,8.9766,1.44883,True
Japan,2019,ICT services Imports,9.28567,1.4642835,True
Kazakhstan,2019,ICT services Imports,2.21744,1.110872,True
"Korea, Republic of",2019,ICT services Imports,2.23178,1.111589,True
Kuwait,2019,ICT services Imports,1.34096,1.067048,True
Kyrgyzstan,2019,ICT services Imports,2.22095,1.1110475,True
Lesotho,2019,ICT services Imports,1.76687,1.0883435,True
Latvia,2019,ICT services Imports,9.76453,1.4882265000000001,True
Malta,2019,ICT services Imports,2.80294,1.140147,True
Mauritius,2019,ICT services Imports,4.52969,1.2264845,True
Mongolia,2019,ICT services Imports,3.54743,1.1773715,True
"Moldova, Republic of",2019,ICT services Imports,7.80782,1.3903910000000002,True
Montenegro,2019,ICT services Imports,9.19718,1.459859,True
Morocco,2019,ICT services Imports,3.32068,1.166034,True
Namibia,2019,ICT services Imports,5.39567,1.2697835,True
Netherlands,2019,ICT services Imports,6.91324,1.345662,True
Curaçao,2019,ICT services Imports,5.47155,1.2735775,True
Sint Maarten (Dutch part),2019,ICT services Imports,3.16137,1.1580685,True
Nigeria,2019,ICT services Imports,0.73577,1.0367885000000001,True
Norway,2019,ICT services Imports,8.56886,1.4284430000000001,True
Pakistan,2019,ICT services Imports,4.39576,1.2197879999999999,True
Panama,2019,ICT services Imports,1.39224,1.069612,True
Paraguay,2019,ICT services Imports,0.08007,1.0040035,True
Philippines,2019,ICT services Imports,4.67874,1.233937,True
Poland,2019,ICT services Imports,9.19307,1.4596535,True
Portugal,2019,ICT services Imports,5.34792,1.267396,True
Timor-Leste,2019,ICT services Imports,0.36621,1.0183105,True
Romania,2019,ICT services Imports,12.48612,1.624306,True
Russian Federation,2019,ICT services Imports,4.80833,1.2404165,True
Sao Tome and Principe,2019,ICT services Imports,2.17173,1.1085865,True
Serbia,2019,ICT services Imports,9.98599,1.4992995,True
Seychelles,2019,ICT services Imports,0.23484,1.011742,True
Singapore,2019,ICT services Imports,6.92204,1.346102,True
Slovakia,2019,ICT services Imports,7.72518,1.386259,True
Viet Nam,2019,ICT services Imports,1.47716,1.073858,True
Slovenia,2019,ICT services Imports,8.60778,1.430389,True
Suriname,2019,ICT services Imports,4.96799,1.2483995,True
Eswatini,2019,ICT services Imports,1.91773,1.0958865,True
Sweden,2019,ICT services Imports,10.53007,1.5265035,True
Tajikistan,2019,ICT services Imports,1.20786,1.060393,True
Thailand,2019,ICT services Imports,1.61118,1.080559,True
Trinidad and Tobago,2019,ICT services Imports,2.54976,1.127488,True
United Arab Emirates,2019,ICT services Imports,4.85294,1.242647,True
Turkey,2019,ICT services Imports,5.77348,1.2886739999999999,True
Uganda,2019,ICT services Imports,0.72693,1.0363465,True
Ukraine,2019,ICT services Imports,4.3818,1.21909,True
North Macedonia,2019,ICT services Imports,6.69244,1.334622,True
Egypt,2019,ICT services Imports,3.11157,1.1555785,True
United States of America,2019,ICT services Imports,6.73466,1.336733,True
Uruguay,2019,ICT services Imports,9.72071,1.4860355,True
Uzbekistan,2019,ICT services Imports,1.27386,1.063693,True
Samoa,2019,ICT services Imports,2.42661,1.1213305,True
Zambia,2019,ICT services Imports,4.87508,1.243754,True
United Kingdom,2019,ICT services Imports,4.2194,1.21097,True
