Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Aruba,2019,% of population covered by electricity,100.0,6.0,True,Connectivity Technology
Africa Eastern and Southern,2019,% of population covered by electricity,43.64066111,3.1820330555000003,True,Connectivity Technology
Afghanistan,2019,% of population covered by electricity,97.7,5.885,True,Connectivity Technology
Africa Western and Central,2019,% of population covered by electricity,51.34142147,3.5670710735,True,Connectivity Technology
Angola,2019,% of population covered by electricity,45.67031479,3.2835157395,True,Connectivity Technology
Albania,2019,% of population covered by electricity,100.0,6.0,True,Connectivity Technology
Andorra,2019,% of population covered by electricity,100.0,6.0,True,Connectivity Technology
Arab World,2019,% of population covered by electricity,89.51228232,5.475614116,True,Connectivity Technology
United Arab Emirates,2019,% of population covered by electricity,100.0,6.0,True,Connectivity Technology
Argentina,2019,% of population covered by electricity,100.0,6.0,True,Connectivity Technology
Armenia,2019,% of population covered by electricity,100.0,6.0,True,Connectivity Technology
American Samoa,2019,% of population covered by electricity,,,True,Connectivity Technology
Antigua and Barbuda,2019,% of population covered by electricity,100.0,6.0,True,Connectivity Technology
Australia,2019,% of population covered by electricity,100.0,6.0,True,Connectivity Technology
Austria,2019,% of population covered by electricity,100.0,6.0,True,Connectivity Technology
Azerbaijan,2019,% of population covered by electricity,100.0,6.0,True,Connectivity Technology
Burundi,2019,% of population covered by electricity,11.0647974,1.55323987,True,Connectivity Technology
Belgium,2019,% of population covered by electricity,100.0,6.0,True,Connectivity Technology
Benin,2019,% of population covered by electricity,40.31874084,3.015937042,True,Connectivity Technology
Burkina Faso,2019,% of population covered by electricity,18.3791523,1.918957615,True,Connectivity Technology
Bangladesh,2019,% of population covered by electricity,92.2,5.61,True,Connectivity Technology
Bulgaria,2019,% of population covered by electricity,100.0,6.0,True,Connectivity Technology
Bahrain,2019,% of population covered by electricity,100.0,6.0,True,Connectivity Technology
"Bahamas, The",2019,% of population covered by electricity,100.0,6.0,True,Connectivity Technology
Bosnia and Herzegovina,2019,% of population covered by electricity,100.0,6.0,True,Connectivity Technology
Belarus,2019,% of population covered by electricity,100.0,6.0,True,Connectivity Technology
Belize,2019,% of population covered by electricity,92.72,5.636,True,Connectivity Technology
Bermuda,2019,% of population covered by electricity,100.0,6.0,True,Connectivity Technology
Bolivia,2019,% of population covered by electricity,96.30310059,5.8151550295,True,Connectivity Technology
Brazil,2019,% of population covered by electricity,99.8,5.99,True,Connectivity Technology
Barbados,2019,% of population covered by electricity,100.0,6.0,True,Connectivity Technology
Brunei Darussalam,2019,% of population covered by electricity,100.0,6.0,True,Connectivity Technology
Bhutan,2019,% of population covered by electricity,100.0,6.0,True,Connectivity Technology
Botswana,2019,% of population covered by electricity,70.18318176,4.5091590880000005,True,Connectivity Technology
