Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Cabo Verde,2019.0,% of population covered by internet connectivity,61.94339776,4.090975548224,True,Connectivity Technology
Central African Rep.,2019.0,% of population covered by internet connectivity,,,True,Connectivity Technology
Congo (Rep. of the),2019.0,% of population covered by internet connectivity,,,True,Connectivity Technology
Côte d'Ivoire,2019.0,% of population covered by internet connectivity,36.28895457,2.810818833043,True,Connectivity Technology
Equatorial Guinea,2019.0,% of population covered by internet connectivity,,,True,Connectivity Technology
Eritrea,2019.0,% of population covered by internet connectivity,,,True,Connectivity Technology
Eswatini,2019.0,% of population covered by internet connectivity,,,True,Connectivity Technology
Kenya,2019.0,% of population covered by internet connectivity,22.56511937,2.125999456563,True,Connectivity Technology
Lesotho,2019.0,% of population covered by internet connectivity,42.30173357,3.1108565051430004,True,Connectivity Technology
Madagascar,2019.0,% of population covered by internet connectivity,,,True,Connectivity Technology
Mauritius,2019.0,% of population covered by internet connectivity,61.72995515,4.0803247619850005,True,Connectivity Technology
Niger,2019.0,% of population covered by internet connectivity,,,True,Connectivity Technology
South Sudan,2019.0,% of population covered by internet connectivity,,,True,Connectivity Technology
Uganda,2019.0,% of population covered by internet connectivity,,,True,Connectivity Technology
Bahrain,2019.0,% of population covered by internet connectivity,99.70149256,5.975104478744,True,Connectivity Technology
Comoros,2019.0,% of population covered by internet connectivity,,,True,Connectivity Technology
Egypt,2019.0,% of population covered by internet connectivity,57.2828664,3.85841503336,True,Connectivity Technology
Iraq,2019.0,% of population covered by internet connectivity,,,True,Connectivity Technology
Kuwait,2019.0,% of population covered by internet connectivity,99.54267645,5.967179554855001,True,Connectivity Technology
Libya,2019.0,% of population covered by internet connectivity,,,True,Connectivity Technology
Morocco,2019.0,% of population covered by internet connectivity,74.37631447,4.711378092053,True,Connectivity Technology
Palestine,2019.0,% of population covered by internet connectivity,70.6225837,4.524066926630001,True,Connectivity Technology
Qatar,2019.0,% of population covered by internet connectivity,99.65280421,5.972674930079,True,Connectivity Technology
