Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Afghanistan,2019,% of population covered by mobile 2G+ data connectivity,90.0,4.921251348435814,True,Connectivity Technology
Angola,2019,% of population covered by mobile 2G+ data connectivity,90.0,4.921251348435814,True,Connectivity Technology
Albania,2019,% of population covered by mobile 2G+ data connectivity,99.86,5.9848975188781015,True,Connectivity Technology
United Arab Emirates,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Argentina,2019,% of population covered by mobile 2G+ data connectivity,98.0,5.7842502696871625,True,Connectivity Technology
Armenia,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Australia,2019,% of population covered by mobile 2G+ data connectivity,99.4,5.935275080906149,True,Connectivity Technology
Austria,2019,% of population covered by mobile 2G+ data connectivity,99.0,5.892125134843582,True,Connectivity Technology
Azerbaijan,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Burundi,2019,% of population covered by mobile 2G+ data connectivity,53.65,1.0,True,Connectivity Technology
Belgium,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Benin,2019,% of population covered by mobile 2G+ data connectivity,98.0,5.7842502696871625,True,Connectivity Technology
Burkina Faso,2019,% of population covered by mobile 2G+ data connectivity,97.9,5.773462783171522,True,Connectivity Technology
Bangladesh,2019,% of population covered by mobile 2G+ data connectivity,99.6,5.956850053937432,True,Connectivity Technology
Bulgaria,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Bahrain,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Bahamas,2019,% of population covered by mobile 2G+ data connectivity,99.0,5.892125134843582,True,Connectivity Technology
Bosnia and Herzegovina,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Belarus,2019,% of population covered by mobile 2G+ data connectivity,99.9,5.989212513484358,True,Connectivity Technology
Belize,2019,% of population covered by mobile 2G+ data connectivity,93.0,5.24487594390507,True,Connectivity Technology
Bolivia,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Brazil,2019,% of population covered by mobile 2G+ data connectivity,95.83,5.550161812297735,True,Connectivity Technology
Barbados,2019,% of population covered by mobile 2G+ data connectivity,99.6,5.956850053937432,True,Connectivity Technology
Brunei Darussalam,2019,% of population covered by mobile 2G+ data connectivity,99.06,5.8985976267529665,True,Connectivity Technology
Bhutan,2019,% of population covered by mobile 2G+ data connectivity,98.0,5.7842502696871625,True,Connectivity Technology
Botswana,2019,% of population covered by mobile 2G+ data connectivity,97.0,5.676375404530744,True,Connectivity Technology
Central African Republic,2019,% of population covered by mobile 2G+ data connectivity,57.08,1.3700107874865157,True,Connectivity Technology
Canada,2019,% of population covered by mobile 2G+ data connectivity,99.5,5.946062567421791,True,Connectivity Technology
Switzerland,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Chile,2019,% of population covered by mobile 2G+ data connectivity,99.0,5.892125134843582,True,Connectivity Technology
China,2019,% of population covered by mobile 2G+ data connectivity,99.9,5.989212513484358,True,Connectivity Technology
Cote d'Ivoire,2019,% of population covered by mobile 2G+ data connectivity,97.12,5.689320388349515,True,Connectivity Technology
Cameroon,2019,% of population covered by mobile 2G+ data connectivity,95.81,5.548004314994606,True,Connectivity Technology
"Congo, Democratic Republic",2019,% of population covered by mobile 2G+ data connectivity,73.0,3.087378640776699,True,Connectivity Technology
Congo,2019,% of population covered by mobile 2G+ data connectivity,86.0,4.48975188781014,True,Connectivity Technology
Colombia,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Comoros,2019,% of population covered by mobile 2G+ data connectivity,90.85,5.01294498381877,True,Connectivity Technology
Cabo Verde,2019,% of population covered by mobile 2G+ data connectivity,99.34,5.928802588996764,True,Connectivity Technology
Costa Rica,2019,% of population covered by mobile 2G+ data connectivity,97.31,5.7098166127292345,True,Connectivity Technology
Cyprus,2019,% of population covered by mobile 2G+ data connectivity,99.98,5.997842502696872,True,Connectivity Technology
Czechia,2019,% of population covered by mobile 2G+ data connectivity,99.8,5.978425026968716,True,Connectivity Technology
Germany,2019,% of population covered by mobile 2G+ data connectivity,99.0,5.892125134843582,True,Connectivity Technology
Denmark,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Dominican Republic,2019,% of population covered by mobile 2G+ data connectivity,99.56,5.952535059331176,True,Connectivity Technology
Algeria,2019,% of population covered by mobile 2G+ data connectivity,98.04,5.78856526429342,True,Connectivity Technology
Ecuador,2019,% of population covered by mobile 2G+ data connectivity,95.38,5.501618122977345,True,Connectivity Technology
Egypt,2019,% of population covered by mobile 2G+ data connectivity,99.8,5.978425026968716,True,Connectivity Technology
Spain,2019,% of population covered by mobile 2G+ data connectivity,99.8,5.978425026968716,True,Connectivity Technology
Estonia,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Ethiopia,2019,% of population covered by mobile 2G+ data connectivity,97.0,5.676375404530744,True,Connectivity Technology
Finland,2019,% of population covered by mobile 2G+ data connectivity,99.99,5.998921251348436,True,Connectivity Technology
Fiji,2019,% of population covered by mobile 2G+ data connectivity,98.0,5.7842502696871625,True,Connectivity Technology
France,2019,% of population covered by mobile 2G+ data connectivity,99.0,5.892125134843582,True,Connectivity Technology
Gabon,2019,% of population covered by mobile 2G+ data connectivity,99.0,5.892125134843582,True,Connectivity Technology
United Kingdom,2019,% of population covered by mobile 2G+ data connectivity,99.9,5.989212513484358,True,Connectivity Technology
Georgia,2019,% of population covered by mobile 2G+ data connectivity,99.98,5.997842502696872,True,Connectivity Technology
Ghana,2019,% of population covered by mobile 2G+ data connectivity,96.79,5.653721682847897,True,Connectivity Technology
Guinea,2019,% of population covered by mobile 2G+ data connectivity,91.0,5.0291262135922326,True,Connectivity Technology
Gambia,2019,% of population covered by mobile 2G+ data connectivity,98.0,5.7842502696871625,True,Connectivity Technology
Guinea-Bissau,2019,% of population covered by mobile 2G+ data connectivity,98.8,5.8705501618122975,True,Connectivity Technology
Greece,2019,% of population covered by mobile 2G+ data connectivity,99.9,5.989212513484358,True,Connectivity Technology
Guatemala,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Guyana,2019,% of population covered by mobile 2G+ data connectivity,97.0,5.676375404530744,True,Connectivity Technology
Hong Kong,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Honduras,2019,% of population covered by mobile 2G+ data connectivity,90.74,5.0010787486515635,True,Connectivity Technology
Croatia,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Haiti,2019,% of population covered by mobile 2G+ data connectivity,61.0,1.7928802588996766,True,Connectivity Technology
Hungary,2019,% of population covered by mobile 2G+ data connectivity,99.2,5.913700107874866,True,Connectivity Technology
Indonesia,2019,% of population covered by mobile 2G+ data connectivity,98.71,5.860841423948219,True,Connectivity Technology
India,2019,% of population covered by mobile 2G+ data connectivity,97.0,5.676375404530744,True,Connectivity Technology
Ireland,2019,% of population covered by mobile 2G+ data connectivity,99.0,5.892125134843582,True,Connectivity Technology
Iran,2019,% of population covered by mobile 2G+ data connectivity,96.5,5.622437971952535,True,Connectivity Technology
Iraq,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Iceland,2019,% of population covered by mobile 2G+ data connectivity,99.0,5.892125134843582,True,Connectivity Technology
Israel,2019,% of population covered by mobile 2G+ data connectivity,99.0,5.892125134843582,True,Connectivity Technology
Italy,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Jamaica,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Jordan,2019,% of population covered by mobile 2G+ data connectivity,99.98,5.997842502696872,True,Connectivity Technology
Japan,2019,% of population covered by mobile 2G+ data connectivity,99.9,5.989212513484358,True,Connectivity Technology
Kazakhstan,2019,% of population covered by mobile 2G+ data connectivity,96.6,5.633225458468176,True,Connectivity Technology
Kenya,2019,% of population covered by mobile 2G+ data connectivity,96.0,5.568500539374326,True,Connectivity Technology
Kyrgyzstan,2019,% of population covered by mobile 2G+ data connectivity,99.2,5.913700107874866,True,Connectivity Technology
Cambodia,2019,% of population covered by mobile 2G+ data connectivity,99.0,5.892125134843582,True,Connectivity Technology
"Korea, South",2019,% of population covered by mobile 2G+ data connectivity,99.9,5.989212513484358,True,Connectivity Technology
Kuwait,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Laos,2019,% of population covered by mobile 2G+ data connectivity,94.0,5.352750809061488,True,Connectivity Technology
Lebanon,2019,% of population covered by mobile 2G+ data connectivity,99.5,5.946062567421791,True,Connectivity Technology
Liberia,2019,% of population covered by mobile 2G+ data connectivity,76.0,3.411003236245955,True,Connectivity Technology
Libya,2019,% of population covered by mobile 2G+ data connectivity,78.0,3.626752966558792,True,Connectivity Technology
Saint Lucia,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Sri Lanka,2019,% of population covered by mobile 2G+ data connectivity,99.0,5.892125134843582,True,Connectivity Technology
Lesotho,2019,% of population covered by mobile 2G+ data connectivity,98.63,5.852211434735706,True,Connectivity Technology
Lithuania,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Luxembourg,2019,% of population covered by mobile 2G+ data connectivity,99.0,5.892125134843582,True,Connectivity Technology
Latvia,2019,% of population covered by mobile 2G+ data connectivity,99.0,5.892125134843582,True,Connectivity Technology
Morocco,2019,% of population covered by mobile 2G+ data connectivity,99.7,5.967637540453075,True,Connectivity Technology
Moldova,2019,% of population covered by mobile 2G+ data connectivity,99.99,5.998921251348436,True,Connectivity Technology
Madagascar,2019,% of population covered by mobile 2G+ data connectivity,80.0,3.842502696871629,True,Connectivity Technology
Maldives,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Mexico,2019,% of population covered by mobile 2G+ data connectivity,89.64,4.8824163969795045,True,Connectivity Technology
North Macedonia,2019,% of population covered by mobile 2G+ data connectivity,99.88,5.9870550161812295,True,Connectivity Technology
Mali,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Malta,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Myanmar,2019,% of population covered by mobile 2G+ data connectivity,95.15,5.4768069039913705,True,Connectivity Technology
Montenegro,2019,% of population covered by mobile 2G+ data connectivity,99.58,5.9546925566343045,True,Connectivity Technology
Mongolia,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Mozambique,2019,% of population covered by mobile 2G+ data connectivity,85.0,4.381877022653722,True,Connectivity Technology
Mauritania,2019,% of population covered by mobile 2G+ data connectivity,96.0,5.568500539374326,True,Connectivity Technology
Mauritius,2019,% of population covered by mobile 2G+ data connectivity,99.0,5.892125134843582,True,Connectivity Technology
Malawi,2019,% of population covered by mobile 2G+ data connectivity,84.0,4.2740021574973035,True,Connectivity Technology
Malaysia,2019,% of population covered by mobile 2G+ data connectivity,96.3,5.600862998921251,True,Connectivity Technology
Namibia,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Niger,2019,% of population covered by mobile 2G+ data connectivity,92.0,5.137001078748652,True,Connectivity Technology
Nigeria,2019,% of population covered by mobile 2G+ data connectivity,89.0,4.813376483279396,True,Connectivity Technology
Nicaragua,2019,% of population covered by mobile 2G+ data connectivity,91.0,5.0291262135922326,True,Connectivity Technology
Netherlands,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Norway,2019,% of population covered by mobile 2G+ data connectivity,99.9,5.989212513484358,True,Connectivity Technology
Nepal,2019,% of population covered by mobile 2G+ data connectivity,92.0,5.137001078748652,True,Connectivity Technology
New Zealand,2019,% of population covered by mobile 2G+ data connectivity,98.0,5.7842502696871625,True,Connectivity Technology
Oman,2019,% of population covered by mobile 2G+ data connectivity,99.3,5.924487594390507,True,Connectivity Technology
Pakistan,2019,% of population covered by mobile 2G+ data connectivity,88.7,4.781014023732471,True,Connectivity Technology
Panama,2019,% of population covered by mobile 2G+ data connectivity,96.0,5.568500539374326,True,Connectivity Technology
Peru,2019,% of population covered by mobile 2G+ data connectivity,83.0,4.166127292340884,True,Connectivity Technology
Philippines,2019,% of population covered by mobile 2G+ data connectivity,99.0,5.892125134843582,True,Connectivity Technology
Papua New Guinea,2019,% of population covered by mobile 2G+ data connectivity,89.0,4.813376483279396,True,Connectivity Technology
Poland,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Portugal,2019,% of population covered by mobile 2G+ data connectivity,99.88,5.9870550161812295,True,Connectivity Technology
Paraguay,2019,% of population covered by mobile 2G+ data connectivity,98.8,5.8705501618122975,True,Connectivity Technology
Qatar,2019,% of population covered by mobile 2G+ data connectivity,100.0,6.0,True,Connectivity Technology
Romania,2019,% of population covered by mobile 2G+ data connectivity,99.96,5.995685005393743,True,Connectivity Technology
Russian Federation,2019,% of population covered by mobile 2G+ data connectivity,91.0,5.0291262135922326,True,Connectivity Technology
Rwanda,2019,% of population covered by mobile 2G+ data connectivity,99.92,5.991370010787487,True,Connectivity Technology
Saudi Arabia,2019,% of population covered by mobile 2G+ data connectivity,99.42,5.937432578209277,True,Connectivity Technology
Sudan,2019,% of population covered by mobile 2G+ data connectivity,90.0,4.921251348435814,True,Connectivity Technology
Senegal,2019,% of population covered by mobile 2G+ data connectivity,97.9,5.773462783171522,True,Connectivity Technology
