Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Singapore,2021,Average fixed broadband download speeds ,226.6,6.0,True,Connectivity Technology
Hong Kong,2021,Average fixed broadband download speeds ,210.73,5.644489247311828,True,Connectivity Technology
Romania,2021,Average fixed broadband download speeds ,193.47,5.257840501792114,True,Connectivity Technology
Switzerland,2021,Average fixed broadband download speeds ,178.81,4.929435483870968,True,Connectivity Technology
Thailand,2021,Average fixed broadband download speeds ,175.22,4.849014336917563,True,Connectivity Technology
France,2021,Average fixed broadband download speeds ,173.05,4.800403225806452,True,Connectivity Technology
Denmark,2021,Average fixed broadband download speeds ,162.08,4.5546594982078865,True,Connectivity Technology
Monaco,2021,Average fixed broadband download speeds ,162.06,4.55421146953405,True,Connectivity Technology
Hungary,2021,Average fixed broadband download speeds ,161.51,4.541890681003585,True,Connectivity Technology
United States,2021,Average fixed broadband download speeds ,161.14,4.533602150537634,True,Connectivity Technology
Spain,2021,Average fixed broadband download speeds ,157.22,4.44578853046595,True,Connectivity Technology
Liechtenstein,2021,Average fixed broadband download speeds ,156.94,4.439516129032258,True,Connectivity Technology
Sweden,2021,Average fixed broadband download speeds ,156.34,4.426075268817204,True,Connectivity Technology
South Korea,2021,Average fixed broadband download speeds ,155.39,4.404793906810036,True,Connectivity Technology
Macau,2021,Average fixed broadband download speeds ,154.57,4.386424731182796,True,Connectivity Technology
Andorra,2021,Average fixed broadband download speeds ,150.39,4.292786738351254,True,Connectivity Technology
Canada,2021,Average fixed broadband download speeds ,145.24,4.17741935483871,True,Connectivity Technology
Norway,2021,Average fixed broadband download speeds ,141.57,4.095206093189963,True,Connectivity Technology
Luxembourg,2021,Average fixed broadband download speeds ,139.4,4.046594982078853,True,Connectivity Technology
China,2021,Average fixed broadband download speeds ,138.66,4.030017921146953,True,Connectivity Technology
Chile,2021,Average fixed broadband download speeds ,136.11,3.9728942652329753,True,Connectivity Technology
New Zealand,2021,Average fixed broadband download speeds ,135.92,3.968637992831541,True,Connectivity Technology
Taiwan,2021,Average fixed broadband download speeds ,135.4,3.956989247311828,True,Connectivity Technology
Japan,2021,Average fixed broadband download speeds ,132.75,3.897625448028674,True,Connectivity Technology
Portugal,2021,Average fixed broadband download speeds ,126.33,3.753808243727599,True,Connectivity Technology
Netherlands,2021,Average fixed broadband download speeds ,124.36,3.7096774193548385,True,Connectivity Technology
Lithuania,2021,Average fixed broadband download speeds ,122.04,3.6577060931899643,True,Connectivity Technology
