Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Hong Kong,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
China,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
Denmark,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
New Zealand,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
Japan,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
Lebanon,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
Singapore,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
Qatar,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
South Korea,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
Australia,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
Thailand,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
Vietnam,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
Sweden,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
Norway,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
Malaysia,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
United Kingdom,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
Spain,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
Portugal,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
Netherlands,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
Mauritius,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
Italy,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
Jordan,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
France,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
Greece,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
San Marino,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
UA Emirates,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
Luxembourg,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
Kuwait,2017,Banking Ecosystem size,100.0,6.0,True,Innovation Ecosystem
