Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Angola,2020,Broadband Density,0.70166157,1.0350830785,True,Connectivity Technology
Benin,2020,Broadband Density,0.247302692,1.0123651346,True,Connectivity Technology
Botswana,2020,Broadband Density,3.057372619,1.15286863095,True,Connectivity Technology
Burkina Faso,2020,Broadband Density,0.066874695,1.00334373475,True,Connectivity Technology
Burundi,2020,Broadband Density,0.035573769,1.00177868845,True,Connectivity Technology
Cabo Verde,2020,Broadband Density,4.4675505,1.223377525,True,Connectivity Technology
Cameroon,2020,Broadband Density,2.689100746,1.1344550373,True,Connectivity Technology
Central African Rep.,2020,Broadband Density,,,True,Connectivity Technology
Chad,2020,Broadband Density,0.0,1.0,True,Connectivity Technology
Congo (Rep. of the),2020,Broadband Density,,,True,Connectivity Technology
Côte d'Ivoire,2020,Broadband Density,0.986027365,1.04930136825,True,Connectivity Technology
Dem. Rep. of the Congo,2020,Broadband Density,,,True,Connectivity Technology
Equatorial Guinea,2020,Broadband Density,,,True,Connectivity Technology
Eritrea,2020,Broadband Density,,,True,Connectivity Technology
Eswatini,2020,Broadband Density,,,True,Connectivity Technology
Ethiopia,2020,Broadband Density,,,True,Connectivity Technology
Gabon,2020,Broadband Density,2.004147845,1.10020739225,True,Connectivity Technology
Gambia,2020,Broadband Density,,,True,Connectivity Technology
Ghana,2020,Broadband Density,0.252216237,1.01261081185,True,Connectivity Technology
Guinea,2020,Broadband Density,,,True,Connectivity Technology
Guinea-Bissau,2020,Broadband Density,0.121087337,1.00605436685,True,Connectivity Technology
Kenya,2020,Broadband Density,1.253812071,1.0626906035500001,True,Connectivity Technology
Lesotho,2020,Broadband Density,0.236200367,1.01181001835,True,Connectivity Technology
Liberia,2020,Broadband Density,,,True,Connectivity Technology
Madagascar,2020,Broadband Density,,,True,Connectivity Technology
Malawi,2020,Broadband Density,0.064061844,1.0032030922,True,Connectivity Technology
Mali,2020,Broadband Density,1.203930722,1.0601965361,True,Connectivity Technology
Mauritius,2020,Broadband Density,25.32694642,2.266347321,True,Connectivity Technology
Mozambique,2020,Broadband Density,,,True,Connectivity Technology
Namibia,2020,Broadband Density,2.796759422,1.1398379711,True,Connectivity Technology
Niger,2020,Broadband Density,,,True,Connectivity Technology
Nigeria,2020,Broadband Density,0.03168387,1.0015841935,True,Connectivity Technology
Rwanda,2020,Broadband Density,0.136540321,1.00682701605,True,Connectivity Technology
Sao Tome and Principe,2020,Broadband Density,1.146199791,1.05730998955,True,Connectivity Technology
Senegal,2020,Broadband Density,1.059267638,1.0529633819,True,Connectivity Technology
Seychelles,2020,Broadband Density,35.55370271,2.7776851355000005,True,Connectivity Technology
Sierra Leone,2020,Broadband Density,,,True,Connectivity Technology
South Africa,2020,Broadband Density,2.19707601,1.1098538005,True,Connectivity Technology
South Sudan,2020,Broadband Density,,,True,Connectivity Technology
Tanzania,2020,Broadband Density,1.815873776,1.0907936888,True,Connectivity Technology
Togo,2020,Broadband Density,0.636644005,1.03183220025,True,Connectivity Technology
Uganda,2020,Broadband Density,0.075634539,1.00378172695,True,Connectivity Technology
Zambia,2020,Broadband Density,0.447765456,1.0223882728,True,Connectivity Technology
Zimbabwe,2020,Broadband Density,1.368916372,1.0684458186,True,Connectivity Technology
Algeria,2020,Broadband Density,8.643942434,1.4321971217,True,Connectivity Technology
Bahrain,2020,Broadband Density,8.732791678,1.4366395839,True,Connectivity Technology
Comoros,2020,Broadband Density,0.104875684,1.0052437842,True,Connectivity Technology
Djibouti,2020,Broadband Density,2.535728745,1.12678643725,True,Connectivity Technology
Egypt,2020,Broadband Density,9.136193337,1.45680966685,True,Connectivity Technology
Iraq,2020,Broadband Density,13.5590775,1.677953875,True,Connectivity Technology
Jordan,2020,Broadband Density,6.132008067,1.30660040335,True,Connectivity Technology
Kuwait,2020,Broadband Density,1.731571727,1.08657858635,True,Connectivity Technology
Lebanon,2020,Broadband Density,6.330283227,1.31651416135,True,Connectivity Technology
Libya,2020,Broadband Density,,,True,Connectivity Technology
Mauritania,2020,Broadband Density,0.413922916,1.0206961458,True,Connectivity Technology
Morocco,2020,Broadband Density,5.696023035,1.28480115175,True,Connectivity Technology
