Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Afghanistan,2019,"Country, Industry, Skill Migration Data (Industry)",-1369.0,2,True,Innovation Ecosystem
Albania,2019,"Country, Industry, Skill Migration Data (Industry)",-2188.08,2,True,Innovation Ecosystem
Algeria,2019,"Country, Industry, Skill Migration Data (Industry)",-3243.7800000000007,1,True,Innovation Ecosystem
Angola,2019,"Country, Industry, Skill Migration Data (Industry)",544.66,5,True,Innovation Ecosystem
Argentina,2019,"Country, Industry, Skill Migration Data (Industry)",-4122.869999999999,1,True,Innovation Ecosystem
Armenia,2019,"Country, Industry, Skill Migration Data (Industry)",-308.21999999999997,3,True,Innovation Ecosystem
Australia,2019,"Country, Industry, Skill Migration Data (Industry)",13732.49,6,True,Innovation Ecosystem
Austria,2019,"Country, Industry, Skill Migration Data (Industry)",7143.279999999999,6,True,Innovation Ecosystem
Azerbaijan,2019,"Country, Industry, Skill Migration Data (Industry)",-1030.96,2,True,Innovation Ecosystem
"Bahamas, The",2019,"Country, Industry, Skill Migration Data (Industry)",-202.83,3,True,Innovation Ecosystem
Bahrain,2019,"Country, Industry, Skill Migration Data (Industry)",-416.67999999999995,3,True,Innovation Ecosystem
Bangladesh,2019,"Country, Industry, Skill Migration Data (Industry)",-2270.3699999999994,2,True,Innovation Ecosystem
Belarus,2019,"Country, Industry, Skill Migration Data (Industry)",-431.2,3,True,Innovation Ecosystem
Belgium,2019,"Country, Industry, Skill Migration Data (Industry)",3728.6400000000012,6,True,Innovation Ecosystem
Benin,2019,"Country, Industry, Skill Migration Data (Industry)",-129.29,4,True,Innovation Ecosystem
Bolivia,2019,"Country, Industry, Skill Migration Data (Industry)",-291.11,3,True,Innovation Ecosystem
Bosnia and Herzegovina,2019,"Country, Industry, Skill Migration Data (Industry)",-280.68,3,True,Innovation Ecosystem
Botswana,2019,"Country, Industry, Skill Migration Data (Industry)",-82.5,4,True,Innovation Ecosystem
Brazil,2019,"Country, Industry, Skill Migration Data (Industry)",-6836.160000000002,1,True,Innovation Ecosystem
Bulgaria,2019,"Country, Industry, Skill Migration Data (Industry)",-617.7799999999999,3,True,Innovation Ecosystem
Burkina Faso,2019,"Country, Industry, Skill Migration Data (Industry)",16.029999999999998,4,True,Innovation Ecosystem
Cambodia,2019,"Country, Industry, Skill Migration Data (Industry)",-3.680000000000007,4,True,Innovation Ecosystem
Cameroon,2019,"Country, Industry, Skill Migration Data (Industry)",-2623.5600000000004,2,True,Innovation Ecosystem
Canada,2019,"Country, Industry, Skill Migration Data (Industry)",19225.950000000004,6,True,Innovation Ecosystem
Chile,2019,"Country, Industry, Skill Migration Data (Industry)",4841.7,6,True,Innovation Ecosystem
China,2019,"Country, Industry, Skill Migration Data (Industry)",-1367.9199999999994,2,True,Innovation Ecosystem
Colombia,2019,"Country, Industry, Skill Migration Data (Industry)",-2934.24,2,True,Innovation Ecosystem
"Congo, Dem. Rep.",2019,"Country, Industry, Skill Migration Data (Industry)",506.20000000000005,5,True,Innovation Ecosystem
Costa Rica,2019,"Country, Industry, Skill Migration Data (Industry)",31.25,4,True,Innovation Ecosystem
Cote d'Ivoire,2019,"Country, Industry, Skill Migration Data (Industry)",689.8800000000001,5,True,Innovation Ecosystem
Croatia,2019,"Country, Industry, Skill Migration Data (Industry)",-1069.31,2,True,Innovation Ecosystem
Cuba,2019,"Country, Industry, Skill Migration Data (Industry)",-1387.37,2,True,Innovation Ecosystem
Cyprus,2019,"Country, Industry, Skill Migration Data (Industry)",3309.85,6,True,Innovation Ecosystem
Czech Republic,2019,"Country, Industry, Skill Migration Data (Industry)",3116.4500000000007,6,True,Innovation Ecosystem
Denmark,2019,"Country, Industry, Skill Migration Data (Industry)",3435.2800000000007,6,True,Innovation Ecosystem
Dominican Republic,2019,"Country, Industry, Skill Migration Data (Industry)",-1328.0500000000002,2,True,Innovation Ecosystem
Ecuador,2019,"Country, Industry, Skill Migration Data (Industry)",-258.85999999999996,3,True,Innovation Ecosystem
"Egypt, Arab Rep.",2019,"Country, Industry, Skill Migration Data (Industry)",-3573.4099999999985,1,True,Innovation Ecosystem
El Salvador,2019,"Country, Industry, Skill Migration Data (Industry)",-296.01,3,True,Innovation Ecosystem
Estonia,2019,"Country, Industry, Skill Migration Data (Industry)",2087.8199999999997,5,True,Innovation Ecosystem
Ethiopia,2019,"Country, Industry, Skill Migration Data (Industry)",-254.25,3,True,Innovation Ecosystem
Fiji,2019,"Country, Industry, Skill Migration Data (Industry)",-254.56,3,True,Innovation Ecosystem
Finland,2019,"Country, Industry, Skill Migration Data (Industry)",2148.1800000000003,5,True,Innovation Ecosystem
France,2019,"Country, Industry, Skill Migration Data (Industry)",2865.149999999999,6,True,Innovation Ecosystem
Gabon,2019,"Country, Industry, Skill Migration Data (Industry)",513.3199999999999,5,True,Innovation Ecosystem
Georgia,2019,"Country, Industry, Skill Migration Data (Industry)",2686.6299999999997,5,True,Innovation Ecosystem
Germany,2019,"Country, Industry, Skill Migration Data (Industry)",15391.609999999988,6,True,Innovation Ecosystem
Ghana,2019,"Country, Industry, Skill Migration Data (Industry)",-3347.62,1,True,Innovation Ecosystem
Greece,2019,"Country, Industry, Skill Migration Data (Industry)",-2605.9900000000002,2,True,Innovation Ecosystem
Guatemala,2019,"Country, Industry, Skill Migration Data (Industry)",-325.82,3,True,Innovation Ecosystem
Haiti,2019,"Country, Industry, Skill Migration Data (Industry)",-508.67,3,True,Innovation Ecosystem
Honduras,2019,"Country, Industry, Skill Migration Data (Industry)",-61.64,4,True,Innovation Ecosystem
"Hong Kong SAR, China",2019,"Country, Industry, Skill Migration Data (Industry)",951.1299999999999,5,True,Innovation Ecosystem
Hungary,2019,"Country, Industry, Skill Migration Data (Industry)",-912.87,3,True,Innovation Ecosystem
Iceland,2019,"Country, Industry, Skill Migration Data (Industry)",-160.52,4,True,Innovation Ecosystem
India,2019,"Country, Industry, Skill Migration Data (Industry)",-15104.569999999998,1,True,Innovation Ecosystem
Indonesia,2019,"Country, Industry, Skill Migration Data (Industry)",530.83,5,True,Innovation Ecosystem
"Iran, Islamic Rep.",2019,"Country, Industry, Skill Migration Data (Industry)",-7202.299999999997,1,True,Innovation Ecosystem
Iraq,2019,"Country, Industry, Skill Migration Data (Industry)",1780.1599999999999,5,True,Innovation Ecosystem
Ireland,2019,"Country, Industry, Skill Migration Data (Industry)",16775.119999999995,6,True,Innovation Ecosystem
