Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Afghanistan,2021,Electricity Environmental Sustainability,53.9,3.68961,True,Connectivity Technology
Angola,2021,Electricity Environmental Sustainability,50.3,3.50997,True,Connectivity Technology
Albania,2021,Electricity Environmental Sustainability,71.0,4.5429,True,Connectivity Technology
Andorra,2021,Electricity Environmental Sustainability,,,True,Connectivity Technology
United Arab Emirates,2021,Electricity Environmental Sustainability,70.2,4.50298,True,Connectivity Technology
Argentina,2021,Electricity Environmental Sustainability,72.8,4.63272,True,Connectivity Technology
Armenia,2021,Electricity Environmental Sustainability,71.8,4.58282,True,Connectivity Technology
Antigua and Barbuda,2021,Electricity Environmental Sustainability,,,True,Connectivity Technology
Australia,2021,Electricity Environmental Sustainability,75.6,4.77244,True,Connectivity Technology
Austria,2021,Electricity Environmental Sustainability,82.1,5.0967899999999995,True,Connectivity Technology
Azerbaijan,2021,Electricity Environmental Sustainability,72.4,4.612760000000001,True,Connectivity Technology
Burundi,2021,Electricity Environmental Sustainability,51.8,3.5848199999999997,True,Connectivity Technology
Belgium,2021,Electricity Environmental Sustainability,82.2,5.101780000000001,True,Connectivity Technology
Benin,2021,Electricity Environmental Sustainability,49.9,3.49001,True,Connectivity Technology
Burkina Faso,2021,Electricity Environmental Sustainability,53.5,3.6696500000000003,True,Connectivity Technology
Bangladesh,2021,Electricity Environmental Sustainability,63.5,4.1686499999999995,True,Connectivity Technology
Bulgaria,2021,Electricity Environmental Sustainability,73.8,4.68262,True,Connectivity Technology
Bahrain,2021,Electricity Environmental Sustainability,66.1,4.2983899999999995,True,Connectivity Technology
"Bahamas, The",2021,Electricity Environmental Sustainability,,,True,Connectivity Technology
Bosnia and Herzegovina,2021,Electricity Environmental Sustainability,73.7,4.677630000000001,True,Connectivity Technology
Belarus,2021,Electricity Environmental Sustainability,78.8,4.932119999999999,True,Connectivity Technology
Belize,2021,Electricity Environmental Sustainability,64.4,4.213560000000001,True,Connectivity Technology
Bolivia,2021,Electricity Environmental Sustainability,67.6,4.37324,True,Connectivity Technology
Brazil,2021,Electricity Environmental Sustainability,71.3,4.557869999999999,True,Connectivity Technology
Barbados,2021,Electricity Environmental Sustainability,68.4,4.41316,True,Connectivity Technology
Brunei Darussalam,2021,Electricity Environmental Sustainability,68.3,4.40817,True,Connectivity Technology
Bhutan,2021,Electricity Environmental Sustainability,70.0,4.493,True,Connectivity Technology
