Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Afghanistan,2019,GSMA Mobile Connectivity Index ,28.94,2.0415327247010415,True,Connectivity Technology
Angola,2019,GSMA Mobile Connectivity Index ,43.53,2.979555098366979,True,Connectivity Technology
Albania,2019,GSMA Mobile Connectivity Index ,67.89,4.5457117140285455,True,Connectivity Technology
United Arab Emirates,2019,GSMA Mobile Connectivity Index ,78.23,5.21049247781921,True,Connectivity Technology
Argentina,2019,GSMA Mobile Connectivity Index ,67.16,4.498778449273498,True,Connectivity Technology
Armenia,2019,GSMA Mobile Connectivity Index ,56.24,3.7967082422527962,True,Connectivity Technology
Australia,2019,GSMA Mobile Connectivity Index ,90.51,6.0,True,Connectivity Technology
Austria,2019,GSMA Mobile Connectivity Index ,84.21,5.5949594959495945,True,Connectivity Technology
Azerbaijan,2019,GSMA Mobile Connectivity Index ,58.28,3.9278642149929275,True,Connectivity Technology
Burundi,2019,GSMA Mobile Connectivity Index ,26.16,1.8628005657708626,True,Connectivity Technology
Belgium,2019,GSMA Mobile Connectivity Index ,82.56,5.488877459174488,True,Connectivity Technology
Benin,2019,GSMA Mobile Connectivity Index ,39.07,2.6928121383566923,True,Connectivity Technology
Burkina Faso,2019,GSMA Mobile Connectivity Index ,32.44,2.266555226951266,True,Connectivity Technology
Bangladesh,2019,GSMA Mobile Connectivity Index ,46.47,3.168574000257168,True,Connectivity Technology
Bulgaria,2019,GSMA Mobile Connectivity Index ,70.37,4.705156229908705,True,Connectivity Technology
Bahrain,2019,GSMA Mobile Connectivity Index ,71.23,4.760447473318759,True,Connectivity Technology
Bahamas,2019,GSMA Mobile Connectivity Index ,68.65,4.594573743088594,True,Connectivity Technology
Bosnia and Herzegovina,2019,GSMA Mobile Connectivity Index ,56.86,3.836569371222836,True,Connectivity Technology
Belarus,2019,GSMA Mobile Connectivity Index ,65.61,4.399125626848399,True,Connectivity Technology
Belize,2019,GSMA Mobile Connectivity Index ,57.13,3.8539282499678533,True,Connectivity Technology
Bolivia,2019,GSMA Mobile Connectivity Index ,59.71,4.01980198019802,True,Connectivity Technology
Brazil,2019,GSMA Mobile Connectivity Index ,63.52,4.2647550469332645,True,Connectivity Technology
Barbados,2019,GSMA Mobile Connectivity Index ,64.73,4.342548540568342,True,Connectivity Technology
Brunei Darussalam,2019,GSMA Mobile Connectivity Index ,67.36,4.51163687797351,True,Connectivity Technology
Bhutan,2019,GSMA Mobile Connectivity Index ,53.29,3.607046418927607,True,Connectivity Technology
Botswana,2019,GSMA Mobile Connectivity Index ,51.31,3.4797479747974793,True,Connectivity Technology
Central African Republic,2019,GSMA Mobile Connectivity Index ,17.18,1.2854571171402853,True,Connectivity Technology
Canada,2019,GSMA Mobile Connectivity Index ,83.27,5.534524881059534,True,Connectivity Technology
Switzerland,2019,GSMA Mobile Connectivity Index ,87.12,5.782049633534782,True,Connectivity Technology
Chile,2019,GSMA Mobile Connectivity Index ,73.23,4.889031760318888,True,Connectivity Technology
China,2019,GSMA Mobile Connectivity Index ,76.01,5.067763919249067,True,Connectivity Technology
Cote d'Ivoire,2019,GSMA Mobile Connectivity Index ,43.96,3.007200720072007,True,Connectivity Technology
Cameroon,2019,GSMA Mobile Connectivity Index ,44.15,3.019416227337019,True,Connectivity Technology
"Congo, Democratic Republic",2019,GSMA Mobile Connectivity Index ,26.19,1.8647293300758645,True,Connectivity Technology
Congo,2019,GSMA Mobile Connectivity Index ,42.55,2.916548797736916,True,Connectivity Technology
Colombia,2019,GSMA Mobile Connectivity Index ,63.74,4.278899318503278,True,Connectivity Technology
Comoros,2019,GSMA Mobile Connectivity Index ,23.98,1.7226436929407227,True,Connectivity Technology
Cabo Verde,2019,GSMA Mobile Connectivity Index ,48.72,3.3132313231323125,True,Connectivity Technology
Costa Rica,2019,GSMA Mobile Connectivity Index ,63.33,4.252539539668252,True,Connectivity Technology
Cyprus,2019,GSMA Mobile Connectivity Index ,75.54,5.037546611804037,True,Connectivity Technology
Czechia,2019,GSMA Mobile Connectivity Index ,78.4,5.221422142214222,True,Connectivity Technology
Germany,2019,GSMA Mobile Connectivity Index ,83.06,5.521023530924521,True,Connectivity Technology
Denmark,2019,GSMA Mobile Connectivity Index ,85.39,5.67082422527967,True,Connectivity Technology
Dominican Republic,2019,GSMA Mobile Connectivity Index ,59.78,4.024302430243024,True,Connectivity Technology
Algeria,2019,GSMA Mobile Connectivity Index ,53.23,3.6031888903176026,True,Connectivity Technology
Ecuador,2019,GSMA Mobile Connectivity Index ,65.33,4.3811238266683805,True,Connectivity Technology
Egypt,2019,GSMA Mobile Connectivity Index ,55.71,3.762633406197762,True,Connectivity Technology
Spain,2019,GSMA Mobile Connectivity Index ,80.26,5.341005529124341,True,Connectivity Technology
Estonia,2019,GSMA Mobile Connectivity Index ,79.96,5.321717886074321,True,Connectivity Technology
Ethiopia,2019,GSMA Mobile Connectivity Index ,35.94,2.491577729201491,True,Connectivity Technology
Finland,2019,GSMA Mobile Connectivity Index ,86.78,5.76019030474476,True,Connectivity Technology
Fiji,2019,GSMA Mobile Connectivity Index ,58.14,3.9188633149029184,True,Connectivity Technology
France,2019,GSMA Mobile Connectivity Index ,80.71,5.36993699369937,True,Connectivity Technology
Gabon,2019,GSMA Mobile Connectivity Index ,48.71,3.312588401697312,True,Connectivity Technology
United Kingdom,2019,GSMA Mobile Connectivity Index ,85.87,5.701684454159701,True,Connectivity Technology
Georgia,2019,GSMA Mobile Connectivity Index ,60.64,4.079593673653079,True,Connectivity Technology
Ghana,2019,GSMA Mobile Connectivity Index ,52.01,3.524752475247524,True,Connectivity Technology
Guinea,2019,GSMA Mobile Connectivity Index ,31.14,2.182975440401183,True,Connectivity Technology
Gambia,2019,GSMA Mobile Connectivity Index ,30.28,2.1276841969911273,True,Connectivity Technology
Guinea-Bissau,2019,GSMA Mobile Connectivity Index ,24.42,1.7509322360807509,True,Connectivity Technology
Greece,2019,GSMA Mobile Connectivity Index ,70.56,4.717371737173718,True,Connectivity Technology
Guatemala,2019,GSMA Mobile Connectivity Index ,55.62,3.756847113282756,True,Connectivity Technology
Guyana,2019,GSMA Mobile Connectivity Index ,54.01,3.6533367622476525,True,Connectivity Technology
Hong Kong,2019,GSMA Mobile Connectivity Index ,83.43,5.544811624019545,True,Connectivity Technology
Honduras,2019,GSMA Mobile Connectivity Index ,50.21,3.4090266169474086,True,Connectivity Technology
Croatia,2019,GSMA Mobile Connectivity Index ,75.29,5.021473575929021,True,Connectivity Technology
Haiti,2019,GSMA Mobile Connectivity Index ,32.81,2.29034332004629,True,Connectivity Technology
Hungary,2019,GSMA Mobile Connectivity Index ,76.57,5.103767519609103,True,Connectivity Technology
Indonesia,2019,GSMA Mobile Connectivity Index ,62.9,4.224893917963224,True,Connectivity Technology
India,2019,GSMA Mobile Connectivity Index ,56.6,3.8198534139128197,True,Connectivity Technology
Ireland,2019,GSMA Mobile Connectivity Index ,85.41,5.672110068149672,True,Connectivity Technology
Iran,2019,GSMA Mobile Connectivity Index ,59.66,4.016587373023016,True,Connectivity Technology
Iraq,2019,GSMA Mobile Connectivity Index ,45.52,3.107496463932107,True,Connectivity Technology
Iceland,2019,GSMA Mobile Connectivity Index ,82.68,5.496592516394497,True,Connectivity Technology
Israel,2019,GSMA Mobile Connectivity Index ,75.21,5.016330204449015,True,Connectivity Technology
Italy,2019,GSMA Mobile Connectivity Index ,76.15,5.076764819339076,True,Connectivity Technology
Jamaica,2019,GSMA Mobile Connectivity Index ,59.21,3.9876559084479872,True,Connectivity Technology
Jordan,2019,GSMA Mobile Connectivity Index ,60.44,4.066735244953065,True,Connectivity Technology
Japan,2019,GSMA Mobile Connectivity Index ,83.4,5.542882859714543,True,Connectivity Technology
Kazakhstan,2019,GSMA Mobile Connectivity Index ,67.5,4.52063777806352,True,Connectivity Technology
Kenya,2019,GSMA Mobile Connectivity Index ,49.62,3.3710942522823704,True,Connectivity Technology
Kyrgyzstan,2019,GSMA Mobile Connectivity Index ,51.07,3.464317860357464,True,Connectivity Technology
Cambodia,2019,GSMA Mobile Connectivity Index ,49.14,3.3402340234023398,True,Connectivity Technology
