Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
United States of America**,2020,Global Cybersecurity Index (GCI),100.0,6.0,True,Connectivity technology
United Kingdom,2020,Global Cybersecurity Index (GCI),99.54,5.977,True,Connectivity technology
Saudi Arabia,2020,Global Cybersecurity Index (GCI),99.54,5.977,True,Connectivity technology
Estonia,2020,Global Cybersecurity Index (GCI),99.48,5.974,True,Connectivity technology
Korea (Rep. of),2020,Global Cybersecurity Index (GCI),98.52,5.925999999999999,True,Connectivity technology
Singapore,2020,Global Cybersecurity Index (GCI),98.52,5.925999999999999,True,Connectivity technology
Spain,2020,Global Cybersecurity Index (GCI),98.52,5.925999999999999,True,Connectivity technology
Russian Federation,2020,Global Cybersecurity Index (GCI),98.06,5.9030000000000005,True,Connectivity technology
United Arab Emirates,2020,Global Cybersecurity Index (GCI),98.06,5.9030000000000005,True,Connectivity technology
Malaysia,2020,Global Cybersecurity Index (GCI),98.06,5.9030000000000005,True,Connectivity technology
Lithuania,2020,Global Cybersecurity Index (GCI),97.93,5.8965000000000005,True,Connectivity technology
Japan,2020,Global Cybersecurity Index (GCI),97.82,5.891,True,Connectivity technology
Canada**,2020,Global Cybersecurity Index (GCI),97.67,5.883500000000001,True,Connectivity technology
France,2020,Global Cybersecurity Index (GCI),97.6,5.88,True,Connectivity technology
India,2020,Global Cybersecurity Index (GCI),97.5,5.875,True,Connectivity technology
Turkey,2020,Global Cybersecurity Index (GCI),97.49,5.8745,True,Connectivity technology
Australia,2020,Global Cybersecurity Index (GCI),97.47,5.8735,True,Connectivity technology
Luxembourg,2020,Global Cybersecurity Index (GCI),97.41,5.8705,True,Connectivity technology
Germany,2020,Global Cybersecurity Index (GCI),97.41,5.8705,True,Connectivity technology
Portugal,2020,Global Cybersecurity Index (GCI),97.32,5.866,True,Connectivity technology
Latvia,2020,Global Cybersecurity Index (GCI),97.28,5.864,True,Connectivity technology
Netherlands**,2020,Global Cybersecurity Index (GCI),97.05,5.8525,True,Connectivity technology
Norway**,2020,Global Cybersecurity Index (GCI),96.89,5.8445,True,Connectivity technology
