Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,HRAssociation
Mauritius,2020.0,Households with a computer and with Internet access,72.64247653,4.6321238265,True,Access
Bahrain,2020.0,Households with a computer and with Internet access,99.67111548,5.983555774,True,Access
Egypt,2020.0,Households with a computer and with Internet access,73.01152829,4.6505764145,True,Access
Kuwait,2020.0,Households with a computer and with Internet access,99.39994533,5.969997266499999,True,Access
Morocco,2020.0,Households with a computer and with Internet access,84.52001443,5.2260007215,True,Access
Oman,2020.0,Households with a computer and with Internet access,94.40521854,5.720260927000001,True,Access
Qatar,2020.0,Households with a computer and with Internet access,95.01073505,5.7505367524999995,True,Access
Saudi Arabia,2020.0,Households with a computer and with Internet access,99.49999331,5.9749996654999995,True,Access
Somalia,2020.0,Households with a computer and with Internet access,11.9,1.595,True,Access
United Arab Emirates,2020.0,Households with a computer and with Internet access,99.80004251,5.9900021255,True,Access
Cambodia,2020.0,Households with a computer and with Internet access,73.60001003,4.6800005015,True,Access
"Hong Kong, China",2020.0,Households with a computer and with Internet access,93.91333608,5.695666804,True,Access
Indonesia,2020.0,Households with a computer and with Internet access,78.17634138,4.9088170689999995,True,Access
Iran (Islamic Republic of),2020.0,Households with a computer and with Internet access,93.30172743,5.6650863715,True,Access
Korea (Rep. of),2020.0,Households with a computer and with Internet access,99.74851416,5.987425708,True,Access
Malaysia,2020.0,Households with a computer and with Internet access,91.70617992,5.585308996,True,Access
Mongolia,2020.0,Households with a computer and with Internet access,,,True,Access
Singapore,2020.0,Households with a computer and with Internet access,98.4436591,5.922182955,True,Access
Sri Lanka,2020.0,Households with a computer and with Internet access,52.8,3.64,True,Access
Thailand,2020.0,Households with a computer and with Internet access,85.19992293,5.2599961465,True,Access
Viet Nam,2020.0,Households with a computer and with Internet access,74.80362832,4.740181416,True,Access
Belarus,2020.0,Households with a computer and with Internet access,76.98680595,4.8493402975,True,Access
Kazakhstan,2020.0,Households with a computer and with Internet access,92.39570403,5.6197852015,True,Access
Russian Federation,2020.0,Households with a computer and with Internet access,80.04080566,5.002040283,True,Access
Uzbekistan,2020.0,Households with a computer and with Internet access,93.51033767,5.6755168835,True,Access
Albania,2020.0,Households with a computer and with Internet access,83.27987513,5.1639937565,True,Access
Austria,2020.0,Households with a computer and with Internet access,90.40076082,5.520038041,True,Access
Belgium,2020.0,Households with a computer and with Internet access,90.86516337,5.5432581685,True,Access
Bosnia and Herzegovina,2020.0,Households with a computer and with Internet access,72.83554192,4.641777096,True,Access
Bulgaria,2020.0,Households with a computer and with Internet access,78.85020735,4.942510367500001,True,Access
Croatia,2020.0,Households with a computer and with Internet access,84.99896561,5.2499482805,True,Access
Cyprus,2020.0,Households with a computer and with Internet access,92.7761468,5.6388073400000005,True,Access
Czech Republic,2020.0,Households with a computer and with Internet access,81.67271413,5.083635706500001,True,Access
Denmark,2020.0,Households with a computer and with Internet access,92.53785329,5.6268926645,True,Access
Estonia,2020.0,Households with a computer and with Internet access,90.0,5.5,True,Access
Finland,2020.0,Households with a computer and with Internet access,91.07407407,5.5537037035,True,Access
Georgia,2020.0,Households with a computer and with Internet access,83.84336642,5.192168321,True,Access
Germany,2020.0,Households with a computer and with Internet access,92.07629398,5.603814699,True,Access
Greece,2020.0,Households with a computer and with Internet access,80.38166755,5.019083377499999,True,Access
Hungary,2020.0,Households with a computer and with Internet access,87.63084244,5.381542122,True,Access
Ireland,2020.0,Households with a computer and with Internet access,91.9998674,5.59999337,True,Access
Latvia,2020.0,Households with a computer and with Internet access,89.72749767,5.4863748835,True,Access
Lithuania,2020.0,Households with a computer and with Internet access,82.13069553,5.1065347765,True,Access
Luxembourg,2020.0,Households with a computer and with Internet access,93.59986209,5.6799931045,True,Access
Malta,2020.0,Households with a computer and with Internet access,90.3623821,5.518119105,True,Access
Moldova,2020.0,Households with a computer and with Internet access,64.61483143,4.230741571499999,True,Access
Montenegro,2020.0,Households with a computer and with Internet access,80.26226583,5.0131132915,True,Access
Netherlands,2020.0,Households with a computer and with Internet access,93.75,5.6875,True,Access
North Macedonia,2020.0,Households with a computer and with Internet access,79.9168849,4.995844245000001,True,Access
Norway,2020.0,Households with a computer and with Internet access,96.12251686,5.806125843,True,Access
