Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
United Arab Emirates,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
South Korea,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
Qatar,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
China,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
Cyprus,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
Norway,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
Saudi Arabia,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
Kuwait,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
Australia,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
Bulgaria,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
Luxembourg,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
Switzerland,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
Netherlands,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
United States,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
Sweden,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
Denmark,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
Oman,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
Singapore,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
Canada,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
New Zealand,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
United Kingdom,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
Bahrain,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
Hong Kong (SAR),2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
Finland,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
Greece,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
Taiwan,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
France,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
Croatia,2021,ISP Speeds - Mobile,5,6.0,True,Connectivity Technology
Belgium,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Germany,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Austria,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Macau (SAR),2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Estonia,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Lithuania,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Japan,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Brunei,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Romania,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Slovenia,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Hungary,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Czechia,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Maldives,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
North Macedonia,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Albania,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Spain,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Poland,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Malta,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Ireland,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Italy,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Slovakia,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Portugal,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Thailand,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Serbia,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
South Africa,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Israel,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Turkey,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Latvia,2021,ISP Speeds - Mobile,4,4.75,True,Connectivity Technology
Jamaica,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Vietnam,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Morocco,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Mauritius,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Moldova,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Lebanon,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Iraq,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Trinidad and Tobago,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Georgia,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Azerbaijan,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Suriname,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
The Bahamas,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Mexico,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Bosnia and Herzegovina,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Uruguay,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Philippines,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Brazil,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Armenia,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Costa Rica,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Botswana,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Dominican Republic,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Cameroon,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Iran,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Montenegro,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Laos,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Ukraine,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Tunisia,2021,ISP Speeds - Mobile,3,3.5,True,Connectivity Technology
Kazakhstan,2021,ISP Speeds - Mobile,2,2.25,True,Connectivity Technology
Argentina,2021,ISP Speeds - Mobile,2,2.25,True,Connectivity Technology
Guatemala,2021,ISP Speeds - Mobile,2,2.25,True,Connectivity Technology
Kosovo,2021,ISP Speeds - Mobile,2,2.25,True,Connectivity Technology
Malaysia,2021,ISP Speeds - Mobile,2,2.25,True,Connectivity Technology
Honduras,2021,ISP Speeds - Mobile,2,2.25,True,Connectivity Technology
Russia,2021,ISP Speeds - Mobile,2,2.25,True,Connectivity Technology
Ecuador,2021,ISP Speeds - Mobile,2,2.25,True,Connectivity Technology
Jordan,2021,ISP Speeds - Mobile,2,2.25,True,Connectivity Technology
Egypt,2021,ISP Speeds - Mobile,2,2.25,True,Connectivity Technology
Kyrgyzstan,2021,ISP Speeds - Mobile,2,2.25,True,Connectivity Technology
Peru,2021,ISP Speeds - Mobile,2,2.25,True,Connectivity Technology
Nigeria,2021,ISP Speeds - Mobile,2,2.25,True,Connectivity Technology
