Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Monaco,2021,ISP internet download speed average ,256.7,13.835,True,Connectivity Technology
Singapore,2021,ISP internet download speed average ,256.03,13.801499999999999,True,Connectivity Technology
Hong Kong (SAR),2021,ISP internet download speed average ,248.59,13.4295,True,Connectivity Technology
Thailand,2021,ISP internet download speed average ,216.16,11.808,True,Connectivity Technology
Romania,2021,ISP internet download speed average ,215.3,11.765,True,Connectivity Technology
Switzerland,2021,ISP internet download speed average ,214.82,11.741,True,Connectivity Technology
South Korea,2021,ISP internet download speed average ,212.83,11.6415,True,Connectivity Technology
Chile,2021,ISP internet download speed average ,209.45,11.4725,True,Connectivity Technology
Denmark,2021,ISP internet download speed average ,208.5,11.425,True,Connectivity Technology
Liechtenstein,2021,ISP internet download speed average ,207.44,11.372,True,Connectivity Technology
France,2021,ISP internet download speed average ,199.68,10.984000000000002,True,Connectivity Technology
Hungary,2021,ISP internet download speed average ,199.47,10.9735,True,Connectivity Technology
Moldova,2021,ISP internet download speed average ,196.46,10.823,True,Connectivity Technology
United States,2021,ISP internet download speed average ,195.55,10.7775,True,Connectivity Technology
United Arab Emirates,2021,ISP internet download speed average ,190.96,10.548,True,Connectivity Technology
Spain,2021,ISP internet download speed average ,187.88,10.394,True,Connectivity Technology
China,2021,ISP internet download speed average ,184.78,10.238999999999999,True,Connectivity Technology
Japan,2021,ISP internet download speed average ,179.43,9.9715,True,Connectivity Technology
Canada,2021,ISP internet download speed average ,174.53,9.7265,True,Connectivity Technology
Luxembourg,2021,ISP internet download speed average ,168.89,9.4445,True,Connectivity Technology
Macau (SAR),2021,ISP internet download speed average ,168.82,9.440999999999999,True,Connectivity Technology
Israel,2021,ISP internet download speed average ,168.23,9.4115,True,Connectivity Technology
Andorra,2021,ISP internet download speed average ,165.07,9.253499999999999,True,Connectivity Technology
New Zealand,2021,ISP internet download speed average ,164.06,9.203,True,Connectivity Technology
Sweden,2021,ISP internet download speed average ,163.31,9.1655,True,Connectivity Technology
Norway,2021,ISP internet download speed average ,161.67,9.083499999999999,True,Connectivity Technology
Netherlands,2021,ISP internet download speed average ,161.67,9.083499999999999,True,Connectivity Technology
Portugal,2021,ISP internet download speed average ,153.99,8.6995,True,Connectivity Technology
Taiwan,2021,ISP internet download speed average ,147.13,8.3565,True,Connectivity Technology
Poland,2021,ISP internet download speed average ,144.1,8.205,True,Connectivity Technology
Kuwait,2021,ISP internet download speed average ,143.16,8.158,True,Connectivity Technology
Malta,2021,ISP internet download speed average ,138.5,7.925,True,Connectivity Technology
Latvia,2021,ISP internet download speed average ,133.08,7.654000000000001,True,Connectivity Technology
Lithuania,2021,ISP internet download speed average ,132.18,7.609000000000001,True,Connectivity Technology
Finland,2021,ISP internet download speed average ,128.04,7.401999999999999,True,Connectivity Technology
Panama,2021,ISP internet download speed average ,127.15,7.3575,True,Connectivity Technology
Germany,2021,ISP internet download speed average ,126.44,7.322,True,Connectivity Technology
Belgium,2021,ISP internet download speed average ,122.15,7.1075,True,Connectivity Technology
Ireland,2021,ISP internet download speed average ,116.19,6.809500000000001,True,Connectivity Technology
Barbados,2021,ISP internet download speed average ,114.27,6.7135,True,Connectivity Technology
Slovenia,2021,ISP internet download speed average ,110.66,6.5329999999999995,True,Connectivity Technology
San Marino,2021,ISP internet download speed average ,107.53,6.3765,True,Connectivity Technology
Qatar,2021,ISP internet download speed average ,106.9,6.345,True,Connectivity Technology
