Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Cabo Verde,2019.0,Individuals using the Internet (% of population),61.94339776,4.097169888,True,Connectivity Technology
Central African Rep.,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Congo (Rep. of the),2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Côte d'Ivoire,2019.0,Individuals using the Internet (% of population),36.28895457,2.8144477285000002,True,Connectivity Technology
Equatorial Guinea,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Eritrea,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Eswatini,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Kenya,2019.0,Individuals using the Internet (% of population),22.56511937,2.1282559685000004,True,Connectivity Technology
Lesotho,2019.0,Individuals using the Internet (% of population),42.30173357,3.1150866785000004,True,Connectivity Technology
Madagascar,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Mauritius,2019.0,Individuals using the Internet (% of population),61.72995515,4.0864977575,True,Connectivity Technology
Niger,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
South Sudan,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Uganda,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Bahrain,2019.0,Individuals using the Internet (% of population),99.70149256,5.9850746280000005,True,Connectivity Technology
Comoros,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Egypt,2019.0,Individuals using the Internet (% of population),57.2828664,3.86414332,True,Connectivity Technology
Iraq,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Kuwait,2019.0,Individuals using the Internet (% of population),99.54267645,5.9771338225,True,Connectivity Technology
Libya,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Morocco,2019.0,Individuals using the Internet (% of population),74.37631447,4.718815723500001,True,Connectivity Technology
Palestine,2019.0,Individuals using the Internet (% of population),70.6225837,4.531129185,True,Connectivity Technology
Qatar,2019.0,Individuals using the Internet (% of population),99.65280421,5.9826402105,True,Connectivity Technology
Saudi Arabia,2019.0,Individuals using the Internet (% of population),95.7247356,5.78623678,True,Connectivity Technology
Somalia,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Tunisia,2019.0,Individuals using the Internet (% of population),66.6999983,4.334999915,True,Connectivity Technology
United Arab Emirates,2019.0,Individuals using the Internet (% of population),99.14999998,5.957499999,True,Connectivity Technology
Yemen,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Brunei Darussalam,2019.0,Individuals using the Internet (% of population),95.0,5.75,True,Connectivity Technology
Cambodia,2019.0,Individuals using the Internet (% of population),78.27288351,4.9136441755,True,Connectivity Technology
China,2019.0,Individuals using the Internet (% of population),64.56912253,4.2284561265,True,Connectivity Technology
Dem. People's Rep. of Korea,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Fiji,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
"Hong Kong, China",2019.0,Individuals using the Internet (% of population),91.74340039,5.5871700195,True,Connectivity Technology
India,2019.0,Individuals using the Internet (% of population),41.0,3.05,True,Connectivity Technology
Indonesia,2019.0,Individuals using the Internet (% of population),47.69064898,3.384532449,True,Connectivity Technology
Iran (Islamic Republic of),2019.0,Individuals using the Internet (% of population),77.77083846,4.888541923,True,Connectivity Technology
Japan,2019.0,Individuals using the Internet (% of population),92.73039781,5.6365198905,True,Connectivity Technology
Kiribati,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Korea (Rep. of),2019.0,Individuals using the Internet (% of population),96.15757918,5.807878959,True,Connectivity Technology
"Macao, China",2019.0,Individuals using the Internet (% of population),86.46792571,5.3233962855,True,Connectivity Technology
Malaysia,2019.0,Individuals using the Internet (% of population),84.18714501,5.2093572505,True,Connectivity Technology
Marshall Islands,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Micronesia,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Mongolia,2019.0,Individuals using the Internet (% of population),51.07999408,3.553999704,True,Connectivity Technology
Nauru,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Nepal (Republic of),2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Pakistan,2019.0,Individuals using the Internet (% of population),17.07090203,1.8535451015,True,Connectivity Technology
Papua New Guinea,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Philippines,2019.0,Individuals using the Internet (% of population),46.88,3.344,True,Connectivity Technology
Samoa,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Singapore,2019.0,Individuals using the Internet (% of population),88.94925269,5.4474626345,True,Connectivity Technology
Solomon Islands,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Sri Lanka,2019.0,Individuals using the Internet (% of population),29.0,2.45,True,Connectivity Technology
Thailand,2019.0,Individuals using the Internet (% of population),66.65241946,4.332620973000001,True,Connectivity Technology
Tonga,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Tuvalu,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Vanuatu,2019.0,Individuals using the Internet (% of population),,,True,Connectivity Technology
Viet Nam,2019.0,Individuals using the Internet (% of population),68.66158021,4.4330790105,True,Connectivity Technology
Armenia,2019.0,Individuals using the Internet (% of population),66.54394969,4.3271974845,True,Connectivity Technology
